TrialN,Sample,BlockN,StimType,rawRT,corrNT,corrTG,ITI,RT
1,2677,1,0,NaN,1,NaN,0.798828125,NaN
2,3086,1,0,NaN,1,NaN,0.80078125,NaN
3,3496,1,0,NaN,1,NaN,0.798828125,NaN
4,3905,1,0,NaN,1,NaN,0.80078125,NaN
5,4315,1,0,NaN,1,NaN,0.798828125,NaN
6,4724,1,0,NaN,1,NaN,0.80078125,NaN
7,5134,1,0,NaN,1,NaN,0.798828125,NaN
8,5543,1,0,NaN,1,NaN,0.80078125,NaN
9,5953,1,0,NaN,1,NaN,0.80078125,NaN
10,6363,1,0,NaN,1,NaN,0.798828125,NaN
11,6772,1,1,NaN,NaN,1,1.12109375,1.560546875
12,7346,1,0,0.439453125,1,NaN,0.798828125,NaN
13,7755,1,0,NaN,1,NaN,0.80078125,NaN
14,8165,1,0,NaN,1,NaN,0.798828125,NaN
15,8574,1,0,NaN,1,NaN,0.80078125,NaN
16,8984,1,0,NaN,1,NaN,0.798828125,NaN
17,9393,1,0,NaN,1,NaN,0.80078125,NaN
18,9803,1,0,NaN,1,NaN,0.80078125,NaN
19,10213,1,0,NaN,1,NaN,0.798828125,NaN
20,10622,1,0,NaN,1,NaN,0.80078125,NaN
21,11032,1,0,NaN,1,NaN,0.798828125,NaN
22,11441,1,0,NaN,1,NaN,0.80078125,NaN
23,11851,1,1,NaN,NaN,1,1.119140625,1.455078125
24,12424,1,0,0.3359375,1,NaN,0.80078125,NaN
25,12834,1,0,NaN,1,NaN,0.798828125,NaN
26,13243,1,0,NaN,1,NaN,0.80078125,NaN
27,13653,1,0,NaN,1,NaN,0.798828125,NaN
28,14062,1,0,NaN,1,NaN,0.80078125,NaN
29,14472,1,0,NaN,1,NaN,0.80078125,NaN
30,14882,1,0,NaN,1,NaN,0.798828125,NaN
31,15291,1,0,NaN,1,NaN,0.80078125,NaN
32,15701,1,0,NaN,1,NaN,0.798828125,NaN
33,16110,1,0,NaN,1,NaN,0.80078125,NaN
34,16520,1,1,NaN,NaN,1,1.12109375,1.255859375
35,17094,1,0,0.134765625,1,NaN,0.798828125,NaN
36,17503,1,0,NaN,1,NaN,0.80078125,NaN
37,17913,1,0,NaN,1,NaN,0.798828125,NaN
38,18322,1,0,NaN,1,NaN,0.80078125,NaN
39,18732,1,0,NaN,1,NaN,0.798828125,NaN
40,19141,1,0,NaN,1,NaN,0.80078125,NaN
41,19551,1,0,NaN,1,NaN,0.798828125,NaN
42,19960,1,0,NaN,1,NaN,0.80078125,NaN
43,20370,1,0,NaN,1,NaN,0.798828125,NaN
44,20779,1,0,NaN,1,NaN,0.80078125,NaN
45,21189,1,0,NaN,1,NaN,0.798828125,NaN
46,21598,1,0,NaN,1,NaN,0.80078125,NaN
47,22008,1,0,NaN,1,NaN,0.80078125,NaN
48,22418,1,0,NaN,1,NaN,0.798828125,NaN
