TrialN,Sample,BlockN,StimType,rawRT,corrNT,corrTG,ITI,RT
1,2329,1,0,NaN,1,NaN,0.798828125,NaN
2,2738,1,0,NaN,1,NaN,0.80078125,NaN
3,3148,1,0,NaN,1,NaN,0.80078125,NaN
4,3558,1,0,NaN,1,NaN,0.798828125,NaN
5,3967,1,0,NaN,1,NaN,0.80078125,NaN
6,4377,1,0,NaN,1,NaN,0.798828125,NaN
7,4786,1,0,NaN,1,NaN,0.80078125,NaN
8,5196,1,0,NaN,1,NaN,0.80078125,NaN
9,5606,1,0,NaN,1,NaN,0.798828125,NaN
10,6015,1,0,NaN,1,NaN,0.798828125,NaN
11,6424,1,0,NaN,1,NaN,0.80078125,NaN
12,6834,1,0,NaN,1,NaN,0.80078125,NaN
13,7244,1,1,NaN,NaN,1,1.119140625,1.31640625
14,7817,1,0,0.197265625,1,NaN,0.80078125,NaN
15,8227,1,0,NaN,1,NaN,0.798828125,NaN
16,8636,1,0,NaN,1,NaN,0.80078125,NaN
17,9046,1,0,NaN,1,NaN,0.80078125,NaN
18,9456,1,0,NaN,1,NaN,0.798828125,NaN
19,9865,1,0,NaN,1,NaN,0.798828125,NaN
20,10274,1,0,NaN,1,NaN,0.80078125,NaN
21,10684,1,0,NaN,1,NaN,0.798828125,NaN
22,11093,1,0,NaN,1,NaN,0.80078125,NaN
23,11503,1,0,NaN,1,NaN,0.80078125,NaN
24,11913,1,0,NaN,1,NaN,0.798828125,NaN
25,12322,1,0,NaN,1,NaN,0.80078125,NaN
26,12732,1,0,NaN,1,NaN,0.798828125,NaN
27,13141,1,1,NaN,NaN,1,1.12109375,1.19921875
28,13715,1,0,0.078125,1,NaN,0.80078125,NaN
29,14125,1,0,NaN,1,NaN,0.798828125,NaN
30,14534,1,0,NaN,1,NaN,0.80078125,NaN
31,14944,1,0,NaN,1,NaN,0.798828125,NaN
32,15353,1,0,NaN,1,NaN,0.80078125,NaN
33,15763,1,0,NaN,1,NaN,0.798828125,NaN
34,16172,1,0,NaN,1,NaN,0.80078125,NaN
35,16582,1,0,NaN,1,NaN,0.80078125,NaN
36,16992,1,0,NaN,1,NaN,0.798828125,NaN
37,17401,1,0,NaN,1,NaN,0.798828125,NaN
38,17810,1,0,NaN,1,NaN,0.80078125,NaN
39,18220,1,0,NaN,1,NaN,0.80078125,NaN
40,18630,1,1,NaN,NaN,1,1.119140625,1.396484375
41,19203,1,0,0.27734375,1,NaN,0.798828125,NaN
42,19612,1,0,NaN,1,NaN,0.80078125,NaN
43,20022,1,0,NaN,1,NaN,0.80078125,NaN
44,20432,1,0,NaN,1,NaN,0.798828125,NaN
45,20841,1,0,NaN,1,NaN,0.80078125,NaN
46,21251,1,0,NaN,1,NaN,0.798828125,NaN
47,21660,1,0,NaN,1,NaN,0.80078125,NaN
48,22070,1,0,NaN,1,NaN,0.798828125,NaN
49,22479,1,0,NaN,1,NaN,0.80078125,NaN
50,22889,1,0,NaN,1,NaN,0.80078125,NaN
51,23299,1,0,NaN,1,NaN,0.798828125,NaN
