TrialN,Sample,BlockN,StimType,rawRT,corrNT,corrTG,ITI,RT
1,2544,1,0,NaN,1,NaN,0.798828125,NaN
2,2953,1,0,NaN,1,NaN,0.80078125,NaN
3,3363,1,0,NaN,1,NaN,0.80078125,NaN
4,3773,1,0,NaN,1,NaN,0.798828125,NaN
5,4182,1,0,NaN,1,NaN,0.798828125,NaN
6,4591,1,0,NaN,1,NaN,0.80078125,NaN
7,5001,1,0,NaN,1,NaN,0.80078125,NaN
8,5411,1,0,NaN,1,NaN,0.798828125,NaN
9,5820,1,0,NaN,1,NaN,0.80078125,NaN
10,6230,1,0,NaN,1,NaN,0.798828125,NaN
11,6639,1,0,NaN,1,NaN,0.80078125,NaN
12,7049,1,1,NaN,NaN,1,1.119140625,1.30859375
13,7622,1,0,0.189453125,1,NaN,0.80078125,NaN
14,8032,1,0,NaN,1,NaN,0.798828125,NaN
15,8441,1,0,NaN,1,NaN,0.80078125,NaN
16,8851,1,0,NaN,1,NaN,0.80078125,NaN
17,9261,1,0,NaN,1,NaN,0.798828125,NaN
18,9670,1,0,NaN,1,NaN,0.80078125,NaN
19,10080,1,1,NaN,NaN,1,1.119140625,1.388671875
20,10653,1,0,0.26953125,1,NaN,0.80078125,NaN
21,11063,1,0,NaN,1,NaN,0.798828125,NaN
22,11472,1,0,NaN,1,NaN,0.80078125,NaN
23,11882,1,0,NaN,1,NaN,0.798828125,NaN
24,12291,1,0,NaN,1,NaN,0.80078125,NaN
25,12701,1,0,NaN,1,NaN,0.798828125,NaN
26,13110,1,0,NaN,1,NaN,0.80078125,NaN
27,13520,1,0,NaN,1,NaN,0.80078125,NaN
28,13930,1,0,NaN,1,NaN,0.798828125,NaN
29,14339,1,0,NaN,1,NaN,0.80078125,NaN
30,14749,1,1,NaN,NaN,1,1.119140625,1.349609375
31,15322,1,0,0.23046875,1,NaN,0.80078125,NaN
32,15732,1,0,NaN,1,NaN,0.798828125,NaN
33,16141,1,0,NaN,1,NaN,0.80078125,NaN
34,16551,1,0,NaN,1,NaN,0.798828125,NaN
35,16960,1,0,NaN,1,NaN,0.80078125,NaN
