TrialN,Sample,BlockN,StimType,rawRT,corrNT,corrTG,ITI,RT
1,2755,1,0,NaN,1,NaN,0.798828125,NaN
2,3164,1,0,NaN,1,NaN,0.798828125,NaN
3,3573,1,0,NaN,1,NaN,0.80078125,NaN
4,3983,1,0,NaN,1,NaN,0.80078125,NaN
5,4393,1,0,NaN,1,NaN,0.798828125,NaN
6,4802,1,0,NaN,1,NaN,0.80078125,NaN
7,5212,1,0,NaN,1,NaN,0.798828125,NaN
8,5621,1,0,NaN,0,NaN,0.80078125,0.8828125
9,6031,1,0,0.08203125,1,NaN,0.798828125,NaN
10,6440,1,0,NaN,1,NaN,0.80078125,NaN
11,6850,1,0,NaN,1,NaN,0.80078125,NaN
12,7260,1,0,NaN,1,NaN,0.798828125,NaN
13,7669,1,0,NaN,1,NaN,0.798828125,NaN
14,8078,1,1,NaN,NaN,1,1.12109375,1.32421875
15,8652,1,0,0.203125,1,NaN,0.798828125,NaN
16,9061,1,0,NaN,1,NaN,0.80078125,NaN
17,9471,1,0,NaN,1,NaN,0.80078125,NaN
18,9881,1,0,NaN,1,NaN,0.798828125,NaN
19,10290,1,0,NaN,1,NaN,0.80078125,NaN
20,10700,1,0,NaN,1,NaN,0.80078125,NaN
21,11110,1,0,NaN,1,NaN,0.798828125,NaN
22,11519,1,0,NaN,1,NaN,0.80078125,NaN
23,11929,1,0,NaN,1,NaN,0.798828125,NaN
24,12338,1,0,NaN,0,NaN,0.798828125,1.01171875
25,12747,1,1,0.212890625,NaN,0,1.12109375,NaN
26,13321,1,0,NaN,1,NaN,0.798828125,NaN
27,13730,1,0,NaN,1,NaN,0.80078125,NaN
28,14140,1,0,NaN,1,NaN,0.80078125,NaN
29,14550,1,0,NaN,1,NaN,0.798828125,NaN
30,14959,1,0,NaN,1,NaN,0.80078125,NaN
31,15369,1,0,NaN,1,NaN,0.798828125,NaN
32,15778,1,1,NaN,NaN,1,1.12109375,1.32421875
33,16352,1,0,0.203125,1,NaN,0.80078125,NaN
34,16762,1,0,NaN,1,NaN,0.798828125,NaN
35,17171,1,0,NaN,1,NaN,0.80078125,NaN
36,17581,1,0,NaN,1,NaN,0.798828125,NaN
37,17990,1,0,NaN,1,NaN,0.80078125,NaN
38,18400,1,0,NaN,1,NaN,0.798828125,NaN
39,18809,1,0,NaN,1,NaN,0.80078125,NaN
40,19219,1,0,NaN,1,NaN,0.798828125,NaN
41,19628,1,0,NaN,1,NaN,0.80078125,NaN
42,20038,1,0,NaN,1,NaN,0.798828125,NaN
43,20447,1,0,NaN,1,NaN,0.80078125,NaN
44,20857,1,1,NaN,NaN,1,1.12109375,1.306640625
45,21431,1,0,0.185546875,1,NaN,0.798828125,NaN
46,21840,1,0,NaN,1,NaN,0.798828125,NaN
47,22249,1,0,NaN,1,NaN,0.80078125,NaN
48,22659,1,0,NaN,1,NaN,0.80078125,NaN
49,23069,1,0,NaN,1,NaN,0.798828125,NaN
50,23478,1,0,NaN,1,NaN,0.80078125,NaN
51,23888,1,0,NaN,1,NaN,0.798828125,NaN
52,24297,1,0,NaN,1,NaN,0.80078125,NaN
53,24707,1,0,NaN,1,NaN,0.798828125,NaN
54,25116,1,0,NaN,1,NaN,0.80078125,NaN
55,25526,1,0,NaN,1,NaN,0.80078125,NaN
56,25936,1,0,NaN,0,NaN,0.798828125,0.994140625
57,26345,1,0,0.1953125,1,NaN,0.80078125,NaN
58,26755,1,0,NaN,1,NaN,0.798828125,NaN
59,27164,1,1,NaN,NaN,0,1.12109375,NaN
60,27738,1,0,NaN,1,NaN,0.798828125,NaN
61,28147,1,0,NaN,1,NaN,0.80078125,NaN
62,28557,1,0,NaN,1,NaN,0.798828125,NaN
63,28966,1,0,NaN,1,NaN,0.80078125,NaN
