TrialN,Sample,BlockN,StimType,rawRT,corrNT,corrTG,ITI,RT
1,2741,1,0,NaN,1,NaN,0.80078125,NaN
2,3151,1,0,NaN,1,NaN,0.798828125,NaN
3,3560,1,0,NaN,1,NaN,0.798828125,NaN
4,3969,1,0,NaN,1,NaN,0.80078125,NaN
5,4379,1,0,NaN,1,NaN,0.80078125,NaN
6,4789,1,0,NaN,1,NaN,0.798828125,NaN
7,5198,1,0,NaN,1,NaN,0.80078125,NaN
8,5608,1,1,NaN,NaN,1,1.119140625,1.166015625
9,6181,1,0,0.046875,1,NaN,0.80078125,NaN
10,6591,1,0,NaN,1,NaN,0.798828125,NaN
11,7000,1,0,NaN,1,NaN,0.80078125,NaN
12,7410,1,0,NaN,1,NaN,0.798828125,NaN
13,7819,1,0,NaN,1,NaN,0.80078125,NaN
14,8229,1,0,NaN,1,NaN,0.798828125,NaN
15,8638,1,0,NaN,1,NaN,0.80078125,NaN
16,9048,1,0,NaN,1,NaN,0.80078125,NaN
17,9458,1,1,NaN,NaN,1,1.119140625,1.181640625
18,10031,1,0,0.0625,1,NaN,0.80078125,NaN
19,10441,1,0,NaN,1,NaN,0.798828125,NaN
20,10850,1,0,NaN,1,NaN,0.80078125,NaN
21,11260,1,0,NaN,1,NaN,0.798828125,NaN
22,11669,1,0,NaN,1,NaN,0.80078125,NaN
23,12079,1,0,NaN,1,NaN,0.798828125,NaN
24,12488,1,0,NaN,1,NaN,0.80078125,NaN
25,12898,1,0,NaN,1,NaN,0.80078125,NaN
26,13308,1,1,NaN,NaN,1,1.119140625,1.23828125
27,13881,1,0,0.119140625,1,NaN,0.798828125,NaN
28,14290,1,0,NaN,1,NaN,0.80078125,NaN
29,14700,1,0,NaN,1,NaN,0.80078125,NaN
30,15110,1,0,NaN,1,NaN,0.798828125,NaN
31,15519,1,0,NaN,1,NaN,0.80078125,NaN
32,15929,1,0,NaN,1,NaN,0.798828125,NaN
33,16338,1,0,NaN,1,NaN,0.80078125,NaN
34,16748,1,0,NaN,1,NaN,0.798828125,NaN
35,17157,1,0,NaN,1,NaN,0.80078125,NaN
36,17567,1,0,NaN,1,NaN,0.80078125,NaN
