TrialN,Sample,BlockN,StimType,rawRT,corrNT,corrTG,ITI,RT
1,2261,1,0,NaN,1,NaN,0.798828125,NaN
2,2670,1,0,NaN,1,NaN,0.80078125,NaN
3,3080,1,0,NaN,1,NaN,0.80078125,NaN
4,3490,1,0,NaN,1,NaN,0.798828125,NaN
5,3899,1,0,NaN,1,NaN,0.798828125,NaN
6,4308,1,0,NaN,1,NaN,0.80078125,NaN
7,4718,1,0,NaN,1,NaN,0.80078125,NaN
8,5128,1,0,NaN,1,NaN,0.798828125,NaN
9,5537,1,0,NaN,1,NaN,0.80078125,NaN
10,5947,1,0,NaN,1,NaN,0.798828125,NaN
11,6356,1,1,NaN,NaN,1,1.12109375,1.623046875
12,6930,1,0,0.501953125,1,NaN,0.798828125,NaN
13,7339,1,0,NaN,1,NaN,0.80078125,NaN
14,7749,1,0,NaN,1,NaN,0.80078125,NaN
15,8159,1,0,NaN,1,NaN,0.798828125,NaN
16,8568,1,0,NaN,1,NaN,0.798828125,NaN
17,8977,1,0,NaN,1,NaN,0.80078125,NaN
18,9387,1,0,NaN,1,NaN,0.80078125,NaN
19,9797,1,0,NaN,1,NaN,0.798828125,NaN
20,10206,1,0,NaN,1,NaN,0.80078125,NaN
21,10616,1,0,NaN,1,NaN,0.798828125,NaN
22,11025,1,0,NaN,1,NaN,0.80078125,NaN
23,11435,1,0,NaN,1,NaN,0.80078125,NaN
24,11845,1,0,NaN,0,NaN,0.798828125,0.998046875
25,12254,1,1,0.19921875,NaN,0,1.119140625,NaN
26,12827,1,0,NaN,1,NaN,0.80078125,NaN
27,13237,1,0,NaN,1,NaN,0.798828125,NaN
28,13646,1,0,NaN,1,NaN,0.80078125,NaN
29,14056,1,0,NaN,1,NaN,0.80078125,NaN
30,14466,1,0,NaN,1,NaN,0.798828125,NaN
31,14875,1,0,NaN,1,NaN,0.80078125,NaN
32,15285,1,0,NaN,1,NaN,0.80078125,NaN
33,15695,1,0,NaN,1,NaN,0.798828125,NaN
34,16104,1,0,NaN,1,NaN,0.80078125,NaN
35,16514,1,0,NaN,1,NaN,0.798828125,NaN
36,16923,1,0,NaN,1,NaN,0.80078125,NaN
37,17333,1,0,NaN,1,NaN,0.798828125,NaN
38,17742,1,1,NaN,NaN,1,1.12109375,1.6875
39,18316,1,0,0.56640625,1,NaN,0.798828125,NaN
40,18725,1,0,NaN,1,NaN,0.80078125,NaN
41,19135,1,0,NaN,1,NaN,0.80078125,NaN
42,19545,1,0,NaN,1,NaN,0.798828125,NaN
43,19954,1,0,NaN,1,NaN,0.798828125,NaN
44,20363,1,0,NaN,1,NaN,0.80078125,NaN
45,20773,1,0,NaN,1,NaN,0.80078125,NaN
46,21183,1,0,NaN,1,NaN,0.798828125,NaN
47,21592,1,0,NaN,1,NaN,0.80078125,NaN
48,22002,1,0,NaN,1,NaN,0.798828125,NaN
49,22411,1,0,NaN,1,NaN,0.80078125,NaN
50,22821,1,1,NaN,NaN,1,1.119140625,1.310546875
51,23394,1,0,0.19140625,1,NaN,0.80078125,NaN
52,23804,1,0,NaN,1,NaN,0.798828125,NaN
53,24213,1,0,NaN,1,NaN,0.80078125,NaN
54,24623,1,0,NaN,1,NaN,0.798828125,NaN
55,25032,1,0,NaN,1,NaN,0.80078125,NaN
56,25442,1,0,NaN,1,NaN,0.80078125,NaN
57,25852,1,0,NaN,1,NaN,0.798828125,NaN
58,26261,1,0,NaN,1,NaN,0.80078125,NaN
59,26671,1,0,NaN,1,NaN,0.798828125,NaN
60,27080,1,0,NaN,1,NaN,0.80078125,NaN
61,27490,1,0,NaN,1,NaN,0.798828125,NaN
62,27899,1,1,NaN,NaN,1,1.12109375,1.20703125
63,28473,1,0,0.0859375,1,NaN,0.80078125,NaN
64,28883,1,0,NaN,1,NaN,0.798828125,NaN
65,29292,1,0,NaN,1,NaN,0.80078125,NaN
66,29702,1,0,NaN,1,NaN,0.798828125,NaN
67,30111,1,0,NaN,1,NaN,0.80078125,NaN
68,30521,1,0,NaN,1,NaN,0.798828125,NaN
69,30930,1,1,NaN,NaN,0,1.12109375,NaN
70,31504,1,0,NaN,1,NaN,0.798828125,NaN
71,31913,1,0,NaN,1,NaN,0.80078125,NaN
72,32323,1,0,NaN,1,NaN,0.798828125,NaN
73,32732,1,0,NaN,1,NaN,0.80078125,NaN
74,33142,1,0,NaN,1,NaN,0.798828125,NaN
75,33551,1,0,NaN,1,NaN,0.80078125,NaN
76,33961,1,0,NaN,1,NaN,0.80078125,NaN
77,34371,1,1,NaN,NaN,1,1.119140625,1.197265625
78,34944,1,0,0.078125,1,NaN,0.80078125,NaN
79,35354,1,0,NaN,1,NaN,0.798828125,NaN
80,35763,1,0,NaN,1,NaN,0.80078125,NaN
81,36173,1,0,NaN,1,NaN,0.798828125,NaN
82,36582,1,0,NaN,1,NaN,0.80078125,NaN
83,36992,1,0,NaN,1,NaN,0.80078125,NaN
84,37402,1,0,NaN,1,NaN,0.798828125,NaN
85,37811,1,0,NaN,1,NaN,0.80078125,NaN
86,38221,1,0,NaN,1,NaN,0.798828125,NaN
87,38630,1,0,NaN,1,NaN,0.80078125,NaN
88,39040,1,0,NaN,1,NaN,0.798828125,NaN
89,39449,1,1,NaN,NaN,1,1.12109375,1.630859375
90,40023,1,0,0.509765625,1,NaN,0.798828125,NaN
91,40432,1,0,NaN,1,NaN,0.80078125,NaN
92,40842,1,0,NaN,1,NaN,0.80078125,NaN
93,41252,1,0,NaN,1,NaN,0.798828125,NaN
94,41661,1,0,NaN,1,NaN,0.798828125,NaN
95,42070,1,0,NaN,1,NaN,0.80078125,NaN
96,42480,1,0,NaN,1,NaN,0.80078125,NaN
