TrialN,Sample,BlockN,StimType,rawRT,corrNT,corrTG,ITI,RT
1,2893,1,0,NaN,1,NaN,0.798828125,NaN
2,3302,1,0,NaN,1,NaN,0.80078125,NaN
3,3712,1,0,NaN,1,NaN,0.798828125,NaN
4,4121,1,0,NaN,1,NaN,0.80078125,NaN
5,4531,1,0,NaN,1,NaN,0.798828125,NaN
6,4940,1,0,NaN,1,NaN,0.80078125,NaN
7,5350,1,0,NaN,1,NaN,0.80078125,NaN
8,5760,1,0,NaN,1,NaN,0.798828125,NaN
9,6169,1,0,NaN,1,NaN,0.80078125,NaN
10,6579,1,0,NaN,1,NaN,0.798828125,NaN
11,6988,1,1,NaN,NaN,1,1.12109375,1.23828125
12,7562,1,0,0.1171875,1,NaN,0.798828125,NaN
13,7971,1,0,NaN,1,NaN,0.80078125,NaN
14,8381,1,0,NaN,1,NaN,0.798828125,NaN
15,8790,1,0,NaN,1,NaN,0.80078125,NaN
16,9200,1,0,NaN,1,NaN,0.80078125,NaN
17,9610,1,0,NaN,1,NaN,0.798828125,NaN
18,10019,1,0,NaN,1,NaN,0.80078125,NaN
19,10429,1,1,NaN,NaN,1,1.119140625,1.158203125
20,11002,1,0,0.0390625,1,NaN,0.80078125,NaN
21,11412,1,0,NaN,1,NaN,0.798828125,NaN
22,11821,1,0,NaN,1,NaN,0.80078125,NaN
23,12231,1,0,NaN,1,NaN,0.798828125,NaN
24,12640,1,0,NaN,0,NaN,0.80078125,0.830078125
25,13050,1,0,0.029296875,1,NaN,0.80078125,NaN
26,13460,1,0,NaN,1,NaN,0.798828125,NaN
27,13869,1,0,NaN,1,NaN,0.80078125,NaN
28,14279,1,0,NaN,1,NaN,0.798828125,NaN
29,14688,1,0,NaN,0,NaN,0.80078125,1.56640625
30,15098,1,0,0.765625,1,NaN,0.80078125,NaN
31,15508,1,0,NaN,1,NaN,0.798828125,NaN
32,15917,1,1,NaN,NaN,1,1.119140625,1.4140625
33,16490,1,0,0.294921875,1,NaN,0.80078125,NaN
34,16900,1,0,NaN,1,NaN,0.798828125,NaN
35,17309,1,0,NaN,1,NaN,0.80078125,NaN
36,17719,1,0,NaN,1,NaN,0.80078125,NaN
37,18129,1,0,NaN,1,NaN,0.798828125,NaN
38,18538,1,0,NaN,1,NaN,0.80078125,NaN
39,18948,1,0,NaN,1,NaN,0.798828125,NaN
40,19357,1,0,NaN,0,NaN,0.80078125,0.974609375
41,19767,1,1,0.173828125,NaN,0,1.119140625,NaN
42,20340,1,0,NaN,1,NaN,0.80078125,NaN
43,20750,1,0,NaN,1,NaN,0.798828125,NaN
44,21159,1,0,NaN,1,NaN,0.80078125,NaN
45,21569,1,0,NaN,1,NaN,0.798828125,NaN
46,21978,1,0,NaN,1,NaN,0.80078125,NaN
47,22388,1,0,NaN,1,NaN,0.798828125,NaN
48,22797,1,0,NaN,0,NaN,0.80078125,0.966796875
49,23207,1,0,0.166015625,1,NaN,0.80078125,NaN
50,23617,1,0,NaN,1,NaN,0.798828125,NaN
51,24026,1,0,NaN,1,NaN,0.80078125,NaN
52,24436,1,0,NaN,1,NaN,0.798828125,NaN
53,24845,1,1,1.095703125,NaN,1,1.12109375,1.095703125
54,25419,1,0,NaN,1,NaN,0.798828125,NaN
55,25828,1,0,NaN,1,NaN,0.80078125,NaN
56,26238,1,0,NaN,1,NaN,0.80078125,NaN
57,26648,1,0,NaN,1,NaN,0.798828125,NaN
58,27057,1,0,NaN,1,NaN,0.80078125,NaN
59,27467,1,0,NaN,1,NaN,0.798828125,NaN
60,27876,1,0,NaN,1,NaN,0.80078125,NaN
61,28286,1,0,NaN,1,NaN,0.80078125,NaN
62,28696,1,0,NaN,1,NaN,0.798828125,NaN
63,29105,1,0,NaN,1,NaN,0.798828125,NaN
64,29514,1,0,NaN,1,NaN,0.80078125,NaN
65,29924,1,0,NaN,1,NaN,0.80078125,NaN
66,30334,1,1,NaN,NaN,1,1.119140625,1.28515625
67,30907,1,0,0.166015625,1,NaN,0.80078125,NaN
68,31317,1,0,NaN,1,NaN,0.798828125,NaN
69,31726,1,0,NaN,1,NaN,0.80078125,NaN
70,32136,1,0,NaN,1,NaN,0.798828125,NaN
71,32545,1,0,NaN,1,NaN,0.80078125,NaN
72,32955,1,0,NaN,1,NaN,0.80078125,NaN
73,33365,1,0,NaN,1,NaN,0.798828125,NaN
74,33774,1,0,NaN,1,NaN,0.798828125,NaN
75,34183,1,0,NaN,1,NaN,0.80078125,NaN
76,34593,1,1,1.078125,NaN,1,1.119140625,1.078125
77,35166,1,0,NaN,1,NaN,0.80078125,NaN
78,35576,1,0,NaN,1,NaN,0.80078125,NaN
79,35986,1,0,NaN,1,NaN,0.798828125,NaN
80,36395,1,0,NaN,1,NaN,0.80078125,NaN
81,36805,1,0,NaN,1,NaN,0.798828125,NaN
82,37214,1,0,NaN,0,NaN,0.80078125,0.974609375
83,37624,1,0,0.173828125,1,NaN,0.798828125,NaN
84,38033,1,1,NaN,NaN,0,1.12109375,NaN
85,38607,1,0,NaN,1,NaN,0.798828125,NaN
86,39016,1,0,NaN,1,NaN,0.80078125,NaN
87,39426,1,0,NaN,1,NaN,0.80078125,NaN
88,39836,1,0,NaN,1,NaN,0.798828125,NaN
89,40245,1,0,NaN,1,NaN,0.80078125,NaN
90,40655,1,0,NaN,1,NaN,0.798828125,NaN
91,41064,1,0,NaN,1,NaN,0.80078125,NaN
92,41474,1,0,NaN,1,NaN,0.798828125,NaN
93,41883,1,1,0.943359375,NaN,1,1.12109375,0.943359375
94,42457,1,0,NaN,1,NaN,0.798828125,NaN
95,42866,1,0,NaN,1,NaN,0.80078125,NaN
96,43276,1,0,NaN,1,NaN,0.798828125,NaN
97,43685,1,0,NaN,1,NaN,0.80078125,NaN
98,44095,1,0,NaN,1,NaN,0.80078125,NaN
99,44505,1,0,NaN,1,NaN,0.798828125,NaN
100,44914,1,0,NaN,1,NaN,0.80078125,NaN
101,45324,1,0,NaN,1,NaN,0.798828125,NaN
102,45733,1,0,NaN,1,NaN,0.80078125,NaN
103,46143,1,0,NaN,1,NaN,0.80078125,NaN
104,46553,1,0,NaN,1,NaN,0.798828125,NaN
105,46962,1,0,NaN,0,NaN,0.798828125,1.005859375
106,47371,1,1,0.20703125,NaN,0,1.12109375,NaN
107,47945,1,0,NaN,1,NaN,0.798828125,NaN
108,48354,1,0,NaN,1,NaN,0.80078125,NaN
109,48764,1,0,NaN,1,NaN,0.80078125,NaN
110,49174,1,0,NaN,1,NaN,0.798828125,NaN
111,49583,1,0,NaN,1,NaN,0.80078125,NaN
112,49993,1,0,NaN,1,NaN,0.80078125,NaN
113,50403,1,1,NaN,NaN,1,1.119140625,1.25390625
114,50976,1,0,0.134765625,1,NaN,0.798828125,NaN
115,51385,1,0,NaN,1,NaN,0.80078125,NaN
116,51795,1,0,NaN,1,NaN,0.80078125,NaN
117,52205,1,0,NaN,1,NaN,0.798828125,NaN
118,52614,1,0,NaN,1,NaN,0.80078125,NaN
119,53024,1,0,NaN,1,NaN,0.798828125,NaN
120,53433,1,0,NaN,1,NaN,0.80078125,NaN
121,53843,1,0,NaN,1,NaN,0.798828125,NaN
122,54252,1,0,NaN,1,NaN,0.80078125,NaN
123,54662,1,0,NaN,1,NaN,0.798828125,NaN
124,55071,1,0,NaN,0,NaN,0.80078125,0.966796875
125,55481,1,0,0.166015625,1,NaN,0.798828125,NaN
126,55890,1,0,NaN,1,NaN,0.80078125,NaN
127,56300,1,0,NaN,0,NaN,0.80078125,0.822265625
128,56710,1,1,0.021484375,NaN,0,1.119140625,NaN
129,57283,1,0,NaN,1,NaN,0.80078125,NaN
130,57693,1,0,NaN,1,NaN,0.798828125,NaN
131,58102,1,0,NaN,1,NaN,0.80078125,NaN
132,58512,1,0,NaN,1,NaN,0.798828125,NaN
133,58921,1,0,NaN,1,NaN,0.80078125,NaN
134,59331,1,0,NaN,1,NaN,0.798828125,NaN
135,59740,1,0,NaN,1,NaN,0.80078125,NaN
136,60150,1,0,NaN,1,NaN,0.80078125,NaN
137,60560,1,0,NaN,1,NaN,0.798828125,NaN
138,60969,1,0,NaN,1,NaN,0.80078125,NaN
139,61379,1,0,NaN,1,NaN,0.798828125,NaN
140,61788,1,0,NaN,1,NaN,0.80078125,NaN
141,62198,1,0,NaN,1,NaN,0.798828125,NaN
142,62607,1,1,1.111328125,NaN,1,1.12109375,1.111328125
143,63181,1,0,NaN,1,NaN,0.798828125,NaN
144,63590,1,0,NaN,1,NaN,0.80078125,NaN
145,64000,1,0,NaN,1,NaN,0.798828125,NaN
146,64409,1,0,NaN,1,NaN,0.80078125,NaN
147,64819,1,0,NaN,1,NaN,0.80078125,NaN
148,65229,1,0,NaN,1,NaN,0.798828125,NaN
149,65638,1,0,NaN,1,NaN,0.80078125,NaN
150,66048,1,0,NaN,1,NaN,0.798828125,NaN
151,66457,1,0,NaN,1,NaN,0.80078125,NaN
152,66867,1,0,NaN,1,NaN,0.798828125,NaN
153,67276,1,0,NaN,1,NaN,0.80078125,NaN
154,67686,1,1,NaN,NaN,1,1.119140625,1.166015625
155,68259,1,0,0.046875,1,NaN,0.80078125,NaN
156,68669,1,0,NaN,1,NaN,0.80078125,NaN
157,69079,1,0,NaN,1,NaN,0.798828125,NaN
158,69488,1,0,NaN,1,NaN,0.80078125,NaN
159,69898,1,0,NaN,1,NaN,0.798828125,NaN
160,70307,1,0,NaN,1,NaN,0.80078125,NaN
161,70717,1,0,NaN,1,NaN,0.798828125,NaN
162,71126,1,0,NaN,1,NaN,0.80078125,NaN
163,71536,1,0,NaN,1,NaN,0.80078125,NaN
164,71946,1,0,NaN,0,NaN,0.798828125,0.982421875
165,72355,1,0,0.18359375,1,NaN,0.80078125,NaN
166,72765,1,0,NaN,1,NaN,0.798828125,NaN
167,73174,1,0,NaN,1,NaN,0.80078125,NaN
168,73584,1,0,NaN,1,NaN,0.798828125,NaN
169,73993,1,1,NaN,NaN,0,1.12109375,NaN
170,74567,1,0,NaN,1,NaN,0.798828125,NaN
171,74976,1,0,NaN,1,NaN,0.80078125,NaN
172,75386,1,0,NaN,1,NaN,0.798828125,NaN
173,75795,1,0,NaN,1,NaN,0.80078125,NaN
174,76205,1,0,NaN,1,NaN,0.80078125,NaN
175,76615,1,0,NaN,1,NaN,0.798828125,NaN
176,77024,1,0,NaN,1,NaN,0.80078125,NaN
177,77434,1,0,NaN,1,NaN,0.798828125,NaN
178,77843,1,0,NaN,1,NaN,0.80078125,NaN
179,78253,1,0,NaN,1,NaN,0.798828125,NaN
180,78662,1,0,NaN,1,NaN,0.80078125,NaN
181,79072,1,0,NaN,1,NaN,0.798828125,NaN
182,79481,1,1,NaN,NaN,1,1.12109375,1.255859375
183,80055,1,0,0.134765625,1,NaN,0.80078125,NaN
