TrialN,Sample,BlockN,StimType,rawRT,corrNT,corrTG,ITI,RT
1,2486,1,0,NaN,1,NaN,0.798828125,NaN
2,2895,1,0,NaN,1,NaN,0.798828125,NaN
3,3304,1,0,NaN,1,NaN,0.80078125,NaN
4,3714,1,0,NaN,1,NaN,0.798828125,NaN
5,4123,1,0,NaN,1,NaN,0.80078125,NaN
6,4533,1,0,NaN,1,NaN,0.80078125,NaN
7,4943,1,0,NaN,1,NaN,0.798828125,NaN
8,5352,1,0,NaN,1,NaN,0.80078125,NaN
9,5762,1,1,NaN,NaN,1,1.119140625,1.255859375
10,6335,1,0,0.13671875,1,NaN,0.80078125,NaN
11,6745,1,0,NaN,1,NaN,0.798828125,NaN
12,7154,1,0,NaN,1,NaN,0.80078125,NaN
13,7564,1,0,NaN,1,NaN,0.798828125,NaN
14,7973,1,0,NaN,1,NaN,0.80078125,NaN
15,8383,1,0,NaN,1,NaN,0.798828125,NaN
16,8792,1,0,NaN,1,NaN,0.80078125,NaN
17,9202,1,0,NaN,1,NaN,0.80078125,NaN
18,9612,1,0,NaN,1,NaN,0.798828125,NaN
19,10021,1,1,1.080078125,NaN,1,1.12109375,1.080078125
20,10595,1,0,NaN,1,NaN,0.798828125,NaN
21,11004,1,0,NaN,1,NaN,0.80078125,NaN
22,11414,1,0,NaN,1,NaN,0.798828125,NaN
23,11823,1,0,NaN,1,NaN,0.80078125,NaN
24,12233,1,0,NaN,1,NaN,0.798828125,NaN
25,12642,1,0,NaN,0,NaN,0.80078125,0.912109375
26,13052,1,0,0.111328125,1,NaN,0.80078125,NaN
27,13462,1,0,NaN,1,NaN,0.798828125,NaN
28,13871,1,1,NaN,NaN,1,1.12109375,1.328125
29,14445,1,0,0.20703125,1,NaN,0.798828125,NaN
30,14854,1,0,NaN,1,NaN,0.80078125,NaN
31,15264,1,0,NaN,1,NaN,0.80078125,NaN
32,15674,1,0,NaN,0,NaN,0.798828125,0.990234375
33,16083,1,0,0.19140625,1,NaN,0.798828125,NaN
34,16492,1,0,NaN,1,NaN,0.80078125,NaN
35,16902,1,0,NaN,1,NaN,0.798828125,NaN
36,17311,1,1,NaN,NaN,1,1.12109375,1.16796875
37,17885,1,0,0.046875,1,NaN,0.80078125,NaN
38,18295,1,0,NaN,1,NaN,0.798828125,NaN
39,18704,1,0,NaN,1,NaN,0.80078125,NaN
40,19114,1,0,NaN,1,NaN,0.798828125,NaN
41,19523,1,0,NaN,1,NaN,0.80078125,NaN
42,19933,1,0,NaN,1,NaN,0.798828125,NaN
43,20342,1,0,NaN,1,NaN,0.80078125,NaN
44,20752,1,1,NaN,NaN,1,1.119140625,1.423828125
45,21325,1,0,0.3046875,1,NaN,0.80078125,NaN
46,21735,1,0,NaN,1,NaN,0.798828125,NaN
47,22144,1,0,NaN,1,NaN,0.80078125,NaN
48,22554,1,0,NaN,1,NaN,0.798828125,NaN
49,22963,1,0,NaN,1,NaN,0.80078125,NaN
50,23373,1,0,NaN,1,NaN,0.80078125,NaN
51,23783,1,0,NaN,1,NaN,0.798828125,NaN
52,24192,1,0,NaN,0,NaN,0.80078125,1.16015625
53,24602,1,0,0.359375,1,NaN,0.798828125,NaN
54,25011,1,1,NaN,NaN,0,1.12109375,NaN
55,25585,1,0,NaN,1,NaN,0.798828125,NaN
56,25994,1,0,NaN,1,NaN,0.80078125,NaN
57,26404,1,0,NaN,1,NaN,0.798828125,NaN
