TrialN,Sample,BlockN,StimType,rawRT,corrNT,corrTG,ITI,RT
1,2653,1,0,NaN,1,NaN,0.80078125,NaN
2,3063,1,0,NaN,1,NaN,0.798828125,NaN
3,3472,1,0,NaN,1,NaN,0.80078125,NaN
4,3882,1,0,NaN,1,NaN,0.798828125,NaN
5,4291,1,0,NaN,1,NaN,0.80078125,NaN
6,4701,1,0,NaN,1,NaN,0.798828125,NaN
7,5110,1,0,NaN,1,NaN,0.80078125,NaN
8,5520,1,0,NaN,1,NaN,0.80078125,NaN
9,5930,1,1,NaN,NaN,1,1.119140625,1.302734375
10,6503,1,0,0.18359375,1,NaN,0.80078125,NaN
11,6913,1,0,NaN,1,NaN,0.798828125,NaN
12,7322,1,0,NaN,1,NaN,0.80078125,NaN
13,7732,1,0,NaN,1,NaN,0.798828125,NaN
14,8141,1,0,NaN,1,NaN,0.80078125,NaN
15,8551,1,0,NaN,1,NaN,0.80078125,NaN
16,8961,1,0,NaN,1,NaN,0.798828125,NaN
17,9370,1,0,NaN,1,NaN,0.798828125,NaN
18,9779,1,0,NaN,1,NaN,0.80078125,NaN
19,10189,1,0,NaN,1,NaN,0.80078125,NaN
20,10599,1,0,NaN,1,NaN,0.798828125,NaN
21,11008,1,0,NaN,1,NaN,0.80078125,NaN
22,11418,1,0,NaN,1,NaN,0.798828125,NaN
23,11827,1,0,NaN,1,NaN,0.80078125,NaN
24,12237,1,1,NaN,NaN,1,1.119140625,1.294921875
25,12810,1,0,0.17578125,1,NaN,0.80078125,NaN
26,13220,1,0,NaN,1,NaN,0.798828125,NaN
27,13629,1,0,NaN,1,NaN,0.80078125,NaN
28,14039,1,0,NaN,1,NaN,0.80078125,NaN
29,14449,1,0,NaN,1,NaN,0.798828125,NaN
30,14858,1,0,NaN,1,NaN,0.80078125,NaN
31,15268,1,0,NaN,1,NaN,0.798828125,NaN
32,15677,1,0,NaN,1,NaN,0.80078125,NaN
33,16087,1,0,NaN,1,NaN,0.80078125,NaN
34,16497,1,0,NaN,1,NaN,0.798828125,NaN
35,16906,1,1,NaN,NaN,0,1.119140625,NaN
36,17479,1,0,NaN,1,NaN,0.80078125,NaN
37,17889,1,0,NaN,1,NaN,0.80078125,NaN
38,18299,1,0,NaN,1,NaN,0.798828125,NaN
39,18708,1,0,NaN,1,NaN,0.80078125,NaN
40,19118,1,0,NaN,1,NaN,0.80078125,NaN
41,19528,1,0,NaN,1,NaN,0.798828125,NaN
42,19937,1,0,NaN,1,NaN,0.798828125,NaN
43,20346,1,0,NaN,1,NaN,0.80078125,NaN
44,20756,1,0,NaN,1,NaN,0.80078125,NaN
45,21166,1,0,NaN,1,NaN,0.798828125,NaN
46,21575,1,0,NaN,1,NaN,0.80078125,NaN
47,21985,1,1,NaN,NaN,1,1.119140625,1.494140625
48,22558,1,0,0.375,1,NaN,0.80078125,NaN
49,22968,1,0,NaN,1,NaN,0.80078125,NaN
50,23378,1,0,NaN,1,NaN,0.798828125,NaN
51,23787,1,0,NaN,1,NaN,0.798828125,NaN
52,24196,1,0,NaN,1,NaN,0.80078125,NaN
53,24606,1,0,NaN,1,NaN,0.80078125,NaN
54,25016,1,0,NaN,1,NaN,0.798828125,NaN
55,25425,1,0,NaN,1,NaN,0.80078125,NaN
56,25835,1,0,NaN,1,NaN,0.798828125,NaN
57,26244,1,0,NaN,1,NaN,0.80078125,NaN
58,26654,1,0,NaN,1,NaN,0.798828125,NaN
59,27063,1,0,NaN,1,NaN,0.80078125,NaN
60,27473,1,1,NaN,NaN,0,1.119140625,NaN
61,28046,1,0,NaN,1,NaN,0.80078125,NaN
62,28456,1,0,NaN,1,NaN,0.798828125,NaN
63,28865,1,0,NaN,1,NaN,0.80078125,NaN
64,29275,1,0,NaN,1,NaN,0.80078125,NaN
65,29685,1,0,NaN,1,NaN,0.798828125,NaN
66,30094,1,0,NaN,1,NaN,0.80078125,NaN
67,30504,1,0,NaN,1,NaN,0.798828125,NaN
68,30913,1,0,NaN,1,NaN,0.80078125,NaN
69,31323,1,1,1.0546875,NaN,1,1.119140625,1.0546875
70,31896,1,0,NaN,1,NaN,0.80078125,NaN
71,32306,1,0,NaN,1,NaN,0.798828125,NaN
72,32715,1,0,NaN,1,NaN,0.80078125,NaN
73,33125,1,0,NaN,1,NaN,0.80078125,NaN
74,33535,1,0,NaN,1,NaN,0.798828125,NaN
75,33944,1,0,NaN,1,NaN,0.80078125,NaN
76,34354,1,0,NaN,1,NaN,0.798828125,NaN
77,34763,1,0,NaN,1,NaN,0.80078125,NaN
78,35173,1,0,NaN,1,NaN,0.80078125,NaN
79,35583,1,0,NaN,1,NaN,0.798828125,NaN
80,35992,1,1,NaN,NaN,0,1.119140625,NaN
81,36565,1,0,NaN,1,NaN,0.80078125,NaN
82,36975,1,0,NaN,1,NaN,0.80078125,NaN
83,37385,1,0,NaN,1,NaN,0.798828125,NaN
84,37794,1,0,NaN,1,NaN,0.80078125,NaN
85,38204,1,0,NaN,1,NaN,0.798828125,NaN
86,38613,1,0,NaN,1,NaN,0.80078125,NaN
87,39023,1,0,NaN,0,NaN,0.798828125,0.990234375
88,39432,1,0,0.19140625,1,NaN,0.80078125,NaN
89,39842,1,0,NaN,1,NaN,0.80078125,NaN
90,40252,1,0,NaN,1,NaN,0.798828125,NaN
91,40661,1,0,NaN,0,NaN,0.892578125,1.22265625
92,41118,1,0,0.330078125,1,NaN,0.80078125,NaN
93,41528,1,0,NaN,1,NaN,0.80078125,NaN
94,41938,1,1,NaN,NaN,0,1.212890625,NaN
95,42559,1,0,NaN,1,NaN,0.80859375,NaN
96,42973,1,0,NaN,1,NaN,0.791015625,NaN
97,43378,1,0,NaN,1,NaN,0.798828125,NaN
98,43787,1,0,NaN,1,NaN,0.80078125,NaN
99,44197,1,0,NaN,1,NaN,0.80078125,NaN
100,44607,1,0,NaN,1,NaN,0.798828125,NaN
101,45016,1,0,NaN,1,NaN,0.80078125,NaN
102,45426,1,0,NaN,1,NaN,0.798828125,NaN
103,45835,1,0,NaN,1,NaN,0.80078125,NaN
104,46245,1,0,NaN,1,NaN,0.798828125,NaN
105,46654,1,0,NaN,1,NaN,0.80078125,NaN
106,47064,1,0,NaN,1,NaN,0.80078125,NaN
107,47474,1,0,NaN,1,NaN,0.798828125,NaN
108,47883,1,1,NaN,NaN,1,1.12109375,1.4453125
109,48457,1,0,0.32421875,1,NaN,0.798828125,NaN
110,48866,1,0,NaN,1,NaN,0.80078125,NaN
111,49276,1,0,NaN,1,NaN,0.798828125,NaN
112,49685,1,0,NaN,1,NaN,0.80078125,NaN
113,50095,1,0,NaN,1,NaN,0.798828125,NaN
114,50504,1,0,NaN,1,NaN,0.80078125,NaN
115,50914,1,0,NaN,1,NaN,0.80078125,NaN
116,51324,1,0,NaN,1,NaN,0.798828125,NaN
117,51733,1,0,NaN,1,NaN,0.80078125,NaN
118,52143,1,0,NaN,1,NaN,0.798828125,NaN
119,52552,1,0,NaN,1,NaN,0.80078125,NaN
120,52962,1,0,NaN,1,NaN,0.798828125,NaN
