TrialN,Sample,BlockN,StimType,rawRT,corrNT,corrTG,ITI,RT
1,1888,1,0,NaN,1,NaN,0.798828125,NaN
2,2297,1,0,NaN,1,NaN,0.80078125,NaN
3,2707,1,0,NaN,1,NaN,0.798828125,NaN
4,3116,1,0,NaN,0,NaN,0.80078125,0.88671875
5,3526,1,0,0.0859375,1,NaN,0.798828125,NaN
6,3935,1,0,NaN,1,NaN,0.80078125,NaN
7,4345,1,0,NaN,1,NaN,0.80078125,NaN
8,4755,1,0,NaN,1,NaN,0.798828125,NaN
9,5164,1,0,NaN,0,NaN,0.80078125,0.94921875
10,5574,1,0,0.1484375,1,NaN,0.80078125,NaN
11,5984,1,0,NaN,1,NaN,0.798828125,NaN
12,6393,1,1,NaN,NaN,0,1.119140625,NaN
13,6966,1,0,NaN,1,NaN,0.80078125,NaN
14,7376,1,0,NaN,0,NaN,0.798828125,0.861328125
15,7785,1,0,0.0625,1,NaN,0.80078125,NaN
16,8195,1,0,NaN,1,NaN,0.798828125,NaN
17,8604,1,0,NaN,0,NaN,0.80078125,0.85546875
18,9014,1,0,0.0546875,1,NaN,0.80078125,NaN
19,9424,1,0,NaN,1,NaN,0.80078125,NaN
20,9834,1,0,NaN,1,NaN,0.798828125,NaN
21,10243,1,0,NaN,1,NaN,0.80078125,NaN
22,10653,1,0,NaN,1,NaN,0.798828125,NaN
23,11062,1,0,NaN,1,NaN,0.80078125,NaN
24,11472,1,0,NaN,0,NaN,0.798828125,1.15625
25,11881,1,0,0.357421875,1,NaN,0.80078125,NaN
26,12291,1,0,NaN,1,NaN,0.798828125,NaN
27,12700,1,1,NaN,NaN,0,1.12109375,NaN
28,13274,1,0,NaN,1,NaN,0.798828125,NaN
29,13683,1,0,NaN,1,NaN,0.80078125,NaN
30,14093,1,0,NaN,1,NaN,0.798828125,NaN
31,14502,1,0,NaN,1,NaN,0.80078125,NaN
32,14912,1,0,NaN,1,NaN,0.80078125,NaN
33,15322,1,0,NaN,1,NaN,0.798828125,NaN
34,15731,1,1,NaN,NaN,1,1.119140625,1.453125
35,16304,1,0,0.333984375,1,NaN,0.80078125,NaN
36,16714,1,0,NaN,1,NaN,0.80078125,NaN
37,17124,1,0,NaN,1,NaN,0.798828125,NaN
38,17533,1,0,NaN,1,NaN,0.80078125,NaN
39,17943,1,0,NaN,1,NaN,0.798828125,NaN
40,18352,1,0,NaN,1,NaN,0.80078125,NaN
41,18762,1,0,NaN,1,NaN,0.798828125,NaN
42,19171,1,1,NaN,NaN,0,1.12109375,NaN
43,19745,1,0,NaN,1,NaN,0.80078125,NaN
44,20155,1,0,NaN,1,NaN,0.798828125,NaN
45,20564,1,0,NaN,1,NaN,0.798828125,NaN
46,20973,1,0,NaN,1,NaN,0.80078125,NaN
47,21383,1,0,NaN,1,NaN,0.80078125,NaN
48,21793,1,0,NaN,1,NaN,0.798828125,NaN
49,22202,1,0,NaN,0,NaN,0.80078125,1.478515625
50,22612,1,0,0.677734375,1,NaN,0.798828125,NaN
51,23021,1,0,NaN,1,NaN,0.80078125,NaN
52,23431,1,0,NaN,1,NaN,0.798828125,NaN
53,23840,1,1,NaN,NaN,1,1.12109375,1.421875
54,24414,1,0,0.30078125,1,NaN,0.798828125,NaN
55,24823,1,0,NaN,1,NaN,0.80078125,NaN
56,25233,1,0,NaN,1,NaN,0.798828125,NaN
57,25642,1,0,NaN,1,NaN,0.80078125,NaN
58,26052,1,0,NaN,0,NaN,0.80078125,0.861328125
59,26462,1,0,0.060546875,1,NaN,0.798828125,NaN
60,26871,1,0,NaN,1,NaN,0.80078125,NaN
61,27281,1,0,NaN,1,NaN,0.798828125,NaN
62,27690,1,0,NaN,1,NaN,0.80078125,NaN
63,28100,1,1,1.052734375,NaN,1,1.119140625,1.052734375
64,28673,1,0,NaN,1,NaN,0.80078125,NaN
65,29083,1,0,NaN,1,NaN,0.80078125,NaN
66,29493,1,0,NaN,1,NaN,0.798828125,NaN
67,29902,1,0,NaN,1,NaN,0.80078125,NaN
68,30312,1,0,NaN,1,NaN,0.798828125,NaN
69,30721,1,0,NaN,0,NaN,0.80078125,1.486328125
70,31131,1,0,0.685546875,1,NaN,0.798828125,NaN
71,31540,1,0,NaN,1,NaN,0.80078125,NaN
72,31950,1,0,NaN,1,NaN,0.798828125,NaN
73,32359,1,0,NaN,1,NaN,0.80078125,NaN
74,32769,1,0,NaN,1,NaN,0.798828125,NaN
75,33178,1,0,NaN,1,NaN,0.80078125,NaN
76,33588,1,0,NaN,1,NaN,0.80078125,NaN
77,33998,1,1,NaN,NaN,0,1.119140625,NaN
78,34571,1,0,NaN,1,NaN,0.80078125,NaN
79,34981,1,0,NaN,1,NaN,0.798828125,NaN
80,35390,1,0,NaN,1,NaN,0.80078125,NaN
81,35800,1,0,NaN,1,NaN,0.80078125,NaN
82,36210,1,0,NaN,1,NaN,0.798828125,NaN
83,36619,1,0,NaN,1,NaN,0.798828125,NaN
84,37028,1,0,NaN,1,NaN,0.80078125,NaN
85,37438,1,0,NaN,1,NaN,0.80078125,NaN
86,37848,1,1,NaN,NaN,1,1.119140625,1.30859375
87,38421,1,0,0.189453125,1,NaN,0.80078125,NaN
88,38831,1,0,NaN,1,NaN,0.798828125,NaN
89,39240,1,0,NaN,1,NaN,0.80078125,NaN
90,39650,1,0,NaN,1,NaN,0.798828125,NaN
91,40059,1,0,NaN,1,NaN,0.80078125,NaN
92,40469,1,0,NaN,1,NaN,0.798828125,NaN
93,40878,1,1,NaN,NaN,0,1.12109375,NaN
94,41452,1,0,NaN,1,NaN,0.798828125,NaN
95,41861,1,0,NaN,1,NaN,0.80078125,NaN
96,42271,1,0,NaN,1,NaN,0.798828125,NaN
97,42680,1,0,NaN,0,NaN,0.80078125,1.015625
98,43090,1,0,0.21484375,1,NaN,0.80078125,NaN
99,43500,1,0,NaN,1,NaN,0.798828125,NaN
100,43909,1,0,NaN,1,NaN,0.80078125,NaN
101,44319,1,0,NaN,1,NaN,0.798828125,NaN
102,44728,1,0,NaN,1,NaN,0.80078125,NaN
103,45138,1,0,NaN,1,NaN,0.798828125,NaN
104,45547,1,0,NaN,1,NaN,0.80078125,NaN
105,45957,1,0,NaN,1,NaN,0.80078125,NaN
106,46367,1,1,NaN,NaN,1,1.119140625,1.96484375
107,46940,1,0,NaN,1,NaN,0.80078125,NaN
108,47350,1,0,0.044921875,1,NaN,0.798828125,NaN
109,47759,1,0,NaN,1,NaN,0.80078125,NaN
110,48169,1,0,NaN,1,NaN,0.798828125,NaN
111,48578,1,0,NaN,1,NaN,0.80078125,NaN
112,48988,1,0,NaN,1,NaN,0.798828125,NaN
113,49397,1,0,NaN,1,NaN,0.80078125,NaN
114,49807,1,0,NaN,1,NaN,0.798828125,NaN
115,50216,1,0,NaN,1,NaN,0.80078125,NaN
116,50626,1,0,NaN,1,NaN,0.80078125,NaN
117,51036,1,0,NaN,1,NaN,0.798828125,NaN
118,51445,1,1,NaN,NaN,0,1.12109375,NaN
119,52019,1,0,NaN,1,NaN,0.798828125,NaN
120,52428,1,0,NaN,1,NaN,0.80078125,NaN
121,52838,1,0,NaN,1,NaN,0.798828125,NaN
122,53247,1,0,NaN,1,NaN,0.80078125,NaN
123,53657,1,0,NaN,1,NaN,0.798828125,NaN
124,54066,1,0,NaN,1,NaN,0.80078125,NaN
125,54476,1,0,NaN,1,NaN,0.80078125,NaN
126,54886,1,0,NaN,1,NaN,0.798828125,NaN
127,55295,1,0,NaN,1,NaN,0.80078125,NaN
128,55705,1,0,NaN,1,NaN,0.798828125,NaN
129,56114,1,0,NaN,1,NaN,0.80078125,NaN
130,56524,1,0,NaN,1,NaN,0.798828125,NaN
131,56933,1,0,NaN,1,NaN,0.80078125,NaN
132,57343,1,1,NaN,NaN,0,1.119140625,NaN
133,57916,1,0,NaN,1,NaN,0.80078125,NaN
134,58326,1,0,NaN,1,NaN,0.798828125,NaN
135,58735,1,0,NaN,1,NaN,0.80078125,NaN
136,59145,1,0,NaN,1,NaN,0.80078125,NaN
137,59555,1,0,NaN,1,NaN,0.798828125,NaN
138,59964,1,0,NaN,1,NaN,0.80078125,NaN
139,60374,1,0,NaN,1,NaN,0.798828125,NaN
140,60783,1,1,NaN,NaN,0,1.12109375,NaN
141,61357,1,0,NaN,1,NaN,0.80078125,NaN
142,61767,1,0,NaN,1,NaN,0.798828125,NaN
143,62176,1,0,NaN,1,NaN,0.80078125,NaN
144,62586,1,0,NaN,1,NaN,0.798828125,NaN
145,62995,1,0,NaN,1,NaN,0.80078125,NaN
146,63405,1,0,NaN,1,NaN,0.798828125,NaN
147,63814,1,0,NaN,1,NaN,0.80078125,NaN
148,64224,1,0,NaN,1,NaN,0.798828125,NaN
149,64633,1,0,NaN,1,NaN,0.80078125,NaN
150,65043,1,0,NaN,1,NaN,0.798828125,NaN
151,65452,1,1,NaN,NaN,0,1.12109375,NaN
152,66026,1,0,NaN,1,NaN,0.80078125,NaN
