TrialN,Sample,BlockN,StimType,rawRT,corrNT,corrTG,ITI,RT
1,2670,1,0,NaN,1,NaN,0.798828125,NaN
2,3079,1,0,NaN,1,NaN,0.80078125,NaN
3,3489,1,0,NaN,1,NaN,0.798828125,NaN
4,3898,1,0,NaN,1,NaN,0.80078125,NaN
5,4308,1,0,NaN,1,NaN,0.80078125,NaN
6,4718,1,0,NaN,1,NaN,0.798828125,NaN
7,5127,1,0,NaN,1,NaN,0.80078125,NaN
8,5537,1,0,NaN,1,NaN,0.80078125,NaN
9,5947,1,0,NaN,1,NaN,0.798828125,NaN
10,6356,1,0,NaN,1,NaN,0.798828125,NaN
11,6765,1,0,NaN,1,NaN,0.80078125,NaN
12,7175,1,0,NaN,1,NaN,0.80078125,NaN
13,7585,1,1,NaN,NaN,1,1.119140625,1.63671875
14,8158,1,0,0.517578125,1,NaN,0.80078125,NaN
15,8568,1,0,NaN,1,NaN,0.798828125,NaN
16,8977,1,0,NaN,1,NaN,0.80078125,NaN
17,9387,1,0,NaN,1,NaN,0.798828125,NaN
18,9796,1,0,NaN,1,NaN,0.80078125,NaN
19,10206,1,0,NaN,1,NaN,0.80078125,NaN
20,10616,1,0,NaN,1,NaN,0.798828125,NaN
21,11025,1,0,NaN,1,NaN,0.80078125,NaN
22,11435,1,0,NaN,1,NaN,0.798828125,NaN
23,11844,1,0,NaN,1,NaN,0.80078125,NaN
24,12254,1,1,NaN,NaN,1,1.119140625,1.453125
25,12827,1,0,0.333984375,1,NaN,0.80078125,NaN
26,13237,1,0,NaN,1,NaN,0.798828125,NaN
27,13646,1,0,NaN,1,NaN,0.80078125,NaN
28,14056,1,0,NaN,1,NaN,0.798828125,NaN
29,14465,1,0,NaN,1,NaN,0.80078125,NaN
30,14875,1,0,NaN,1,NaN,0.798828125,NaN
31,15284,1,0,NaN,1,NaN,0.80078125,NaN
32,15694,1,0,NaN,1,NaN,0.80078125,NaN
33,16104,1,1,NaN,NaN,0,1.119140625,NaN
34,16677,1,0,NaN,1,NaN,0.80078125,NaN
35,17087,1,0,NaN,1,NaN,0.798828125,NaN
36,17496,1,0,NaN,1,NaN,0.80078125,NaN
37,17906,1,0,NaN,1,NaN,0.798828125,NaN
38,18315,1,0,NaN,1,NaN,0.80078125,NaN
39,18725,1,0,NaN,1,NaN,0.798828125,NaN
40,19134,1,1,NaN,NaN,1,1.12109375,1.439453125
41,19708,1,0,0.318359375,1,NaN,0.798828125,NaN
42,20117,1,0,NaN,1,NaN,0.80078125,NaN
43,20527,1,0,NaN,1,NaN,0.798828125,NaN
44,20936,1,0,NaN,1,NaN,0.80078125,NaN
45,21346,1,0,NaN,1,NaN,0.80078125,NaN
46,21756,1,0,NaN,1,NaN,0.798828125,NaN
47,22165,1,1,NaN,NaN,0,1.12109375,NaN
48,22739,1,0,NaN,1,NaN,0.798828125,NaN
49,23148,1,0,NaN,1,NaN,0.80078125,NaN
50,23558,1,0,NaN,1,NaN,0.798828125,NaN
51,23967,1,0,NaN,1,NaN,0.80078125,NaN
52,24377,1,0,NaN,1,NaN,0.798828125,NaN
53,24786,1,0,NaN,1,NaN,0.80078125,NaN
54,25196,1,1,NaN,NaN,0,1.12109375,NaN
55,25770,1,0,NaN,0,NaN,0.798828125,0.8359375
56,26179,1,0,0.037109375,1,NaN,0.798828125,NaN
57,26588,1,0,NaN,1,NaN,0.80078125,NaN
58,26998,1,0,NaN,1,NaN,0.80078125,NaN
59,27408,1,0,NaN,1,NaN,0.798828125,NaN
60,27817,1,0,NaN,1,NaN,0.80078125,NaN
61,28227,1,0,NaN,1,NaN,0.798828125,NaN
62,28636,1,0,NaN,1,NaN,0.80078125,NaN
63,29046,1,0,NaN,1,NaN,0.80078125,NaN
64,29456,1,0,NaN,1,NaN,0.798828125,NaN
65,29865,1,0,NaN,1,NaN,0.80078125,NaN
66,30275,1,0,NaN,1,NaN,0.798828125,NaN
67,30684,1,0,NaN,1,NaN,0.80078125,NaN
68,31094,1,0,NaN,1,NaN,0.798828125,NaN
69,31503,1,1,NaN,NaN,0,1.12109375,NaN
70,32077,1,0,NaN,1,NaN,0.798828125,NaN
71,32486,1,0,NaN,1,NaN,0.80078125,NaN
72,32896,1,0,NaN,1,NaN,0.798828125,NaN
73,33305,1,0,NaN,1,NaN,0.80078125,NaN
74,33715,1,0,NaN,1,NaN,0.798828125,NaN
75,34124,1,0,NaN,1,NaN,0.80078125,NaN
76,34534,1,0,NaN,1,NaN,0.80078125,NaN
77,34944,1,1,NaN,NaN,1,1.119140625,1.453125
