TrialN,Sample,BlockN,StimType,rawRT,corrNT,corrTG,ITI,RT
1,2192,1,0,NaN,1,NaN,0.80078125,NaN
2,2602,1,0,NaN,1,NaN,0.798828125,NaN
3,3011,1,0,NaN,1,NaN,0.798828125,NaN
4,3420,1,0,NaN,1,NaN,0.80078125,NaN
5,3830,1,0,NaN,1,NaN,0.80078125,NaN
6,4240,1,0,NaN,1,NaN,0.798828125,NaN
7,4649,1,0,NaN,1,NaN,0.80078125,NaN
8,5059,1,0,NaN,1,NaN,0.798828125,NaN
9,5468,1,0,NaN,1,NaN,0.80078125,NaN
10,5878,1,0,NaN,1,NaN,0.798828125,NaN
11,6287,1,0,NaN,1,NaN,0.80078125,NaN
12,6697,1,0,NaN,1,NaN,0.80078125,NaN
13,7107,1,0,NaN,1,NaN,0.798828125,NaN
14,7516,1,0,NaN,1,NaN,0.80078125,NaN
15,7926,1,1,NaN,NaN,1,1.119140625,1.228515625
16,8499,1,0,0.109375,1,NaN,0.80078125,NaN
17,8909,1,0,NaN,1,NaN,0.798828125,NaN
18,9318,1,0,NaN,1,NaN,0.80078125,NaN
19,9728,1,0,NaN,1,NaN,0.798828125,NaN
20,10137,1,0,NaN,1,NaN,0.80078125,NaN
21,10547,1,0,NaN,1,NaN,0.80078125,NaN
22,10957,1,0,NaN,1,NaN,0.798828125,NaN
23,11366,1,0,NaN,1,NaN,0.80078125,NaN
24,11776,1,1,NaN,NaN,1,1.119140625,1.244140625
25,12349,1,0,0.125,1,NaN,0.80078125,NaN
26,12759,1,0,NaN,1,NaN,0.798828125,NaN
27,13168,1,0,NaN,1,NaN,0.80078125,NaN
28,13578,1,0,NaN,1,NaN,0.798828125,NaN
29,13987,1,0,NaN,1,NaN,0.80078125,NaN
30,14397,1,0,NaN,1,NaN,0.798828125,NaN
31,14806,1,1,1.109375,NaN,1,1.12109375,1.109375
32,15380,1,0,NaN,1,NaN,0.80078125,NaN
33,15790,1,0,NaN,1,NaN,0.798828125,NaN
34,16199,1,0,NaN,1,NaN,0.80078125,NaN
35,16609,1,0,NaN,1,NaN,0.798828125,NaN
36,17018,1,0,NaN,1,NaN,0.80078125,NaN
37,17428,1,0,NaN,1,NaN,0.798828125,NaN
38,17837,1,1,NaN,NaN,1,1.12109375,1.228515625
39,18411,1,0,0.107421875,1,NaN,0.798828125,NaN
40,18820,1,0,NaN,1,NaN,0.80078125,NaN
41,19230,1,0,NaN,1,NaN,0.798828125,NaN
42,19639,1,0,NaN,1,NaN,0.80078125,NaN
43,20049,1,0,NaN,1,NaN,0.798828125,NaN
44,20458,1,0,NaN,1,NaN,0.80078125,NaN
45,20868,1,0,NaN,1,NaN,0.80078125,NaN
46,21278,1,0,NaN,1,NaN,0.798828125,NaN
47,21687,1,1,NaN,NaN,1,1.12109375,1.916015625
48,22261,1,0,0.794921875,1,NaN,1.599609375,NaN
49,23080,1,0,NaN,1,NaN,0.80078125,NaN
50,23490,1,0,NaN,1,NaN,0.798828125,NaN
51,23899,1,0,NaN,1,NaN,0.798828125,NaN
