TrialN,Sample,BlockN,StimType,rawRT,corrNT,corrTG,ITI,RT
1,2230,1,0,NaN,1,NaN,0.798828125,NaN
2,2639,1,0,NaN,1,NaN,0.798828125,NaN
3,3048,1,0,NaN,1,NaN,0.80078125,NaN
4,3458,1,0,NaN,1,NaN,0.80078125,NaN
5,3868,1,0,NaN,1,NaN,0.798828125,NaN
6,4277,1,0,NaN,1,NaN,0.80078125,NaN
7,4687,1,0,NaN,1,NaN,0.798828125,NaN
8,5096,1,0,NaN,1,NaN,0.80078125,NaN
9,5506,1,0,NaN,1,NaN,0.798828125,NaN
10,5915,1,0,NaN,1,NaN,0.80078125,NaN
11,6325,1,1,NaN,NaN,1,1.119140625,1.35546875
12,6898,1,0,0.236328125,1,NaN,0.80078125,NaN
13,7308,1,0,NaN,1,NaN,0.80078125,NaN
14,7718,1,0,NaN,1,NaN,0.798828125,NaN
15,8127,1,0,NaN,1,NaN,0.80078125,NaN
16,8537,1,0,NaN,1,NaN,0.798828125,NaN
17,8946,1,0,NaN,1,NaN,0.80078125,NaN
18,9356,1,0,NaN,1,NaN,0.798828125,NaN
19,9765,1,0,NaN,1,NaN,0.80078125,NaN
20,10175,1,0,NaN,1,NaN,0.798828125,NaN
21,10584,1,0,NaN,1,NaN,0.80078125,NaN
22,10994,1,0,NaN,1,NaN,0.798828125,NaN
23,11403,1,0,NaN,1,NaN,0.80078125,NaN
24,11813,1,0,NaN,1,NaN,0.80078125,NaN
25,12223,1,1,NaN,NaN,1,1.119140625,1.33203125
26,12796,1,0,0.212890625,1,NaN,0.798828125,NaN
27,13205,1,0,NaN,1,NaN,0.80078125,NaN
28,13615,1,0,NaN,1,NaN,0.80078125,NaN
29,14025,1,0,NaN,1,NaN,0.798828125,NaN
30,14434,1,0,NaN,1,NaN,0.80078125,NaN
31,14844,1,0,NaN,1,NaN,0.798828125,NaN
32,15253,1,0,NaN,1,NaN,0.80078125,NaN
33,15663,1,0,NaN,1,NaN,0.798828125,NaN
34,16072,1,0,NaN,1,NaN,0.80078125,NaN
35,16482,1,1,NaN,NaN,0,1.119140625,NaN
36,17055,1,0,NaN,1,NaN,0.80078125,NaN
37,17465,1,0,NaN,1,NaN,0.80078125,NaN
38,17875,1,0,NaN,1,NaN,0.798828125,NaN
39,18284,1,0,NaN,1,NaN,0.80078125,NaN
40,18694,1,0,NaN,1,NaN,0.80078125,NaN
41,19104,1,0,NaN,1,NaN,0.798828125,NaN
42,19513,1,1,NaN,NaN,0,1.119140625,NaN
43,20086,1,0,NaN,1,NaN,0.80078125,NaN
44,20496,1,0,NaN,1,NaN,0.798828125,NaN
45,20905,1,0,NaN,1,NaN,0.80078125,NaN
46,21315,1,0,NaN,1,NaN,0.798828125,NaN
47,21724,1,0,NaN,1,NaN,0.80078125,NaN
48,22134,1,0,NaN,1,NaN,0.80078125,NaN
49,22544,1,1,NaN,NaN,0,1.119140625,NaN
50,23117,1,0,NaN,1,NaN,0.80078125,NaN
51,23527,1,0,NaN,1,NaN,0.798828125,NaN
52,23936,1,0,NaN,1,NaN,0.80078125,NaN
53,24346,1,0,NaN,1,NaN,0.798828125,NaN
54,24755,1,0,NaN,1,NaN,0.80078125,NaN
55,25165,1,0,NaN,1,NaN,0.80078125,NaN
56,25575,1,0,NaN,1,NaN,0.798828125,NaN
57,25984,1,0,NaN,1,NaN,0.80078125,NaN
58,26394,1,1,NaN,NaN,1,1.119140625,1.35546875
59,26967,1,0,0.236328125,1,NaN,0.798828125,NaN
60,27376,1,0,NaN,1,NaN,0.80078125,NaN
61,27786,1,0,NaN,1,NaN,0.80078125,NaN
62,28196,1,0,NaN,1,NaN,0.798828125,NaN
63,28605,1,0,NaN,1,NaN,0.80078125,NaN
64,29015,1,0,NaN,1,NaN,0.798828125,NaN
65,29424,1,0,NaN,1,NaN,0.80078125,NaN
66,29834,1,0,NaN,1,NaN,0.80078125,NaN
67,30244,1,0,NaN,1,NaN,0.798828125,NaN
68,30653,1,0,NaN,1,NaN,0.80078125,NaN
69,31063,1,0,NaN,1,NaN,0.798828125,NaN
70,31472,1,0,NaN,1,NaN,0.80078125,NaN
71,31882,1,1,NaN,NaN,0,1.119140625,NaN
72,32455,1,0,NaN,1,NaN,0.80078125,NaN
73,32865,1,0,NaN,1,NaN,0.80078125,NaN
74,33275,1,0,NaN,1,NaN,0.798828125,NaN
75,33684,1,0,NaN,1,NaN,0.80078125,NaN
76,34094,1,0,NaN,1,NaN,0.798828125,NaN
77,34503,1,0,NaN,1,NaN,0.80078125,NaN
78,34913,1,0,NaN,1,NaN,0.798828125,NaN
79,35322,1,0,NaN,1,NaN,0.80078125,NaN
80,35732,1,0,NaN,1,NaN,0.798828125,NaN
81,36141,1,0,NaN,1,NaN,0.80078125,NaN
82,36551,1,0,NaN,1,NaN,0.80078125,NaN
83,36961,1,0,NaN,1,NaN,0.798828125,NaN
84,37370,1,0,NaN,1,NaN,0.80078125,NaN
85,37780,1,0,NaN,1,NaN,0.798828125,NaN
86,38189,1,1,NaN,NaN,0,1.12109375,NaN
87,38763,1,0,NaN,1,NaN,0.798828125,NaN
88,39172,1,0,NaN,1,NaN,0.80078125,NaN
89,39582,1,0,NaN,1,NaN,0.798828125,NaN
90,39991,1,0,NaN,1,NaN,0.80078125,NaN
91,40401,1,0,NaN,1,NaN,0.80078125,NaN
92,40811,1,0,NaN,1,NaN,0.798828125,NaN
93,41220,1,1,NaN,NaN,0,1.119140625,NaN
94,41793,1,0,NaN,1,NaN,0.80078125,NaN
95,42203,1,0,NaN,1,NaN,0.798828125,NaN
96,42612,1,0,NaN,1,NaN,0.80078125,NaN
97,43022,1,0,NaN,1,NaN,0.798828125,NaN
98,43431,1,0,NaN,1,NaN,0.80078125,NaN
99,43841,1,0,NaN,1,NaN,0.80078125,NaN
100,44251,1,0,NaN,1,NaN,0.798828125,NaN
101,44660,1,0,NaN,1,NaN,0.80078125,NaN
102,45070,1,1,NaN,NaN,0,1.119140625,NaN
103,45643,1,0,NaN,1,NaN,0.80078125,NaN
104,46053,1,0,NaN,1,NaN,0.798828125,NaN
105,46462,1,0,NaN,1,NaN,0.80078125,NaN
106,46872,1,0,NaN,1,NaN,0.80078125,NaN
107,47282,1,0,NaN,1,NaN,0.798828125,NaN
108,47691,1,0,NaN,1,NaN,0.80078125,NaN
109,48101,1,0,NaN,1,NaN,0.798828125,NaN
110,48510,1,0,NaN,1,NaN,0.80078125,NaN
111,48920,1,0,NaN,1,NaN,0.798828125,NaN
112,49329,1,1,NaN,NaN,0,1.12109375,NaN
113,49903,1,0,NaN,1,NaN,0.798828125,NaN
114,50312,1,0,NaN,1,NaN,0.80078125,NaN
115,50722,1,0,NaN,1,NaN,0.80078125,NaN
116,51132,1,0,NaN,1,NaN,0.798828125,NaN
117,51541,1,0,NaN,1,NaN,0.798828125,NaN
118,51950,1,0,NaN,1,NaN,0.80078125,NaN
119,52360,1,0,NaN,1,NaN,0.80078125,NaN
120,52770,1,0,NaN,1,NaN,0.798828125,NaN
121,53179,1,0,NaN,1,NaN,0.80078125,NaN
122,53589,1,1,NaN,NaN,1,1.119140625,1.5
123,54162,1,0,0.380859375,1,NaN,0.80078125,NaN
124,54572,1,0,NaN,1,NaN,0.798828125,NaN
125,54981,1,0,NaN,1,NaN,0.80078125,NaN
126,55391,1,0,NaN,1,NaN,0.798828125,NaN
127,55800,1,0,NaN,1,NaN,0.80078125,NaN
128,56210,1,0,NaN,1,NaN,0.80078125,NaN
129,56620,1,0,NaN,1,NaN,0.798828125,NaN
130,57029,1,0,NaN,1,NaN,0.80078125,NaN
131,57439,1,0,NaN,1,NaN,0.798828125,NaN
132,57848,1,0,NaN,1,NaN,0.80078125,NaN
133,58258,1,0,NaN,1,NaN,0.798828125,NaN
134,58667,1,1,NaN,NaN,1,1.12109375,1.59765625
135,59241,1,0,0.4765625,1,NaN,0.798828125,NaN
136,59650,1,0,NaN,1,NaN,0.80078125,NaN
137,60060,1,0,NaN,1,NaN,0.80078125,NaN
138,60470,1,0,NaN,1,NaN,0.798828125,NaN
139,60879,1,0,NaN,1,NaN,0.80078125,NaN
140,61289,1,0,NaN,1,NaN,0.798828125,NaN
141,61698,1,0,NaN,1,NaN,0.80078125,NaN
142,62108,1,1,NaN,NaN,0,1.119140625,NaN
143,62681,1,0,NaN,0,NaN,0.80078125,1.1484375
144,63091,1,0,0.34765625,1,NaN,0.80078125,NaN
145,63501,1,0,NaN,1,NaN,0.798828125,NaN
146,63910,1,0,NaN,1,NaN,0.798828125,NaN
147,64319,1,0,NaN,1,NaN,0.80078125,NaN
148,64729,1,0,NaN,1,NaN,0.80078125,NaN
149,65139,1,0,NaN,1,NaN,0.798828125,NaN
150,65548,1,0,NaN,1,NaN,0.80078125,NaN
151,65958,1,0,NaN,1,NaN,0.80078125,NaN
152,66368,1,0,NaN,1,NaN,0.798828125,NaN
153,66777,1,1,NaN,NaN,0,1.119140625,NaN
154,67350,1,0,NaN,1,NaN,0.80078125,NaN
155,67760,1,0,NaN,1,NaN,0.80078125,NaN
156,68170,1,0,NaN,1,NaN,0.798828125,NaN
157,68579,1,0,NaN,1,NaN,0.80078125,NaN
158,68989,1,0,NaN,1,NaN,0.798828125,NaN
159,69398,1,0,NaN,1,NaN,0.80078125,NaN
160,69808,1,0,NaN,1,NaN,0.798828125,NaN
161,70217,1,0,NaN,1,NaN,0.80078125,NaN
162,70627,1,1,NaN,NaN,1,1.119140625,1.572265625
163,71200,1,0,0.453125,1,NaN,0.80078125,NaN
164,71610,1,0,NaN,1,NaN,0.798828125,NaN
165,72019,1,0,NaN,1,NaN,0.80078125,NaN
166,72429,1,0,NaN,1,NaN,0.798828125,NaN
167,72838,1,0,NaN,1,NaN,0.80078125,NaN
168,73248,1,0,NaN,1,NaN,0.798828125,NaN
169,73657,1,0,NaN,1,NaN,0.80078125,NaN
170,74067,1,0,NaN,1,NaN,0.80078125,NaN
171,74477,1,0,NaN,1,NaN,0.798828125,NaN
172,74886,1,1,NaN,NaN,1,1.12109375,1.404296875
173,75460,1,0,0.283203125,1,NaN,0.798828125,NaN
174,75869,1,0,NaN,1,NaN,0.80078125,NaN
175,76279,1,0,NaN,1,NaN,0.798828125,NaN
176,76688,1,0,NaN,1,NaN,0.80078125,NaN
177,77098,1,0,NaN,1,NaN,0.80078125,NaN
178,77508,1,0,NaN,1,NaN,0.798828125,NaN
179,77917,1,1,NaN,NaN,1,1.119140625,1.32421875
180,78490,1,0,0.205078125,1,NaN,0.80078125,NaN
181,78900,1,0,NaN,1,NaN,0.80078125,NaN
182,79310,1,0,NaN,1,NaN,0.798828125,NaN
183,79719,1,0,NaN,1,NaN,0.80078125,NaN
184,80129,1,0,NaN,1,NaN,0.798828125,NaN
185,80538,1,0,NaN,1,NaN,0.80078125,NaN
186,80948,1,0,NaN,1,NaN,0.798828125,NaN
187,81357,1,0,NaN,1,NaN,0.80078125,NaN
188,81767,1,0,NaN,1,NaN,0.798828125,NaN
189,82176,1,0,NaN,1,NaN,0.80078125,NaN
190,82586,1,0,NaN,1,NaN,0.80078125,NaN
191,82996,1,0,NaN,1,NaN,0.798828125,NaN
192,83405,1,0,NaN,1,NaN,0.80078125,NaN
193,83815,1,0,NaN,1,NaN,0.798828125,NaN
194,84224,1,1,NaN,NaN,0,1.12109375,NaN
195,84798,1,0,NaN,1,NaN,0.798828125,NaN
196,85207,1,0,NaN,1,NaN,0.80078125,NaN
197,85617,1,0,NaN,1,NaN,0.798828125,NaN
198,86026,1,0,NaN,1,NaN,0.80078125,NaN
199,86436,1,0,NaN,1,NaN,0.80078125,NaN
200,86846,1,0,NaN,1,NaN,0.798828125,NaN
201,87255,1,0,NaN,1,NaN,0.80078125,NaN
202,87665,1,0,NaN,1,NaN,0.80078125,NaN
203,88075,1,0,NaN,1,NaN,0.798828125,NaN
204,88484,1,0,NaN,1,NaN,0.798828125,NaN
205,88893,1,0,NaN,1,NaN,0.80078125,NaN
206,89303,1,0,NaN,1,NaN,0.798828125,NaN
207,89712,1,1,NaN,NaN,1,1.12109375,1.390625
208,90286,1,0,0.26953125,1,NaN,0.798828125,NaN
209,90695,1,0,NaN,1,NaN,0.80078125,NaN
210,91105,1,0,NaN,1,NaN,0.80078125,NaN
211,91515,1,0,NaN,1,NaN,0.798828125,NaN
212,91924,1,0,NaN,1,NaN,0.80078125,NaN
213,92334,1,0,NaN,1,NaN,0.798828125,NaN
214,92743,1,0,NaN,1,NaN,0.80078125,NaN
215,93153,1,0,NaN,1,NaN,0.798828125,NaN
216,93562,1,0,NaN,1,NaN,0.80078125,NaN
217,93972,1,0,NaN,1,NaN,0.80078125,NaN
218,94382,1,0,NaN,1,NaN,0.798828125,NaN
219,94791,1,0,NaN,1,NaN,0.80078125,NaN
220,95201,1,0,NaN,1,NaN,0.798828125,NaN
221,95610,1,1,NaN,NaN,0,1.12109375,NaN
222,96184,1,0,NaN,1,NaN,0.798828125,NaN
223,96593,1,0,NaN,1,NaN,0.80078125,NaN
224,97003,1,0,NaN,1,NaN,0.80078125,NaN
225,97413,1,0,NaN,1,NaN,34.419921875,NaN
226,115036,2,0,NaN,1,NaN,0.798828125,NaN
227,115445,2,0,NaN,1,NaN,0.80078125,NaN
228,115855,2,0,NaN,1,NaN,0.798828125,NaN
229,116264,2,0,NaN,1,NaN,0.80078125,NaN
230,116674,2,0,NaN,1,NaN,0.798828125,NaN
231,117083,2,0,NaN,1,NaN,0.80078125,NaN
232,117493,2,0,NaN,1,NaN,0.798828125,NaN
233,117902,2,0,NaN,1,NaN,0.80078125,NaN
234,118312,2,0,NaN,1,NaN,0.80078125,NaN
235,118722,2,0,NaN,1,NaN,0.798828125,NaN
236,119131,2,0,NaN,1,NaN,0.80078125,NaN
237,119541,2,0,NaN,1,NaN,0.798828125,NaN
238,119950,2,0,NaN,1,NaN,0.80078125,NaN
239,120360,2,0,NaN,1,NaN,0.798828125,NaN
240,120769,2,1,NaN,NaN,1,1.12109375,1.509765625
241,121343,2,0,0.388671875,1,NaN,0.798828125,NaN
242,121752,2,0,NaN,1,NaN,0.80078125,NaN
243,122162,2,0,NaN,1,NaN,0.80078125,NaN
244,122572,2,0,NaN,1,NaN,0.798828125,NaN
245,122981,2,0,NaN,1,NaN,0.80078125,NaN
246,123391,2,0,NaN,1,NaN,0.798828125,NaN
247,123800,2,0,NaN,1,NaN,0.80078125,NaN
248,124210,2,0,NaN,1,NaN,0.798828125,NaN
249,124619,2,0,NaN,1,NaN,0.80078125,NaN
250,125029,2,0,NaN,1,NaN,0.798828125,NaN
251,125438,2,0,NaN,1,NaN,0.80078125,NaN
252,125848,2,0,NaN,1,NaN,0.80078125,NaN
253,126258,2,0,NaN,1,NaN,0.798828125,NaN
254,126667,2,0,NaN,1,NaN,0.80078125,NaN
255,127077,2,1,NaN,NaN,0,1.119140625,NaN
256,127650,2,0,NaN,1,NaN,0.80078125,NaN
257,128060,2,0,NaN,1,NaN,0.798828125,NaN
258,128469,2,0,NaN,1,NaN,0.80078125,NaN
259,128879,2,0,NaN,1,NaN,0.798828125,NaN
260,129288,2,0,NaN,1,NaN,0.80078125,NaN
261,129698,2,0,NaN,1,NaN,0.80078125,NaN
262,130108,2,0,NaN,1,NaN,0.798828125,NaN
263,130517,2,0,NaN,1,NaN,0.80078125,NaN
264,130927,2,0,NaN,1,NaN,0.798828125,NaN
265,131336,2,0,NaN,1,NaN,0.80078125,NaN
266,131746,2,0,NaN,1,NaN,0.80078125,NaN
267,132156,2,1,NaN,NaN,0,1.119140625,NaN
268,132729,2,0,NaN,1,NaN,0.798828125,NaN
269,133138,2,0,NaN,1,NaN,0.80078125,NaN
270,133548,2,0,NaN,1,NaN,0.80078125,NaN
271,133958,2,0,NaN,1,NaN,0.798828125,NaN
272,134367,2,0,NaN,1,NaN,0.80078125,NaN
273,134777,2,0,NaN,1,NaN,0.798828125,NaN
274,135186,2,0,NaN,1,NaN,0.80078125,NaN
275,135596,2,0,NaN,1,NaN,0.798828125,NaN
276,136005,2,0,NaN,1,NaN,0.80078125,NaN
277,136415,2,1,NaN,NaN,1,1.12109375,1.27734375
278,136989,2,0,0.15625,1,NaN,0.798828125,NaN
279,137398,2,0,NaN,1,NaN,0.80078125,NaN
280,137808,2,0,NaN,1,NaN,0.798828125,NaN
281,138217,2,0,NaN,1,NaN,0.80078125,NaN
282,138627,2,0,NaN,1,NaN,0.798828125,NaN
283,139036,2,0,NaN,1,NaN,0.80078125,NaN
284,139446,2,0,NaN,1,NaN,0.798828125,NaN
285,139855,2,1,NaN,NaN,1,1.12109375,1.318359375
286,140429,2,0,0.197265625,1,NaN,0.798828125,NaN
287,140838,2,0,NaN,1,NaN,0.80078125,NaN
288,141248,2,0,NaN,1,NaN,0.798828125,NaN
289,141657,2,0,NaN,1,NaN,0.80078125,NaN
