TrialN,Sample,BlockN,StimType,rawRT,corrNT,corrTG,ITI,RT
1,1842,1,0,NaN,1,NaN,0.798828125,NaN
2,2251,1,0,NaN,1,NaN,0.80078125,NaN
3,2661,1,0,NaN,1,NaN,0.80078125,NaN
4,3071,1,0,NaN,1,NaN,0.798828125,NaN
5,3480,1,0,NaN,1,NaN,0.798828125,NaN
6,3889,1,0,NaN,1,NaN,0.80078125,NaN
7,4299,1,0,NaN,1,NaN,0.80078125,NaN
8,4709,1,0,NaN,1,NaN,0.798828125,NaN
9,5118,1,0,NaN,1,NaN,0.80078125,NaN
10,5528,1,0,NaN,0,NaN,0.798828125,0.90625
11,5937,1,0,0.107421875,1,NaN,0.80078125,NaN
12,6347,1,0,NaN,1,NaN,0.798828125,NaN
13,6756,1,0,NaN,1,NaN,0.80078125,NaN
14,7166,1,0,NaN,1,NaN,0.798828125,NaN
15,7575,1,0,NaN,1,NaN,0.80078125,NaN
16,7985,1,1,NaN,NaN,1,1.12109375,1.21875
17,8559,1,0,0.09765625,1,NaN,0.798828125,NaN
18,8968,1,0,NaN,1,NaN,0.80078125,NaN
19,9378,1,0,NaN,1,NaN,0.798828125,NaN
20,9787,1,0,NaN,1,NaN,0.80078125,NaN
21,10197,1,0,NaN,1,NaN,0.798828125,NaN
22,10606,1,0,NaN,1,NaN,0.80078125,NaN
23,11016,1,0,NaN,1,NaN,0.798828125,NaN
24,11425,1,0,NaN,1,NaN,0.80078125,NaN
25,11835,1,1,NaN,NaN,1,1.12109375,1.283203125
26,12409,1,0,0.162109375,1,NaN,0.798828125,NaN
27,12818,1,0,NaN,1,NaN,0.798828125,NaN
28,13227,1,0,NaN,1,NaN,0.80078125,NaN
29,13637,1,0,NaN,1,NaN,0.80078125,NaN
30,14047,1,0,NaN,1,NaN,0.798828125,NaN
31,14456,1,0,NaN,1,NaN,0.80078125,NaN
32,14866,1,0,NaN,1,NaN,0.798828125,NaN
33,15275,1,0,NaN,1,NaN,0.80078125,NaN
34,15685,1,0,NaN,1,NaN,0.798828125,NaN
35,16094,1,0,NaN,1,NaN,0.80078125,NaN
36,16504,1,0,NaN,1,NaN,0.80078125,NaN
37,16914,1,0,NaN,1,NaN,0.798828125,NaN
38,17323,1,0,NaN,1,NaN,0.80078125,NaN
39,17733,1,0,NaN,1,NaN,0.798828125,NaN
40,18142,1,1,NaN,NaN,1,1.12109375,1.30859375
41,18716,1,0,0.1875,1,NaN,0.798828125,NaN
42,19125,1,0,NaN,1,NaN,0.80078125,NaN
43,19535,1,0,NaN,1,NaN,0.798828125,NaN
44,19944,1,0,NaN,1,NaN,0.80078125,NaN
45,20354,1,0,NaN,1,NaN,0.80078125,NaN
46,20764,1,0,NaN,1,NaN,0.798828125,NaN
47,21173,1,0,NaN,1,NaN,0.80078125,NaN
48,21583,1,0,NaN,1,NaN,0.798828125,NaN
49,21992,1,0,NaN,1,NaN,0.80078125,NaN
50,22402,1,0,NaN,1,NaN,0.798828125,NaN
51,22811,1,0,NaN,0,NaN,0.80078125,1.203125
52,23221,1,0,0.40234375,1,NaN,0.798828125,NaN
53,23630,1,1,NaN,NaN,1,1.12109375,1.64453125
54,24204,1,0,0.5234375,1,NaN,0.798828125,NaN
55,24613,1,0,NaN,1,NaN,0.80078125,NaN
56,25023,1,0,NaN,1,NaN,0.80078125,NaN
57,25433,1,0,NaN,1,NaN,0.798828125,NaN
58,25842,1,0,NaN,1,NaN,0.80078125,NaN
59,26252,1,0,NaN,1,NaN,0.798828125,NaN
60,26661,1,0,NaN,1,NaN,0.80078125,NaN
61,27071,1,0,NaN,1,NaN,0.80078125,NaN
62,27481,1,0,NaN,1,NaN,0.798828125,NaN
63,27890,1,1,1.115234375,NaN,1,1.919921875,1.115234375
64,28873,1,0,NaN,1,NaN,0.798828125,NaN
65,29282,1,0,NaN,1,NaN,0.80078125,NaN
66,29692,1,0,NaN,1,NaN,0.80078125,NaN
67,30102,1,0,NaN,1,NaN,0.798828125,NaN
68,30511,1,0,NaN,1,NaN,0.80078125,NaN
69,30921,1,0,NaN,1,NaN,0.798828125,NaN
70,31330,1,0,NaN,1,NaN,0.80078125,NaN
71,31740,1,0,NaN,1,NaN,0.798828125,NaN
72,32149,1,1,NaN,NaN,1,1.12109375,1.900390625
73,32723,1,0,0.779296875,1,NaN,0.798828125,NaN
74,33132,1,0,NaN,1,NaN,0.80078125,NaN
75,33542,1,0,NaN,1,NaN,0.80078125,NaN
76,33952,1,0,NaN,1,NaN,0.798828125,NaN
77,34361,1,0,NaN,0,NaN,0.80078125,1.091796875
78,34771,1,0,0.291015625,1,NaN,0.80078125,NaN
79,35181,1,0,NaN,1,NaN,0.798828125,NaN
80,35590,1,0,NaN,1,NaN,0.798828125,NaN
81,35999,1,0,NaN,1,NaN,0.80078125,NaN
82,36409,1,0,NaN,1,NaN,0.80078125,NaN
83,36819,1,1,NaN,NaN,1,1.119140625,1.513671875
84,37392,1,0,0.39453125,1,NaN,0.798828125,NaN
85,37801,1,0,NaN,1,NaN,0.80078125,NaN
86,38211,1,0,NaN,1,NaN,0.80078125,NaN
87,38621,1,0,NaN,1,NaN,0.798828125,NaN
88,39030,1,0,NaN,1,NaN,0.80078125,NaN
89,39440,1,0,NaN,1,NaN,0.798828125,NaN
90,39849,1,1,NaN,NaN,1,1.12109375,1.443359375
91,40423,1,0,0.322265625,1,NaN,0.798828125,NaN
92,40832,1,0,NaN,1,NaN,0.80078125,NaN
93,41242,1,0,NaN,1,NaN,0.798828125,NaN
94,41651,1,0,NaN,1,NaN,0.80078125,NaN
95,42061,1,0,NaN,1,NaN,0.80078125,NaN
96,42471,1,0,NaN,1,NaN,0.798828125,NaN
97,42880,1,0,NaN,1,NaN,0.80078125,NaN
98,43290,1,0,NaN,1,NaN,0.80078125,NaN
99,43700,1,1,NaN,NaN,1,1.119140625,1.169921875
100,44273,1,0,0.05078125,1,NaN,0.798828125,NaN
101,44682,1,0,NaN,1,NaN,0.80078125,NaN
102,45092,1,0,NaN,1,NaN,0.80078125,NaN
103,45502,1,0,NaN,1,NaN,0.798828125,NaN
104,45911,1,0,NaN,1,NaN,0.798828125,NaN
105,46320,1,0,NaN,1,NaN,0.80078125,NaN
106,46730,1,0,NaN,1,NaN,0.80078125,NaN
107,47140,1,0,NaN,1,NaN,0.798828125,NaN
108,47549,1,0,NaN,1,NaN,0.80078125,NaN
109,47959,1,0,NaN,1,NaN,0.798828125,NaN
110,48368,1,0,NaN,1,NaN,0.80078125,NaN
111,48778,1,0,NaN,1,NaN,0.80078125,NaN
112,49188,1,1,NaN,NaN,1,1.119140625,1.154296875
113,49761,1,0,0.03515625,1,NaN,0.798828125,NaN
114,50170,1,0,NaN,1,NaN,0.80078125,NaN
115,50580,1,0,NaN,1,NaN,0.80078125,NaN
116,50990,1,0,NaN,1,NaN,0.798828125,NaN
117,51399,1,0,NaN,1,NaN,0.80078125,NaN
118,51809,1,0,NaN,1,NaN,0.798828125,NaN
119,52218,1,0,NaN,1,NaN,0.80078125,NaN
120,52628,1,0,NaN,1,NaN,0.798828125,NaN
121,53037,1,0,NaN,1,NaN,0.80078125,NaN
122,53447,1,0,NaN,1,NaN,0.80078125,NaN
123,53857,1,0,NaN,1,NaN,0.798828125,NaN
124,54266,1,0,NaN,1,NaN,0.80078125,NaN
125,54676,1,1,1.10546875,NaN,1,1.119140625,1.10546875
126,55249,1,0,NaN,1,NaN,0.80078125,NaN
127,55659,1,0,NaN,1,NaN,0.798828125,NaN
128,56068,1,0,NaN,1,NaN,0.80078125,NaN
129,56478,1,0,NaN,1,NaN,0.798828125,NaN
130,56887,1,0,NaN,1,NaN,0.80078125,NaN
131,57297,1,0,NaN,1,NaN,0.798828125,NaN
132,57706,1,0,NaN,1,NaN,0.80078125,NaN
133,58116,1,0,NaN,1,NaN,0.80078125,NaN
134,58526,1,0,NaN,1,NaN,0.798828125,NaN
135,58935,1,0,NaN,1,NaN,0.80078125,NaN
136,59345,1,0,NaN,1,NaN,0.80078125,NaN
137,59755,1,0,NaN,1,NaN,0.798828125,NaN
138,60164,1,0,NaN,1,NaN,0.798828125,NaN
139,60573,1,0,NaN,1,NaN,0.80078125,NaN
140,60983,1,1,NaN,NaN,1,1.119140625,1.25
141,61556,1,0,0.130859375,1,NaN,0.80078125,NaN
142,61966,1,0,NaN,1,NaN,0.798828125,NaN
143,62375,1,0,NaN,1,NaN,0.80078125,NaN
144,62785,1,0,NaN,1,NaN,0.80078125,NaN
145,63195,1,0,NaN,1,NaN,0.798828125,NaN
146,63604,1,0,NaN,1,NaN,0.80078125,NaN
147,64014,1,0,NaN,1,NaN,0.798828125,NaN
148,64423,1,0,NaN,1,NaN,0.80078125,NaN
149,64833,1,0,NaN,1,NaN,0.80078125,NaN
150,65243,1,0,NaN,1,NaN,0.798828125,NaN
151,65652,1,0,NaN,1,NaN,0.80078125,NaN
152,66062,1,0,NaN,1,NaN,0.798828125,NaN
153,66471,1,0,NaN,1,NaN,0.80078125,NaN
154,66881,1,1,NaN,NaN,1,1.119140625,1.443359375
155,67454,1,0,0.32421875,1,NaN,0.80078125,NaN
156,67864,1,0,NaN,1,NaN,0.798828125,NaN
157,68273,1,0,NaN,1,NaN,0.80078125,NaN
158,68683,1,0,NaN,1,NaN,0.80078125,NaN
159,69093,1,0,NaN,1,NaN,0.798828125,NaN
160,69502,1,0,NaN,0,NaN,0.80078125,0.8828125
161,69912,1,0,0.08203125,1,NaN,0.798828125,NaN
162,70321,1,0,NaN,1,NaN,0.80078125,NaN
163,70731,1,0,NaN,1,NaN,0.798828125,NaN
164,71140,1,0,NaN,1,NaN,0.80078125,NaN
165,71550,1,0,NaN,1,NaN,0.798828125,NaN
166,71959,1,0,NaN,1,NaN,0.80078125,NaN
167,72369,1,1,NaN,NaN,0,1.119140625,NaN
168,72942,1,0,NaN,1,NaN,0.80078125,NaN
169,73352,1,0,NaN,1,NaN,0.798828125,NaN
170,73761,1,0,NaN,1,NaN,0.80078125,NaN
171,74171,1,0,NaN,1,NaN,0.80078125,NaN
172,74581,1,0,NaN,1,NaN,0.798828125,NaN
173,74990,1,0,NaN,1,NaN,0.80078125,NaN
174,75400,1,0,NaN,1,NaN,0.798828125,NaN
175,75809,1,0,NaN,1,NaN,0.80078125,NaN
176,76219,1,0,NaN,1,NaN,0.798828125,NaN
177,76628,1,0,NaN,1,NaN,0.80078125,NaN
178,77038,1,1,NaN,NaN,1,1.12109375,1.38671875
179,77612,1,0,0.265625,1,NaN,0.798828125,NaN
180,78021,1,0,NaN,1,NaN,0.798828125,NaN
181,78430,1,0,NaN,1,NaN,0.80078125,NaN
182,78840,1,0,NaN,1,NaN,0.80078125,NaN
183,79250,1,0,NaN,1,NaN,0.798828125,NaN
184,79659,1,0,NaN,1,NaN,0.80078125,NaN
185,80069,1,0,NaN,1,NaN,0.798828125,NaN
186,80478,1,0,NaN,1,NaN,0.80078125,NaN
187,80888,1,0,NaN,1,NaN,0.798828125,NaN
188,81297,1,0,NaN,1,NaN,0.80078125,NaN
189,81707,1,1,NaN,NaN,1,1.119140625,1.39453125
190,82280,1,0,0.275390625,1,NaN,0.80078125,NaN
191,82690,1,0,NaN,1,NaN,0.80078125,NaN
192,83100,1,0,NaN,1,NaN,0.798828125,NaN
193,83509,1,0,NaN,1,NaN,0.80078125,NaN
194,83919,1,0,NaN,1,NaN,0.798828125,NaN
195,84328,1,0,NaN,1,NaN,0.80078125,NaN
196,84738,1,0,NaN,1,NaN,0.798828125,NaN
197,85147,1,0,NaN,1,NaN,0.80078125,NaN
198,85557,1,0,NaN,1,NaN,0.80078125,NaN
199,85967,1,0,NaN,1,NaN,0.798828125,NaN
200,86376,1,0,NaN,1,NaN,0.80078125,NaN
201,86786,1,0,NaN,1,NaN,0.798828125,NaN
202,87195,1,0,NaN,1,NaN,0.80078125,NaN
203,87605,1,1,NaN,NaN,1,1.119140625,1.435546875
204,88178,1,0,0.31640625,1,NaN,0.80078125,NaN
205,88588,1,0,NaN,1,NaN,0.798828125,NaN
