TrialN,Sample,BlockN,StimType,rawRT,corrNT,corrTG,ITI,RT
1,1689,1,0,NaN,1,NaN,0.796875,NaN
2,2097,1,0,NaN,1,NaN,0.80078125,NaN
3,2507,1,0,NaN,1,NaN,0.80078125,NaN
4,2917,1,0,NaN,1,NaN,0.798828125,NaN
5,3326,1,0,NaN,1,NaN,0.80078125,NaN
6,3736,1,0,NaN,1,NaN,0.798828125,NaN
7,4145,1,0,NaN,1,NaN,0.80078125,NaN
8,4555,1,0,NaN,0,NaN,0.798828125,1.0234375
9,4964,1,0,0.224609375,1,NaN,0.80078125,NaN
10,5374,1,0,NaN,1,NaN,0.798828125,NaN
11,5783,1,0,NaN,1,NaN,0.80078125,NaN
12,6193,1,1,NaN,NaN,1,1.119140625,1.7265625
13,6766,1,0,0.607421875,1,NaN,0.80078125,NaN
14,7176,1,0,NaN,1,NaN,0.80078125,NaN
15,7586,1,0,NaN,1,NaN,0.798828125,NaN
16,7995,1,0,NaN,1,NaN,0.80078125,NaN
17,8405,1,0,NaN,1,NaN,0.798828125,NaN
18,8814,1,0,NaN,1,NaN,0.80078125,NaN
19,9224,1,0,NaN,1,NaN,0.798828125,NaN
20,9633,1,0,NaN,1,NaN,0.80078125,NaN
21,10043,1,0,NaN,1,NaN,0.80078125,NaN
22,10453,1,0,NaN,1,NaN,0.798828125,NaN
23,10862,1,0,NaN,1,NaN,0.80078125,NaN
24,11272,1,0,NaN,1,NaN,0.798828125,NaN
25,11681,1,0,NaN,1,NaN,0.80078125,NaN
26,12091,1,1,NaN,NaN,1,1.119140625,1.630859375
27,12664,1,0,0.51171875,1,NaN,0.80078125,NaN
28,13074,1,0,NaN,1,NaN,0.80078125,NaN
29,13484,1,0,NaN,1,NaN,0.798828125,NaN
30,13893,1,0,NaN,1,NaN,0.798828125,NaN
31,14302,1,0,NaN,1,NaN,0.80078125,NaN
32,14712,1,0,NaN,1,NaN,0.80078125,NaN
33,15122,1,0,NaN,1,NaN,0.798828125,NaN
34,15531,1,0,NaN,1,NaN,0.80078125,NaN
