TrialN,Sample,BlockN,StimType,rawRT,corrNT,corrTG,ITI,RT
1,2567,1,0,NaN,1,NaN,0.798828125,NaN
2,2976,1,0,NaN,1,NaN,0.798828125,NaN
3,3385,1,0,NaN,1,NaN,0.80078125,NaN
4,3795,1,0,NaN,1,NaN,0.798828125,NaN
5,4204,1,0,NaN,1,NaN,0.80078125,NaN
6,4614,1,0,NaN,1,NaN,0.798828125,NaN
7,5023,1,0,NaN,1,NaN,0.80078125,NaN
8,5433,1,1,NaN,NaN,1,1.119140625,1.322265625
9,6006,1,0,0.203125,1,NaN,0.80078125,NaN
10,6416,1,0,NaN,1,NaN,0.798828125,NaN
11,6825,1,0,NaN,1,NaN,0.80078125,NaN
12,7235,1,0,NaN,1,NaN,0.798828125,NaN
13,7644,1,0,NaN,1,NaN,0.80078125,NaN
14,8054,1,0,NaN,1,NaN,0.80078125,NaN
15,8464,1,0,NaN,1,NaN,0.798828125,NaN
16,8873,1,0,NaN,1,NaN,0.80078125,NaN
17,9283,1,1,NaN,NaN,1,1.119140625,1.5234375
18,9856,1,0,0.404296875,1,NaN,0.80078125,NaN
19,10266,1,0,NaN,1,NaN,0.798828125,NaN
20,10675,1,0,NaN,1,NaN,0.80078125,NaN
21,11085,1,0,NaN,1,NaN,0.798828125,NaN
22,11494,1,0,NaN,1,NaN,0.80078125,NaN
23,11904,1,0,NaN,1,NaN,0.80078125,NaN
24,12314,1,0,NaN,1,NaN,0.798828125,NaN
25,12723,1,0,NaN,1,NaN,0.80078125,NaN
26,13133,1,0,NaN,1,NaN,0.80078125,NaN
27,13543,1,0,NaN,1,NaN,0.798828125,NaN
28,13952,1,0,NaN,1,NaN,0.798828125,NaN
29,14361,1,1,NaN,NaN,1,1.12109375,1.35546875
30,14935,1,0,0.234375,1,NaN,0.798828125,NaN
31,15344,1,0,NaN,1,NaN,0.80078125,NaN
32,15754,1,0,NaN,1,NaN,0.798828125,NaN
33,16163,1,0,NaN,1,NaN,0.80078125,NaN
34,16573,1,0,NaN,1,NaN,0.80078125,NaN
35,16983,1,0,NaN,1,NaN,0.798828125,NaN
36,17392,1,1,NaN,NaN,1,1.12109375,1.306640625
37,17966,1,0,0.185546875,1,NaN,0.798828125,NaN
38,18375,1,0,NaN,1,NaN,0.80078125,NaN
39,18785,1,0,NaN,1,NaN,0.798828125,NaN
40,19194,1,0,NaN,1,NaN,0.80078125,NaN
41,19604,1,0,NaN,1,NaN,0.798828125,NaN
42,20013,1,0,NaN,1,NaN,0.80078125,NaN
43,20423,1,0,NaN,1,NaN,0.80078125,NaN
44,20833,1,0,NaN,1,NaN,0.798828125,NaN
45,21242,1,0,NaN,1,NaN,0.80078125,NaN
46,21652,1,1,1.08203125,NaN,1,1.119140625,1.08203125
47,22225,1,0,NaN,1,NaN,0.80078125,NaN
48,22635,1,0,NaN,1,NaN,0.798828125,NaN
49,23044,1,0,NaN,1,NaN,0.80078125,NaN
50,23454,1,0,NaN,1,NaN,0.798828125,NaN
51,23863,1,0,NaN,1,NaN,0.80078125,NaN
52,24273,1,0,NaN,1,NaN,0.80078125,NaN
53,24683,1,0,NaN,1,NaN,0.798828125,NaN
54,25092,1,0,NaN,1,NaN,0.80078125,NaN
55,25502,1,0,NaN,1,NaN,0.798828125,NaN
56,25911,1,1,NaN,NaN,1,1.12109375,1.435546875
57,26485,1,0,0.314453125,1,NaN,0.798828125,NaN
58,26894,1,0,NaN,1,NaN,0.80078125,NaN
59,27304,1,0,NaN,1,NaN,0.798828125,NaN
60,27713,1,0,NaN,1,NaN,0.80078125,NaN
61,28123,1,0,NaN,1,NaN,0.798828125,NaN
62,28532,1,0,NaN,1,NaN,0.80078125,NaN
63,28942,1,0,NaN,1,NaN,0.80078125,NaN
64,29352,1,0,NaN,1,NaN,0.798828125,NaN
65,29761,1,0,NaN,1,NaN,0.80078125,NaN
66,30171,1,0,NaN,1,NaN,0.798828125,NaN
67,30580,1,0,NaN,1,NaN,0.80078125,NaN
68,30990,1,0,NaN,1,NaN,0.80078125,NaN
69,31400,1,0,NaN,1,NaN,0.798828125,NaN
70,31809,1,1,NaN,NaN,0,1.119140625,NaN
71,32382,1,0,NaN,1,NaN,0.80078125,NaN
72,32792,1,0,NaN,1,NaN,0.798828125,NaN
73,33201,1,0,NaN,1,NaN,0.80078125,NaN
74,33611,1,0,NaN,1,NaN,0.80078125,NaN
75,34021,1,0,NaN,1,NaN,0.798828125,NaN
76,34430,1,0,NaN,1,NaN,0.80078125,NaN
77,34840,1,0,NaN,1,NaN,0.798828125,NaN
78,35249,1,0,NaN,1,NaN,0.80078125,NaN
79,35659,1,0,NaN,1,NaN,0.798828125,NaN
80,36068,1,0,NaN,1,NaN,0.80078125,NaN
81,36478,1,0,NaN,1,NaN,0.80078125,NaN
82,36888,1,0,NaN,1,NaN,0.798828125,NaN
83,37297,1,1,NaN,NaN,1,1.119140625,1.443359375
84,37870,1,0,0.32421875,1,NaN,0.80078125,NaN
85,38280,1,0,NaN,1,NaN,0.80078125,NaN
86,38690,1,0,NaN,1,NaN,0.798828125,NaN
87,39099,1,0,NaN,1,NaN,0.80078125,NaN
88,39509,1,0,NaN,1,NaN,0.798828125,NaN
89,39918,1,0,NaN,1,NaN,0.80078125,NaN
90,40328,1,0,NaN,1,NaN,0.80078125,NaN
91,40738,1,0,NaN,1,NaN,0.798828125,NaN
92,41147,1,0,NaN,1,NaN,0.80078125,NaN
93,41557,1,0,NaN,1,NaN,0.798828125,NaN
94,41966,1,0,NaN,1,NaN,0.80078125,NaN
95,42376,1,0,NaN,1,NaN,0.798828125,NaN
96,42785,1,1,NaN,NaN,0,1.12109375,NaN
97,43359,1,0,NaN,1,NaN,0.798828125,NaN
98,43768,1,0,NaN,1,NaN,0.80078125,NaN
99,44178,1,0,NaN,1,NaN,0.798828125,NaN
100,44587,1,0,NaN,1,NaN,0.80078125,NaN
101,44997,1,0,NaN,1,NaN,0.80078125,NaN
102,45407,1,0,NaN,1,NaN,0.798828125,NaN
103,45816,1,0,NaN,1,NaN,0.80078125,NaN
104,46226,1,0,NaN,1,NaN,0.798828125,NaN
105,46635,1,0,NaN,1,NaN,0.80078125,NaN
