TrialN,Sample,BlockN,StimType,rawRT,corrNT,corrTG,ITI,RT
1,2810,1,0,NaN,1,NaN,0.80078125,NaN
2,3220,1,0,NaN,1,NaN,0.798828125,NaN
3,3629,1,0,NaN,1,NaN,0.798828125,NaN
4,4038,1,0,NaN,1,NaN,0.80078125,NaN
5,4448,1,0,NaN,1,NaN,0.80078125,NaN
6,4858,1,0,NaN,1,NaN,0.798828125,NaN
7,5267,1,0,NaN,1,NaN,0.80078125,NaN
8,5677,1,0,NaN,1,NaN,0.798828125,NaN
9,6086,1,0,NaN,1,NaN,0.80078125,NaN
10,6496,1,0,NaN,1,NaN,0.80078125,NaN
11,6906,1,0,NaN,1,NaN,0.798828125,NaN
12,7315,1,0,NaN,1,NaN,0.80078125,NaN
13,7725,1,0,NaN,1,NaN,0.798828125,NaN
14,8134,1,0,NaN,1,NaN,0.80078125,NaN
15,8544,1,0,NaN,1,NaN,0.798828125,NaN
16,8953,1,1,NaN,NaN,1,1.12109375,1.1328125
17,9527,1,0,0.01171875,1,NaN,0.798828125,NaN
18,9936,1,0,NaN,1,NaN,0.80078125,NaN
19,10346,1,0,NaN,1,NaN,0.80078125,NaN
20,10756,1,0,NaN,1,NaN,0.798828125,NaN
21,11165,1,0,NaN,1,NaN,0.798828125,NaN
22,11574,1,0,NaN,1,NaN,0.80078125,NaN
23,11984,1,0,NaN,1,NaN,0.80078125,NaN
24,12394,1,0,NaN,1,NaN,0.80078125,NaN
25,12804,1,0,NaN,1,NaN,0.798828125,NaN
26,13213,1,0,NaN,1,NaN,0.798828125,NaN
27,13622,1,0,NaN,0,NaN,0.80078125,0.876953125
28,14032,1,1,0.076171875,NaN,0,1.119140625,NaN
29,14605,1,0,NaN,1,NaN,0.80078125,NaN
30,15015,1,0,NaN,1,NaN,0.80078125,NaN
31,15425,1,0,NaN,1,NaN,0.798828125,NaN
32,15834,1,0,NaN,1,NaN,0.80078125,NaN
33,16244,1,0,NaN,1,NaN,0.798828125,NaN
34,16653,1,0,NaN,1,NaN,0.80078125,NaN
35,17063,1,0,NaN,1,NaN,0.798828125,NaN
36,17472,1,0,NaN,1,NaN,0.80078125,NaN
37,17882,1,1,NaN,NaN,1,1.119140625,1.29296875
38,18455,1,0,0.173828125,1,NaN,0.80078125,NaN
39,18865,1,0,NaN,1,NaN,0.798828125,NaN
40,19274,1,0,NaN,1,NaN,0.80078125,NaN
41,19684,1,0,NaN,1,NaN,0.798828125,NaN
42,20093,1,0,NaN,1,NaN,0.80078125,NaN
43,20503,1,0,NaN,1,NaN,0.80078125,NaN
44,20913,1,0,NaN,1,NaN,0.798828125,NaN
45,21322,1,0,NaN,1,NaN,0.80078125,NaN
