TrialN,Sample,BlockN,StimType,rawRT,corrNT,corrTG,ITI,RT
1,2041,1,0,NaN,1,NaN,0.798828125,NaN
2,2450,1,0,NaN,1,NaN,0.80078125,NaN
3,2860,1,0,NaN,1,NaN,0.798828125,NaN
4,3269,1,0,NaN,1,NaN,0.80078125,NaN
5,3679,1,0,NaN,1,NaN,0.80078125,NaN
6,4089,1,0,NaN,1,NaN,0.798828125,NaN
7,4498,1,0,NaN,1,NaN,0.80078125,NaN
8,4908,1,0,NaN,1,NaN,0.798828125,NaN
9,5317,1,0,NaN,1,NaN,0.80078125,NaN
10,5727,1,1,NaN,NaN,1,1.119140625,1.400390625
11,6300,1,0,0.28125,1,NaN,0.80078125,NaN
12,6710,1,0,NaN,1,NaN,0.798828125,NaN
13,7119,1,0,NaN,1,NaN,0.80078125,NaN
14,7529,1,0,NaN,1,NaN,0.80078125,NaN
15,7939,1,0,NaN,1,NaN,0.798828125,NaN
16,8348,1,0,NaN,0,NaN,0.80078125,0.943359375
17,8758,1,0,0.142578125,1,NaN,0.798828125,NaN
18,9167,1,0,NaN,1,NaN,0.80078125,NaN
19,9577,1,1,1.080078125,NaN,1,1.119140625,1.080078125
20,10150,1,0,NaN,1,NaN,0.798828125,NaN
21,10559,1,0,NaN,1,NaN,0.80078125,NaN
22,10969,1,0,NaN,1,NaN,0.80078125,NaN
23,11379,1,0,NaN,1,NaN,0.798828125,NaN
24,11788,1,0,NaN,1,NaN,0.80078125,NaN
25,12198,1,0,NaN,0,NaN,0.80078125,1.041015625
26,12608,1,0,0.240234375,1,NaN,0.798828125,NaN
27,13017,1,0,NaN,1,NaN,0.80078125,NaN
28,13427,1,0,NaN,1,NaN,0.798828125,NaN
29,13836,1,0,NaN,1,NaN,0.880859375,NaN
30,14287,1,0,NaN,1,NaN,0.798828125,NaN
31,14696,1,1,NaN,NaN,0,1.119140625,NaN
32,15269,1,0,NaN,1,NaN,0.80078125,NaN
33,15679,1,0,NaN,1,NaN,0.80078125,NaN
34,16089,1,0,NaN,1,NaN,0.798828125,NaN
35,16498,1,0,NaN,1,NaN,0.80078125,NaN
36,16908,1,0,NaN,1,NaN,0.80078125,NaN
37,17318,1,0,NaN,1,NaN,0.798828125,NaN
38,17727,1,1,NaN,NaN,1,1.12109375,1.208984375
39,18301,1,0,0.087890625,1,NaN,0.798828125,NaN
40,18710,1,0,NaN,1,NaN,0.80078125,NaN
41,19120,1,0,NaN,1,NaN,0.798828125,NaN
42,19529,1,0,NaN,1,NaN,0.80078125,NaN
43,19939,1,0,NaN,1,NaN,0.798828125,NaN
44,20348,1,0,NaN,1,NaN,0.80078125,NaN
45,20758,1,0,NaN,0,NaN,0.798828125,1.0078125
46,21167,1,0,0.208984375,1,NaN,0.80078125,NaN
47,21577,1,0,NaN,1,NaN,0.80078125,NaN
48,21987,1,0,NaN,1,NaN,0.798828125,NaN
49,22396,1,0,NaN,1,NaN,0.80078125,NaN
50,22806,1,0,NaN,1,NaN,0.798828125,NaN
51,23215,1,0,NaN,1,NaN,0.80078125,NaN
52,23625,1,1,NaN,NaN,1,1.119140625,1.271484375
53,24198,1,0,0.15234375,1,NaN,0.80078125,NaN
54,24608,1,0,NaN,1,NaN,0.798828125,NaN
55,25017,1,0,NaN,1,NaN,0.80078125,NaN
56,25427,1,0,NaN,1,NaN,0.80078125,NaN
57,25837,1,0,NaN,1,NaN,0.798828125,NaN
58,26246,1,0,NaN,1,NaN,0.80078125,NaN
59,26656,1,0,NaN,1,NaN,0.798828125,NaN
60,27065,1,0,NaN,1,NaN,0.80078125,NaN
61,27475,1,0,NaN,1,NaN,0.798828125,NaN
62,27884,1,1,0.82421875,NaN,1,1.1484375,0.82421875
63,28472,1,0,NaN,1,NaN,0.798828125,NaN
64,28881,1,0,NaN,1,NaN,0.80078125,NaN
65,29291,1,0,NaN,1,NaN,0.8125,NaN
66,29707,1,0,NaN,1,NaN,0.80078125,NaN
67,30117,1,0,NaN,1,NaN,0.798828125,NaN
68,30526,1,0,NaN,1,NaN,0.814453125,NaN
69,30943,1,0,NaN,1,NaN,0.798828125,NaN
70,31352,1,0,NaN,1,NaN,0.798828125,NaN
71,31761,1,0,NaN,1,NaN,0.80078125,NaN
72,32171,1,0,NaN,1,NaN,0.80078125,NaN
73,32581,1,0,NaN,1,NaN,0.798828125,NaN
74,32990,1,1,NaN,NaN,1,1.12109375,1.267578125
75,33564,1,0,0.146484375,1,NaN,0.798828125,NaN
76,33973,1,0,NaN,1,NaN,0.80078125,NaN
77,34383,1,0,NaN,1,NaN,0.798828125,NaN
78,34792,1,0,NaN,1,NaN,0.828125,NaN
79,35216,1,0,NaN,1,NaN,0.892578125,NaN
80,35673,1,0,NaN,1,NaN,0.8125,NaN
81,36089,1,0,NaN,1,NaN,0.80078125,NaN
82,36499,1,0,NaN,1,NaN,0.892578125,NaN
83,36956,1,0,NaN,1,NaN,0.80078125,NaN
84,37366,1,0,NaN,1,NaN,0.798828125,NaN
85,37775,1,0,NaN,1,NaN,0.80078125,NaN
86,38185,1,1,1.064453125,NaN,1,1.119140625,1.064453125
87,38758,1,0,NaN,1,NaN,0.80078125,NaN
88,39168,1,0,NaN,1,NaN,0.80078125,NaN
89,39578,1,0,NaN,1,NaN,0.798828125,NaN
90,39987,1,0,NaN,1,NaN,0.80078125,NaN
91,40397,1,0,NaN,1,NaN,0.798828125,NaN
92,40806,1,0,NaN,1,NaN,0.80078125,NaN
93,41216,1,0,NaN,1,NaN,0.798828125,NaN
94,41625,1,0,NaN,1,NaN,0.80078125,NaN
95,42035,1,0,NaN,1,NaN,0.80078125,NaN
96,42445,1,1,NaN,NaN,1,1.119140625,1.17578125
97,43018,1,0,0.056640625,1,NaN,0.798828125,NaN
98,43427,1,0,NaN,1,NaN,0.80078125,NaN
99,43837,1,0,NaN,1,NaN,0.80078125,NaN
100,44247,1,0,NaN,1,NaN,0.798828125,NaN
101,44656,1,0,NaN,1,NaN,0.80078125,NaN
102,45066,1,0,NaN,1,NaN,0.798828125,NaN
103,45475,1,0,NaN,1,NaN,0.80078125,NaN
104,45885,1,1,NaN,NaN,1,1.119140625,1.48046875
105,46458,1,0,0.361328125,1,NaN,0.80078125,NaN
106,46868,1,0,NaN,1,NaN,0.798828125,NaN
107,47277,1,0,NaN,1,NaN,0.80078125,NaN
108,47687,1,0,NaN,1,NaN,0.798828125,NaN
109,48096,1,0,NaN,1,NaN,0.80078125,NaN
110,48506,1,0,NaN,1,NaN,0.80078125,NaN
111,48916,1,0,NaN,1,NaN,0.798828125,NaN
112,49325,1,0,NaN,1,NaN,0.80078125,NaN
113,49735,1,0,NaN,1,NaN,0.798828125,NaN
114,50144,1,0,NaN,1,NaN,0.80078125,NaN
115,50554,1,0,NaN,1,NaN,0.80078125,NaN
116,50964,1,1,NaN,NaN,1,1.119140625,1.16796875
117,51537,1,0,0.048828125,1,NaN,0.798828125,NaN
118,51946,1,0,NaN,1,NaN,0.80078125,NaN
119,52356,1,0,NaN,1,NaN,0.798828125,NaN
120,52765,1,0,NaN,1,NaN,0.80078125,NaN
121,53175,1,0,NaN,1,NaN,0.80078125,NaN
122,53585,1,0,NaN,1,NaN,0.798828125,NaN
123,53994,1,0,NaN,1,NaN,0.80078125,NaN
124,54404,1,0,NaN,1,NaN,0.798828125,NaN
125,54813,1,0,NaN,1,NaN,0.80078125,NaN
126,55223,1,1,NaN,NaN,1,1.119140625,1.12890625
127,55796,1,0,0.009765625,1,NaN,0.80078125,NaN
128,56206,1,0,NaN,1,NaN,0.80078125,NaN
129,56616,1,0,NaN,1,NaN,0.798828125,NaN
130,57025,1,0,NaN,1,NaN,0.80078125,NaN
131,57435,1,0,NaN,1,NaN,0.798828125,NaN
132,57844,1,0,NaN,1,NaN,0.80078125,NaN
133,58254,1,0,NaN,1,NaN,0.798828125,NaN
134,58663,1,0,NaN,1,NaN,0.80078125,NaN
135,59073,1,0,NaN,1,NaN,0.798828125,NaN
136,59482,1,0,NaN,1,NaN,0.80078125,NaN
137,59892,1,0,NaN,1,NaN,0.80078125,NaN
138,60302,1,0,NaN,1,NaN,0.798828125,NaN
139,60711,1,0,NaN,1,NaN,0.798828125,NaN
140,61120,1,0,NaN,1,NaN,0.80078125,NaN
141,61530,1,1,NaN,NaN,1,1.119140625,1.28125
142,62103,1,0,0.162109375,1,NaN,0.80078125,NaN
143,62513,1,0,NaN,1,NaN,0.80078125,NaN
144,62923,1,0,NaN,1,NaN,0.798828125,NaN
145,63332,1,0,NaN,1,NaN,0.80078125,NaN
146,63742,1,0,NaN,1,NaN,0.80078125,NaN
147,64152,1,0,NaN,1,NaN,0.798828125,NaN
148,64561,1,0,NaN,1,NaN,0.80078125,NaN
149,64971,1,0,NaN,1,NaN,0.798828125,NaN
150,65380,1,0,NaN,1,NaN,0.80078125,NaN
151,65790,1,0,NaN,1,NaN,0.798828125,NaN
152,66199,1,0,NaN,1,NaN,0.80078125,NaN
153,66609,1,1,NaN,NaN,1,1.119140625,1.328125
154,67182,1,0,0.208984375,1,NaN,0.80078125,NaN
155,67592,1,0,NaN,1,NaN,0.798828125,NaN
156,68001,1,0,NaN,1,NaN,0.80078125,NaN
157,68411,1,0,NaN,1,NaN,0.798828125,NaN
158,68820,1,0,NaN,1,NaN,0.80078125,NaN
159,69230,1,0,NaN,1,NaN,0.80078125,NaN
160,69640,1,0,NaN,1,NaN,0.8125,NaN
161,70056,1,0,NaN,1,NaN,0.80078125,NaN
162,70466,1,0,NaN,1,NaN,0.798828125,NaN
163,70875,1,1,NaN,NaN,1,1.12109375,1.2109375
164,71449,1,0,0.08984375,1,NaN,0.798828125,NaN
165,71858,1,0,NaN,1,NaN,0.80078125,NaN
166,72268,1,0,NaN,1,NaN,0.798828125,NaN
167,72677,1,0,NaN,1,NaN,0.80078125,NaN
168,73087,1,0,NaN,1,NaN,0.798828125,NaN
169,73496,1,0,NaN,1,NaN,0.80078125,NaN
170,73906,1,0,NaN,1,NaN,0.8125,NaN
171,74322,1,0,NaN,1,NaN,0.80078125,NaN
172,74732,1,0,NaN,1,NaN,0.798828125,NaN
173,75141,1,0,NaN,1,NaN,0.80078125,NaN
174,75551,1,0,NaN,1,NaN,0.798828125,NaN
175,75960,1,0,NaN,1,NaN,0.80078125,NaN
176,76370,1,0,NaN,1,NaN,0.814453125,NaN
177,76787,1,0,NaN,1,NaN,0.798828125,NaN
178,77196,1,1,NaN,NaN,1,1.119140625,1.208984375
179,77769,1,0,0.08984375,1,NaN,0.80078125,NaN
180,78179,1,0,NaN,1,NaN,0.80078125,NaN
181,78589,1,0,NaN,1,NaN,0.798828125,NaN
182,78998,1,0,NaN,1,NaN,0.80078125,NaN
183,79408,1,0,NaN,1,NaN,0.798828125,NaN
184,79817,1,0,NaN,1,NaN,0.80078125,NaN
185,80227,1,1,NaN,NaN,1,1.119140625,1.51171875
186,80800,1,0,0.392578125,1,NaN,0.80078125,NaN
187,81210,1,0,NaN,1,NaN,0.80078125,NaN
188,81620,1,0,NaN,1,NaN,0.798828125,NaN
189,82029,1,0,NaN,1,NaN,0.80078125,NaN
190,82439,1,0,NaN,1,NaN,0.798828125,NaN
191,82848,1,0,NaN,1,NaN,0.80078125,NaN
192,83258,1,0,NaN,1,NaN,0.8125,NaN
193,83674,1,1,NaN,NaN,0,1.12109375,NaN
194,84248,1,0,NaN,1,NaN,0.798828125,NaN
195,84657,1,0,NaN,1,NaN,0.80078125,NaN
196,85067,1,0,NaN,1,NaN,0.798828125,NaN
197,85476,1,0,NaN,1,NaN,0.80078125,NaN
198,85886,1,0,NaN,1,NaN,0.798828125,NaN
199,86295,1,0,NaN,1,NaN,0.80078125,NaN
200,86705,1,0,NaN,1,NaN,0.80078125,NaN
201,87115,1,0,NaN,1,NaN,0.798828125,NaN
202,87524,1,0,NaN,1,NaN,0.798828125,NaN
203,87933,1,0,NaN,1,NaN,0.80078125,NaN
204,88343,1,0,NaN,1,NaN,0.80078125,NaN
205,88753,1,0,NaN,1,NaN,0.798828125,NaN
206,89162,1,0,NaN,1,NaN,0.814453125,NaN
207,89579,1,1,NaN,NaN,1,1.119140625,1.220703125
208,90152,1,0,0.1015625,1,NaN,0.80078125,NaN
209,90562,1,0,NaN,1,NaN,0.798828125,NaN
210,90971,1,0,NaN,1,NaN,0.80078125,NaN
211,91381,1,0,NaN,1,NaN,0.798828125,NaN
212,91790,1,0,NaN,1,NaN,0.80078125,NaN
213,92200,1,0,NaN,1,NaN,0.80078125,NaN
214,92610,1,0,NaN,1,NaN,0.798828125,NaN
215,93019,1,0,NaN,1,NaN,0.798828125,NaN
216,93428,1,0,NaN,1,NaN,0.80078125,NaN
217,93838,1,0,NaN,1,NaN,0.80078125,NaN
218,94248,1,1,NaN,NaN,1,1.119140625,1.30859375
219,94821,1,0,0.189453125,1,NaN,0.80078125,NaN
220,95231,1,0,NaN,1,NaN,0.798828125,NaN
221,95640,1,0,NaN,1,NaN,0.814453125,NaN
222,96057,1,0,NaN,1,NaN,0.798828125,NaN
223,96466,1,0,NaN,1,NaN,0.80078125,NaN
224,96876,1,0,NaN,1,NaN,0.8125,NaN
225,97292,1,0,NaN,1,NaN,4.765625,NaN
226,99732,2,0,NaN,1,NaN,0.80078125,NaN
227,100142,2,0,NaN,1,NaN,0.798828125,NaN
228,100551,2,0,NaN,1,NaN,0.80078125,NaN
229,100961,2,0,NaN,1,NaN,0.80078125,NaN
230,101371,2,0,NaN,1,NaN,0.798828125,NaN
231,101780,2,0,NaN,1,NaN,0.80078125,NaN
232,102190,2,0,NaN,1,NaN,0.798828125,NaN
233,102599,2,0,NaN,1,NaN,0.80078125,NaN
234,103009,2,0,NaN,1,NaN,0.798828125,NaN
235,103418,2,0,NaN,1,NaN,0.80078125,NaN
236,103828,2,0,NaN,1,NaN,0.798828125,NaN
237,104237,2,0,NaN,1,NaN,0.80078125,NaN
238,104647,2,0,NaN,1,NaN,0.80078125,NaN
239,105057,2,0,NaN,1,NaN,0.798828125,NaN
240,105466,2,1,NaN,NaN,1,1.12109375,1.203125
241,106040,2,0,0.08203125,1,NaN,0.798828125,NaN
242,106449,2,0,NaN,1,NaN,0.80078125,NaN
243,106859,2,0,NaN,1,NaN,0.798828125,NaN
244,107268,2,0,NaN,1,NaN,0.80078125,NaN
245,107678,2,0,NaN,1,NaN,0.80078125,NaN
246,108088,2,0,NaN,1,NaN,0.798828125,NaN
247,108497,2,1,NaN,NaN,1,1.12109375,1.306640625
248,109071,2,0,0.185546875,1,NaN,0.798828125,NaN
249,109480,2,0,NaN,1,NaN,0.798828125,NaN
250,109889,2,0,NaN,1,NaN,0.80078125,NaN
251,110299,2,0,NaN,1,NaN,0.80078125,NaN
252,110709,2,0,NaN,1,NaN,0.798828125,NaN
253,111118,2,0,NaN,1,NaN,0.80078125,NaN
254,111528,2,0,NaN,1,NaN,0.798828125,NaN
255,111937,2,0,NaN,1,NaN,0.80078125,NaN
256,112347,2,0,NaN,1,NaN,0.80078125,NaN
257,112757,2,1,NaN,NaN,1,1.119140625,1.25
258,113330,2,0,0.130859375,1,NaN,0.798828125,NaN
259,113739,2,0,NaN,1,NaN,0.80078125,NaN
260,114149,2,0,NaN,1,NaN,0.80078125,NaN
261,114559,2,0,NaN,1,NaN,0.798828125,NaN
262,114968,2,0,NaN,1,NaN,0.80078125,NaN
263,115378,2,0,NaN,1,NaN,0.80078125,NaN
264,115788,2,0,NaN,1,NaN,0.798828125,NaN
265,116197,2,0,NaN,1,NaN,0.798828125,NaN
266,116606,2,0,NaN,1,NaN,0.80078125,NaN
267,117016,2,0,NaN,1,NaN,0.80078125,NaN
268,117426,2,0,NaN,1,NaN,0.798828125,NaN
269,117835,2,0,NaN,1,NaN,0.80078125,NaN
