TrialN,Sample,BlockN,StimType,rawRT,corrNT,corrTG,ITI,RT
1,1413,1,0,NaN,1,NaN,0.798828125,NaN
2,1822,1,0,NaN,1,NaN,0.798828125,NaN
3,2231,1,0,NaN,1,NaN,0.80078125,NaN
4,2641,1,0,NaN,1,NaN,0.80078125,NaN
5,3051,1,0,NaN,0,NaN,0.798828125,0.826171875
6,3460,1,0,0.02734375,1,NaN,0.80078125,NaN
7,3870,1,0,NaN,1,NaN,0.798828125,NaN
8,4279,1,0,NaN,1,NaN,0.80078125,NaN
9,4689,1,0,NaN,1,NaN,0.798828125,NaN
10,5098,1,0,NaN,1,NaN,0.80078125,NaN
11,5508,1,0,NaN,1,NaN,0.80078125,NaN
12,5918,1,1,NaN,NaN,0,1.119140625,NaN
13,6491,1,0,NaN,1,NaN,0.798828125,NaN
14,6900,1,0,NaN,1,NaN,0.80078125,NaN
15,7310,1,0,NaN,1,NaN,0.80078125,NaN
16,7720,1,0,NaN,1,NaN,0.798828125,NaN
17,8129,1,0,NaN,1,NaN,0.80078125,NaN
18,8539,1,0,NaN,0,NaN,0.798828125,0.955078125
19,8948,1,0,0.15625,1,NaN,0.80078125,NaN
20,9358,1,0,NaN,1,NaN,0.798828125,NaN
21,9767,1,1,NaN,NaN,1,1.12109375,1.291015625
22,10341,1,0,0.169921875,1,NaN,0.798828125,NaN
23,10750,1,0,NaN,1,NaN,0.80078125,NaN
24,11160,1,0,NaN,1,NaN,0.798828125,NaN
25,11569,1,0,NaN,1,NaN,0.80078125,NaN
26,11979,1,0,NaN,1,NaN,0.80078125,NaN
27,12389,1,0,NaN,1,NaN,0.798828125,NaN
28,12798,1,0,NaN,1,NaN,0.80078125,NaN
29,13208,1,0,NaN,1,NaN,0.798828125,NaN
30,13617,1,0,NaN,1,NaN,0.80078125,NaN
31,14027,1,0,NaN,1,NaN,0.80078125,NaN
32,14437,1,1,NaN,NaN,1,1.119140625,1.201171875
33,15010,1,0,0.08203125,1,NaN,0.80078125,NaN
34,15420,1,0,NaN,1,NaN,0.798828125,NaN
35,15829,1,0,NaN,1,NaN,0.80078125,NaN
36,16239,1,0,NaN,1,NaN,0.798828125,NaN
37,16648,1,0,NaN,1,NaN,0.80078125,NaN
38,17058,1,0,NaN,1,NaN,0.798828125,NaN
39,17467,1,0,NaN,1,NaN,0.80078125,NaN
40,17877,1,0,NaN,1,NaN,0.80078125,NaN
41,18287,1,0,NaN,1,NaN,0.798828125,NaN
42,18696,1,0,NaN,1,NaN,0.798828125,NaN
43,19105,1,0,NaN,1,NaN,0.80078125,NaN
44,19515,1,0,NaN,1,NaN,0.80078125,NaN
45,19925,1,1,NaN,NaN,1,1.119140625,1.267578125
46,20498,1,0,0.1484375,1,NaN,0.80078125,NaN
47,20908,1,0,NaN,1,NaN,0.798828125,NaN
48,21317,1,0,NaN,1,NaN,0.80078125,NaN
49,21727,1,0,NaN,1,NaN,0.798828125,NaN
50,22136,1,0,NaN,1,NaN,0.80078125,NaN
51,22546,1,0,NaN,1,NaN,0.80078125,NaN
52,22956,1,0,NaN,1,NaN,0.798828125,NaN
53,23365,1,0,NaN,1,NaN,0.80078125,NaN
54,23775,1,0,NaN,1,NaN,0.798828125,NaN
55,24184,1,0,NaN,1,NaN,0.80078125,NaN
