TrialN,Sample,BlockN,StimType,rawRT,corrNT,corrTG,ITI,RT
1,815,1,0,NaN,1,NaN,0.80078125,NaN
2,1225,1,0,NaN,1,NaN,0.798828125,NaN
3,1634,1,0,NaN,1,NaN,0.798828125,NaN
4,2043,1,0,NaN,1,NaN,0.80078125,NaN
5,2453,1,0,NaN,1,NaN,0.80078125,NaN
6,2863,1,0,NaN,1,NaN,0.798828125,NaN
7,3272,1,0,NaN,1,NaN,0.80078125,NaN
8,3682,1,0,NaN,1,NaN,0.798828125,NaN
9,4091,1,0,NaN,1,NaN,0.80078125,NaN
10,4501,1,1,NaN,NaN,1,1.119140625,1.34375
11,5074,1,0,0.224609375,1,NaN,0.80078125,NaN
12,5484,1,0,NaN,1,NaN,0.798828125,NaN
13,5893,1,0,NaN,1,NaN,0.80078125,NaN
14,6303,1,0,NaN,1,NaN,0.80078125,NaN
15,6713,1,0,NaN,1,NaN,0.798828125,NaN
16,7122,1,0,NaN,1,NaN,0.80078125,NaN
17,7532,1,1,NaN,NaN,1,1.119140625,1.19140625
18,8105,1,0,0.072265625,1,NaN,0.80078125,NaN
19,8515,1,0,NaN,1,NaN,0.798828125,NaN
20,8924,1,0,NaN,1,NaN,0.80078125,NaN
21,9334,1,0,NaN,1,NaN,0.80078125,NaN
22,9744,1,0,NaN,1,NaN,0.798828125,NaN
23,10153,1,0,NaN,1,NaN,0.798828125,NaN
24,10562,1,0,NaN,0,NaN,0.80078125,1.6015625
25,10972,1,0,0.80078125,1,NaN,1.599609375,NaN
26,11791,1,0,NaN,1,NaN,0.80078125,NaN
27,12201,1,1,NaN,NaN,0,1.119140625,NaN
28,12774,1,0,NaN,1,NaN,0.80078125,NaN
29,13184,1,0,NaN,1,NaN,0.798828125,NaN
30,13593,1,0,NaN,1,NaN,0.80078125,NaN
31,14003,1,0,NaN,1,NaN,0.798828125,NaN
32,14412,1,0,NaN,1,NaN,0.80078125,NaN
33,14822,1,0,NaN,1,NaN,0.80078125,NaN
34,15232,1,0,NaN,1,NaN,0.798828125,NaN
35,15641,1,0,NaN,1,NaN,0.80078125,NaN
36,16051,1,1,NaN,NaN,1,1.119140625,1.19921875
37,16624,1,0,0.080078125,1,NaN,0.80078125,NaN
38,17034,1,0,NaN,1,NaN,0.798828125,NaN
39,17443,1,0,NaN,1,NaN,0.80078125,NaN
40,17853,1,0,NaN,1,NaN,0.80078125,NaN
41,18263,1,0,NaN,1,NaN,0.798828125,NaN
42,18672,1,0,NaN,1,NaN,0.798828125,NaN
43,19081,1,0,NaN,1,NaN,0.80078125,NaN
44,19491,1,0,NaN,1,NaN,0.80078125,NaN
45,19901,1,0,NaN,1,NaN,0.798828125,NaN
46,20310,1,0,NaN,1,NaN,0.80078125,NaN
47,20720,1,1,NaN,NaN,1,1.119140625,1.20703125
48,21293,1,0,0.087890625,1,NaN,0.80078125,NaN
49,21703,1,0,NaN,1,NaN,0.798828125,NaN
50,22112,1,0,NaN,1,NaN,0.80078125,NaN
51,22522,1,0,NaN,1,NaN,0.798828125,NaN
52,22931,1,0,NaN,1,NaN,0.80078125,NaN
53,23341,1,0,NaN,1,NaN,0.80078125,NaN
54,23751,1,0,NaN,1,NaN,0.798828125,NaN
55,24160,1,0,NaN,1,NaN,0.80078125,NaN
56,24570,1,0,NaN,1,NaN,0.80078125,NaN
57,24980,1,0,NaN,0,NaN,0.798828125,1.0703125
58,25389,1,0,0.271484375,1,NaN,0.798828125,NaN
59,25798,1,0,NaN,1,NaN,0.80078125,NaN
60,26208,1,0,NaN,1,NaN,0.798828125,NaN
61,26617,1,1,NaN,NaN,1,1.12109375,1.583984375
62,27191,1,0,0.462890625,1,NaN,0.798828125,NaN
63,27600,1,0,NaN,1,NaN,0.80078125,NaN
64,28010,1,0,NaN,1,NaN,0.80078125,NaN
65,28420,1,0,NaN,1,NaN,0.798828125,NaN
66,28829,1,0,NaN,1,NaN,0.80078125,NaN
67,29239,1,0,NaN,1,NaN,0.798828125,NaN
68,29648,1,0,NaN,1,NaN,0.80078125,NaN
69,30058,1,0,NaN,1,NaN,0.80078125,NaN
70,30468,1,0,NaN,1,NaN,0.798828125,NaN
71,30877,1,0,NaN,1,NaN,0.80078125,NaN
72,31287,1,0,NaN,1,NaN,0.798828125,NaN
73,31696,1,1,NaN,NaN,1,1.12109375,1.591796875
74,32270,1,0,0.470703125,1,NaN,0.798828125,NaN
75,32679,1,0,NaN,1,NaN,0.80078125,NaN
76,33089,1,0,NaN,1,NaN,0.798828125,NaN
77,33498,1,0,NaN,1,NaN,0.80078125,NaN
78,33908,1,0,NaN,1,NaN,0.798828125,NaN
79,34317,1,0,NaN,1,NaN,0.80078125,NaN
80,34727,1,0,NaN,1,NaN,0.798828125,NaN
81,35136,1,1,NaN,NaN,0,1.12109375,NaN
82,35710,1,0,NaN,1,NaN,0.798828125,NaN
83,36119,1,0,NaN,1,NaN,0.80078125,NaN
84,36529,1,0,NaN,1,NaN,0.80078125,NaN
85,36939,1,0,NaN,1,NaN,0.798828125,NaN
86,37348,1,0,NaN,1,NaN,0.80078125,NaN
87,37758,1,0,NaN,1,NaN,0.798828125,NaN
88,38167,1,0,NaN,1,NaN,0.80078125,NaN
89,38577,1,0,NaN,1,NaN,0.798828125,NaN
90,38986,1,0,NaN,1,NaN,0.80078125,NaN
91,39396,1,0,NaN,1,NaN,0.80078125,NaN
92,39806,1,0,NaN,1,NaN,0.798828125,NaN
93,40215,1,1,NaN,NaN,0,1.119140625,NaN
94,40788,1,0,NaN,1,NaN,0.80078125,NaN
95,41198,1,0,NaN,1,NaN,0.80078125,NaN
96,41608,1,0,NaN,1,NaN,0.798828125,NaN
97,42017,1,0,NaN,1,NaN,0.80078125,NaN
98,42427,1,0,NaN,1,NaN,0.798828125,NaN
99,42836,1,0,NaN,1,NaN,0.80078125,NaN
100,43246,1,0,NaN,0,NaN,0.798828125,0.919921875
101,43655,1,0,0.12109375,1,NaN,0.80078125,NaN
102,44065,1,0,NaN,1,NaN,0.80078125,NaN
103,44475,1,1,NaN,NaN,0,1.119140625,NaN
104,45048,1,0,NaN,1,NaN,0.80078125,NaN
105,45458,1,0,NaN,1,NaN,0.798828125,NaN
106,45867,1,0,NaN,1,NaN,0.80078125,NaN
107,46277,1,0,NaN,1,NaN,0.80078125,NaN
108,46687,1,0,NaN,1,NaN,0.798828125,NaN
