TrialN,Sample,BlockN,StimType,rawRT,corrNT,corrTG,ITI,RT
1,2236,1,0,NaN,1,NaN,0.798828125,NaN
2,2645,1,0,NaN,1,NaN,0.80078125,NaN
3,3055,1,0,NaN,1,NaN,0.80078125,NaN
4,3465,1,0,NaN,1,NaN,0.798828125,NaN
5,3874,1,0,NaN,1,NaN,0.80078125,NaN
6,4284,1,0,NaN,1,NaN,0.798828125,NaN
7,4693,1,0,NaN,1,NaN,0.80078125,NaN
8,5103,1,0,NaN,0,NaN,0.798828125,0.955078125
9,5512,1,0,0.15625,1,NaN,0.80078125,NaN
10,5922,1,0,NaN,1,NaN,0.80078125,NaN
11,6332,1,0,NaN,1,NaN,0.798828125,NaN
12,6741,1,0,NaN,1,NaN,0.798828125,NaN
13,7150,1,0,NaN,1,NaN,0.80078125,NaN
14,7560,1,1,NaN,NaN,1,1.119140625,1.29296875
15,8133,1,0,0.173828125,1,NaN,0.80078125,NaN
16,8543,1,0,NaN,1,NaN,0.80078125,NaN
17,8953,1,0,NaN,1,NaN,0.798828125,NaN
18,9362,1,0,NaN,1,NaN,0.80078125,NaN
19,9772,1,0,NaN,1,NaN,0.798828125,NaN
20,10181,1,0,NaN,1,NaN,0.80078125,NaN
21,10591,1,0,NaN,1,NaN,0.798828125,NaN
22,11000,1,0,NaN,1,NaN,0.80078125,NaN
23,11410,1,0,NaN,1,NaN,0.80078125,NaN
24,11820,1,1,1.01953125,NaN,1,1.119140625,1.01953125
25,12393,1,0,NaN,1,NaN,0.798828125,NaN
26,12802,1,0,NaN,1,NaN,0.80078125,NaN
27,13212,1,0,NaN,1,NaN,0.80078125,NaN
28,13622,1,0,NaN,1,NaN,0.798828125,NaN
29,14031,1,0,NaN,1,NaN,0.80078125,NaN
30,14441,1,0,NaN,1,NaN,0.798828125,NaN
31,14850,1,0,NaN,1,NaN,0.80078125,NaN
32,15260,1,1,NaN,NaN,1,1.119140625,1.396484375
33,15833,1,0,0.27734375,1,NaN,0.80078125,NaN
34,16243,1,0,NaN,1,NaN,0.798828125,NaN
35,16652,1,0,NaN,1,NaN,0.80078125,NaN
36,17062,1,0,NaN,1,NaN,0.80078125,NaN
37,17472,1,0,NaN,1,NaN,0.798828125,NaN
38,17881,1,0,NaN,1,NaN,0.80078125,NaN
39,18291,1,0,NaN,1,NaN,0.798828125,NaN
40,18700,1,0,NaN,1,NaN,0.802734375,NaN
41,19111,1,0,NaN,1,NaN,0.796875,NaN
42,19519,1,0,NaN,1,NaN,0.80078125,NaN
43,19929,1,0,NaN,1,NaN,0.80078125,NaN
44,20339,1,1,NaN,NaN,0,1.119140625,NaN
45,20912,1,0,NaN,1,NaN,0.80078125,NaN
46,21322,1,0,NaN,1,NaN,0.798828125,NaN
47,21731,1,0,NaN,1,NaN,0.80078125,NaN
48,22141,1,0,NaN,1,NaN,0.798828125,NaN
49,22550,1,0,NaN,1,NaN,0.80078125,NaN
50,22960,1,0,NaN,1,NaN,0.798828125,NaN
51,23369,1,1,NaN,NaN,0,1.12109375,NaN
52,23943,1,0,NaN,1,NaN,0.798828125,NaN
53,24352,1,0,NaN,1,NaN,0.80078125,NaN
54,24762,1,0,NaN,1,NaN,0.798828125,NaN
55,25171,1,0,NaN,1,NaN,0.80078125,NaN
56,25581,1,0,NaN,1,NaN,0.80078125,NaN
57,25991,1,0,NaN,1,NaN,0.798828125,NaN
58,26400,1,0,NaN,1,NaN,0.80078125,NaN
59,26810,1,0,NaN,1,NaN,0.80078125,NaN
60,27220,1,0,NaN,1,NaN,0.798828125,NaN
61,27629,1,0,NaN,1,NaN,0.80078125,NaN
62,28039,1,0,NaN,1,NaN,0.798828125,NaN
63,28448,1,0,NaN,1,NaN,0.798828125,NaN
64,28857,1,1,NaN,NaN,1,1.12109375,1.349609375
65,29431,1,0,0.228515625,1,NaN,0.80078125,NaN
66,29841,1,0,NaN,1,NaN,0.798828125,NaN
67,30250,1,0,NaN,1,NaN,0.80078125,NaN
68,30660,1,0,NaN,1,NaN,0.798828125,NaN
69,31069,1,0,NaN,1,NaN,0.80078125,NaN
70,31479,1,0,NaN,1,NaN,0.798828125,NaN
71,31888,1,0,NaN,1,NaN,0.80078125,NaN
72,32298,1,0,NaN,1,NaN,0.798828125,NaN
73,32707,1,0,NaN,1,NaN,0.80078125,NaN
74,33117,1,1,NaN,NaN,0,1.12109375,NaN
75,33691,1,0,NaN,1,NaN,0.798828125,NaN
76,34100,1,0,NaN,1,NaN,0.80078125,NaN
77,34510,1,0,NaN,1,NaN,0.798828125,NaN
78,34919,1,0,NaN,1,NaN,0.80078125,NaN
79,35329,1,0,NaN,1,NaN,0.798828125,NaN
80,35738,1,0,NaN,1,NaN,0.80078125,NaN
81,36148,1,1,NaN,NaN,0,1.119140625,NaN
82,36721,1,0,NaN,1,NaN,0.80078125,NaN
83,37131,1,0,NaN,1,NaN,0.80078125,NaN
84,37541,1,0,NaN,1,NaN,0.798828125,NaN
85,37950,1,0,NaN,1,NaN,0.80078125,NaN
86,38360,1,0,NaN,1,NaN,0.798828125,NaN
87,38769,1,0,NaN,1,NaN,0.80078125,NaN
88,39179,1,0,NaN,1,NaN,0.798828125,NaN
89,39588,1,0,NaN,1,NaN,0.80078125,NaN
90,39998,1,0,NaN,1,NaN,0.798828125,NaN
91,40407,1,1,NaN,NaN,1,1.12109375,1.26953125
92,40981,1,0,0.1484375,1,NaN,0.798828125,NaN
93,41390,1,0,NaN,1,NaN,0.80078125,NaN
94,41800,1,0,NaN,1,NaN,0.798828125,NaN
95,42209,1,0,NaN,1,NaN,0.80078125,NaN
96,42619,1,0,NaN,1,NaN,0.80078125,NaN
97,43029,1,0,NaN,1,NaN,0.798828125,NaN
98,43438,1,0,NaN,1,NaN,0.80078125,NaN
99,43848,1,0,NaN,1,NaN,0.798828125,NaN
100,44257,1,0,NaN,1,NaN,0.80078125,NaN
101,44667,1,0,NaN,1,NaN,0.798828125,NaN
102,45076,1,0,NaN,1,NaN,0.80078125,NaN
103,45486,1,1,NaN,NaN,0,1.119140625,NaN
104,46059,1,0,NaN,1,NaN,0.80078125,NaN
105,46469,1,0,NaN,1,NaN,0.80078125,NaN
106,46879,1,0,NaN,1,NaN,0.798828125,NaN
107,47288,1,0,NaN,1,NaN,0.80078125,NaN
108,47698,1,0,NaN,1,NaN,0.798828125,NaN
109,48107,1,0,NaN,1,NaN,0.80078125,NaN
110,48517,1,0,NaN,1,NaN,0.80078125,NaN
111,48927,1,0,NaN,1,NaN,0.798828125,NaN
112,49336,1,0,NaN,1,NaN,0.798828125,NaN
113,49745,1,0,NaN,1,NaN,0.80078125,NaN
114,50155,1,0,NaN,1,NaN,0.80078125,NaN
115,50565,1,1,NaN,NaN,0,1.119140625,NaN
116,51138,1,0,NaN,1,NaN,0.80078125,NaN
117,51548,1,0,NaN,1,NaN,0.798828125,NaN
118,51957,1,0,NaN,1,NaN,0.80078125,NaN
119,52367,1,0,NaN,1,NaN,0.798828125,NaN
120,52776,1,0,NaN,1,NaN,0.80078125,NaN
121,53186,1,0,NaN,1,NaN,0.80078125,NaN
122,53596,1,1,NaN,NaN,0,1.119140625,NaN
123,54169,1,0,NaN,1,NaN,0.80078125,NaN
124,54579,1,0,NaN,1,NaN,0.798828125,NaN
125,54988,1,0,NaN,1,NaN,0.80078125,NaN
126,55398,1,0,NaN,1,NaN,0.798828125,NaN
127,55807,1,0,NaN,0,NaN,0.80078125,1.595703125
128,56217,1,0,0.794921875,1,NaN,1.599609375,NaN
129,57036,1,0,NaN,1,NaN,0.80078125,NaN
130,57446,1,0,NaN,1,NaN,0.798828125,NaN
131,57855,1,1,NaN,NaN,0,1.119140625,NaN
