TrialN,Sample,BlockN,StimType,rawRT,corrNT,corrTG,ITI,RT
1,1485,1,0,NaN,1,NaN,0.798828125,NaN
2,1894,1,0,NaN,1,NaN,0.80078125,NaN
3,2304,1,0,NaN,1,NaN,0.798828125,NaN
4,2713,1,0,NaN,1,NaN,0.80078125,NaN
5,3123,1,0,NaN,1,NaN,0.798828125,NaN
6,3532,1,0,NaN,1,NaN,0.80078125,NaN
7,3942,1,0,NaN,1,NaN,0.798828125,NaN
8,4351,1,1,NaN,NaN,1,1.12109375,1.404296875
9,4925,1,0,0.283203125,1,NaN,0.798828125,NaN
10,5334,1,0,NaN,1,NaN,0.80078125,NaN
11,5744,1,0,NaN,1,NaN,0.80078125,NaN
12,6154,1,0,NaN,1,NaN,0.798828125,NaN
13,6563,1,0,NaN,1,NaN,0.80078125,NaN
14,6973,1,0,NaN,1,NaN,0.798828125,NaN
15,7382,1,0,NaN,1,NaN,0.80078125,NaN
16,7792,1,1,NaN,NaN,1,1.119140625,1.32421875
17,8365,1,0,0.205078125,1,NaN,0.80078125,NaN
18,8775,1,0,NaN,1,NaN,0.798828125,NaN
19,9184,1,0,NaN,1,NaN,0.80078125,NaN
20,9594,1,0,NaN,1,NaN,0.80078125,NaN
21,10004,1,0,NaN,1,NaN,0.798828125,NaN
22,10413,1,0,NaN,1,NaN,0.80078125,NaN
23,10823,1,0,NaN,1,NaN,0.798828125,NaN
24,11232,1,0,NaN,1,NaN,0.80078125,NaN
25,11642,1,0,NaN,1,NaN,0.80078125,NaN
26,12052,1,1,NaN,NaN,1,1.119140625,1.314453125
27,12625,1,0,0.1953125,1,NaN,0.798828125,NaN
28,13034,1,0,NaN,1,NaN,0.80078125,NaN
29,13444,1,0,NaN,1,NaN,0.798828125,NaN
30,13853,1,0,NaN,1,NaN,0.80078125,NaN
31,14263,1,0,NaN,1,NaN,0.80078125,NaN
32,14673,1,0,NaN,1,NaN,0.798828125,NaN
33,15082,1,0,NaN,0,NaN,0.80078125,0.98046875
34,15492,1,0,0.1796875,1,NaN,0.798828125,NaN
35,15901,1,0,NaN,1,NaN,0.80078125,NaN
36,16311,1,1,NaN,NaN,0,1.119140625,NaN
37,16884,1,0,NaN,1,NaN,0.80078125,NaN
38,17294,1,0,NaN,1,NaN,0.80078125,NaN
39,17704,1,0,NaN,1,NaN,0.798828125,NaN
40,18113,1,0,NaN,1,NaN,0.798828125,NaN
41,18522,1,0,NaN,1,NaN,0.80078125,NaN
42,18932,1,0,NaN,1,NaN,0.80078125,NaN
43,19342,1,0,NaN,1,NaN,0.798828125,NaN
44,19751,1,0,NaN,0,NaN,0.80078125,0.99609375
45,20161,1,0,0.1953125,1,NaN,0.798828125,NaN
46,20570,1,1,NaN,NaN,0,1.12109375,NaN
47,21144,1,0,NaN,1,NaN,0.798828125,NaN
48,21553,1,0,NaN,1,NaN,0.80078125,NaN
49,21963,1,0,NaN,1,NaN,0.798828125,NaN
50,22372,1,0,NaN,1,NaN,0.80078125,NaN
51,22782,1,0,NaN,1,NaN,0.80078125,NaN
52,23192,1,0,NaN,1,NaN,0.798828125,NaN
53,23601,1,0,NaN,1,NaN,0.80078125,NaN
54,24011,1,0,NaN,1,NaN,0.798828125,NaN
55,24420,1,0,NaN,1,NaN,0.80078125,NaN
56,24830,1,1,NaN,NaN,1,1.119140625,1.283203125
57,25403,1,0,0.1640625,1,NaN,0.80078125,NaN
58,25813,1,0,NaN,1,NaN,0.798828125,NaN
59,26222,1,0,NaN,1,NaN,0.80078125,NaN
60,26632,1,0,NaN,1,NaN,0.798828125,NaN
61,27041,1,0,NaN,1,NaN,0.80078125,NaN
62,27451,1,0,NaN,1,NaN,0.80078125,NaN
63,27861,1,0,NaN,1,NaN,0.798828125,NaN
64,28270,1,0,NaN,1,NaN,0.80078125,NaN
65,28680,1,0,NaN,1,NaN,0.798828125,NaN
66,29089,1,0,NaN,1,NaN,0.80078125,NaN
67,29499,1,1,NaN,NaN,1,1.119140625,1.31640625
68,30072,1,0,0.197265625,1,NaN,0.80078125,NaN
69,30482,1,0,NaN,1,NaN,0.798828125,NaN
70,30891,1,0,NaN,1,NaN,0.80078125,NaN
71,31301,1,0,NaN,1,NaN,0.80078125,NaN
72,31711,1,0,NaN,1,NaN,0.798828125,NaN
73,32120,1,0,NaN,1,NaN,0.80078125,NaN
74,32530,1,0,NaN,1,NaN,0.798828125,NaN
75,32939,1,0,NaN,1,NaN,0.80078125,NaN
76,33349,1,0,NaN,1,NaN,0.798828125,NaN
77,33758,1,0,NaN,1,NaN,0.80078125,NaN
78,34168,1,0,NaN,1,NaN,0.80078125,NaN
79,34578,1,0,NaN,1,NaN,0.798828125,NaN
80,34987,1,0,NaN,1,NaN,0.80078125,NaN
81,35397,1,0,NaN,1,NaN,0.798828125,NaN
82,35806,1,1,NaN,NaN,1,1.12109375,1.267578125
83,36380,1,0,0.146484375,1,NaN,0.798828125,NaN
84,36789,1,0,NaN,1,NaN,0.80078125,NaN
85,37199,1,0,NaN,1,NaN,0.80078125,NaN
86,37609,1,0,NaN,1,NaN,0.798828125,NaN
87,38018,1,0,NaN,1,NaN,0.798828125,NaN
88,38427,1,0,NaN,1,NaN,0.80078125,NaN
89,38837,1,0,NaN,1,NaN,0.80078125,NaN
90,39247,1,0,NaN,1,NaN,0.798828125,NaN
91,39656,1,1,NaN,NaN,0,1.12109375,NaN
92,40230,1,0,NaN,1,NaN,0.798828125,NaN
93,40639,1,0,NaN,1,NaN,0.80078125,NaN
94,41049,1,0,NaN,1,NaN,0.798828125,NaN
95,41458,1,0,NaN,1,NaN,0.80078125,NaN
96,41868,1,0,NaN,1,NaN,0.798828125,NaN
97,42277,1,0,NaN,1,NaN,0.80078125,NaN
98,42687,1,0,NaN,1,NaN,0.798828125,NaN
99,43096,1,0,NaN,1,NaN,0.80078125,NaN
