TrialN,Sample,BlockN,StimType,rawRT,corrNT,corrTG,ITI,RT
1,2719,1,0,NaN,1,NaN,0.798828125,NaN
2,3128,1,0,NaN,1,NaN,0.798828125,NaN
3,3537,1,0,NaN,1,NaN,0.80078125,NaN
4,3947,1,0,NaN,1,NaN,0.80078125,NaN
5,4357,1,0,NaN,1,NaN,0.798828125,NaN
6,4766,1,0,NaN,1,NaN,0.80078125,NaN
7,5176,1,0,NaN,1,NaN,0.798828125,NaN
8,5585,1,0,NaN,0,NaN,0.80078125,1.189453125
9,5995,1,0,0.388671875,1,NaN,0.798828125,NaN
10,6404,1,0,NaN,1,NaN,0.80078125,NaN
11,6814,1,1,NaN,NaN,0,1.119140625,NaN
12,7387,1,0,NaN,1,NaN,0.80078125,NaN
13,7797,1,0,NaN,1,NaN,0.80078125,NaN
14,8207,1,0,NaN,1,NaN,0.798828125,NaN
15,8616,1,0,NaN,1,NaN,0.80078125,NaN
16,9026,1,0,NaN,1,NaN,0.798828125,NaN
17,9435,1,0,NaN,1,NaN,0.80078125,NaN
18,9845,1,0,NaN,1,NaN,0.80078125,NaN
19,10255,1,1,NaN,NaN,1,1.119140625,1.46875
20,10828,1,0,0.349609375,1,NaN,0.798828125,NaN
21,11237,1,0,NaN,1,NaN,0.80078125,NaN
22,11647,1,0,NaN,1,NaN,0.798828125,NaN
23,12056,1,0,NaN,1,NaN,0.80078125,NaN
24,12466,1,0,NaN,1,NaN,0.80078125,NaN
25,12876,1,0,NaN,1,NaN,0.798828125,NaN
26,13285,1,0,NaN,1,NaN,0.80078125,NaN
27,13695,1,0,NaN,1,NaN,0.798828125,NaN
28,14104,1,0,NaN,1,NaN,0.80078125,NaN
29,14514,1,0,NaN,1,NaN,0.798828125,NaN
30,14923,1,0,NaN,1,NaN,0.80078125,NaN
31,15333,1,0,NaN,1,NaN,0.80078125,NaN
32,15743,1,0,NaN,1,NaN,0.798828125,NaN
33,16152,1,1,1.109375,NaN,1,1.12109375,1.109375
34,16726,1,0,NaN,1,NaN,0.798828125,NaN
35,17135,1,0,NaN,1,NaN,0.80078125,NaN
36,17545,1,0,NaN,1,NaN,0.798828125,NaN
37,17954,1,0,NaN,1,NaN,0.80078125,NaN
38,18364,1,0,NaN,1,NaN,0.80078125,NaN
39,18774,1,0,NaN,1,NaN,0.798828125,NaN
40,19183,1,0,NaN,1,NaN,0.80078125,NaN
41,19593,1,0,NaN,1,NaN,0.798828125,NaN
42,20002,1,0,NaN,1,NaN,0.80078125,NaN
43,20412,1,0,NaN,1,NaN,0.798828125,NaN
44,20821,1,0,NaN,1,NaN,0.80078125,NaN
45,21231,1,1,NaN,NaN,1,1.119140625,1.421875
46,21804,1,0,0.302734375,1,NaN,0.80078125,NaN
47,22214,1,0,NaN,1,NaN,0.798828125,NaN
48,22623,1,0,NaN,1,NaN,0.80078125,NaN
49,23033,1,0,NaN,1,NaN,0.798828125,NaN
50,23442,1,0,NaN,1,NaN,0.80078125,NaN
51,23852,1,0,NaN,1,NaN,0.80078125,NaN
52,24262,1,1,NaN,NaN,1,1.119140625,1.404296875
53,24835,1,0,0.28515625,1,NaN,0.80078125,NaN
54,25245,1,0,NaN,1,NaN,0.798828125,NaN
55,25654,1,0,NaN,1,NaN,0.80078125,NaN
56,26064,1,0,NaN,1,NaN,0.798828125,NaN
57,26473,1,0,NaN,1,NaN,0.80078125,NaN
58,26883,1,0,NaN,1,NaN,0.80078125,NaN
59,27293,1,1,NaN,NaN,1,1.119140625,1.396484375
60,27866,1,0,0.27734375,1,NaN,0.798828125,NaN
61,28275,1,0,NaN,1,NaN,0.80078125,NaN
62,28685,1,0,NaN,1,NaN,0.798828125,NaN
63,29094,1,0,NaN,1,NaN,0.80078125,NaN
64,29504,1,0,NaN,1,NaN,0.80078125,NaN
65,29914,1,0,NaN,1,NaN,0.798828125,NaN
66,30323,1,0,NaN,1,NaN,0.80078125,NaN
67,30733,1,0,NaN,1,NaN,0.80078125,NaN
68,31143,1,0,NaN,1,NaN,0.798828125,NaN
69,31552,1,1,NaN,NaN,1,1.12109375,1.509765625
70,32126,1,0,0.388671875,1,NaN,0.798828125,NaN
71,32535,1,0,NaN,1,NaN,0.80078125,NaN
72,32945,1,0,NaN,1,NaN,0.798828125,NaN
73,33354,1,0,NaN,1,NaN,0.798828125,NaN
74,33763,1,0,NaN,1,NaN,0.80078125,NaN
75,34173,1,0,NaN,1,NaN,0.80078125,NaN
76,34583,1,0,NaN,1,NaN,0.798828125,NaN
77,34992,1,0,NaN,1,NaN,0.80078125,NaN
78,35402,1,1,NaN,NaN,1,1.119140625,1.64453125
79,35975,1,0,0.525390625,1,NaN,0.80078125,NaN
80,36385,1,0,NaN,1,NaN,0.798828125,NaN
