TrialN,Sample,BlockN,StimType,rawRT,corrNT,corrTG,ITI,RT
1,2101,1,0,NaN,1,NaN,0.798828125,NaN
2,2510,1,0,NaN,1,NaN,0.80078125,NaN
3,2920,1,0,NaN,1,NaN,0.798828125,NaN
4,3329,1,0,NaN,1,NaN,0.80078125,NaN
5,3739,1,0,NaN,1,NaN,0.798828125,NaN
6,4148,1,0,NaN,1,NaN,0.80078125,NaN
7,4558,1,0,NaN,0,NaN,0.80078125,1.01953125
8,4968,1,0,0.21875,1,NaN,0.798828125,NaN
9,5377,1,0,NaN,1,NaN,0.80078125,NaN
10,5787,1,0,NaN,1,NaN,0.80078125,NaN
11,6197,1,0,NaN,1,NaN,0.798828125,NaN
12,6606,1,1,1.03515625,NaN,1,1.119140625,1.03515625
13,7179,1,0,NaN,1,NaN,0.80078125,NaN
14,7589,1,0,NaN,1,NaN,0.798828125,NaN
15,7998,1,0,NaN,1,NaN,0.80078125,NaN
16,8408,1,0,NaN,1,NaN,0.798828125,NaN
17,8817,1,0,NaN,1,NaN,0.80078125,NaN
18,9227,1,0,NaN,1,NaN,0.80078125,NaN
19,9637,1,0,NaN,1,NaN,0.798828125,NaN
20,10046,1,1,NaN,NaN,1,1.12109375,1.2265625
21,10620,1,0,0.10546875,1,NaN,0.798828125,NaN
22,11029,1,0,NaN,1,NaN,0.80078125,NaN
23,11439,1,0,NaN,1,NaN,0.798828125,NaN
24,11848,1,0,NaN,1,NaN,0.80078125,NaN
25,12258,1,0,NaN,1,NaN,0.798828125,NaN
26,12667,1,0,NaN,1,NaN,0.80078125,NaN
27,13077,1,0,NaN,1,NaN,0.80078125,NaN
28,13487,1,0,NaN,1,NaN,0.798828125,NaN
29,13896,1,0,NaN,1,NaN,0.80078125,NaN
30,14306,1,0,NaN,1,NaN,0.798828125,NaN
31,14715,1,0,NaN,1,NaN,0.80078125,NaN
32,15125,1,0,NaN,0,NaN,0.798828125,1.01953125
33,15534,1,1,0.220703125,NaN,0,1.12109375,NaN
34,16108,1,0,NaN,1,NaN,0.798828125,NaN
35,16517,1,0,NaN,1,NaN,0.80078125,NaN
36,16927,1,0,NaN,1,NaN,0.798828125,NaN
37,17336,1,0,NaN,1,NaN,0.80078125,NaN
38,17746,1,0,NaN,1,NaN,0.80078125,NaN
39,18156,1,0,NaN,1,NaN,0.798828125,NaN
40,18565,1,0,NaN,1,NaN,0.80078125,NaN
41,18975,1,0,NaN,1,NaN,0.798828125,NaN
42,19384,1,0,NaN,1,NaN,0.80078125,NaN
43,19794,1,0,NaN,1,NaN,0.798828125,NaN
44,20203,1,0,NaN,1,NaN,0.80078125,NaN
45,20613,1,0,NaN,1,NaN,0.80078125,NaN
46,21023,1,0,NaN,1,NaN,0.798828125,NaN
47,21432,1,1,NaN,NaN,0,1.12109375,NaN
48,22006,1,0,NaN,1,NaN,0.798828125,NaN
49,22415,1,0,NaN,1,NaN,0.80078125,NaN
50,22825,1,0,NaN,1,NaN,0.798828125,NaN
51,23234,1,0,NaN,1,NaN,0.80078125,NaN
52,23644,1,0,NaN,1,NaN,0.80078125,NaN
53,24054,1,0,NaN,1,NaN,0.798828125,NaN
54,24463,1,1,NaN,NaN,0,1.119140625,NaN
55,25036,1,0,NaN,1,NaN,0.80078125,NaN
56,25446,1,0,NaN,1,NaN,0.798828125,NaN
57,25855,1,0,NaN,1,NaN,0.80078125,NaN
58,26265,1,0,NaN,1,NaN,0.80078125,NaN
59,26675,1,0,NaN,1,NaN,0.798828125,NaN
60,27084,1,0,NaN,1,NaN,0.80078125,NaN
61,27494,1,0,NaN,1,NaN,0.798828125,NaN
62,27903,1,0,NaN,1,NaN,0.80078125,NaN
63,28313,1,0,NaN,1,NaN,0.798828125,NaN
64,28722,1,0,NaN,1,NaN,0.80078125,NaN
65,29132,1,1,NaN,NaN,0,1.119140625,NaN
66,29705,1,0,NaN,1,NaN,0.80078125,NaN
67,30115,1,0,NaN,1,NaN,0.80078125,NaN
68,30525,1,0,NaN,1,NaN,0.798828125,NaN
69,30934,1,0,NaN,1,NaN,0.80078125,NaN
70,31344,1,0,NaN,1,NaN,0.798828125,NaN
71,31753,1,0,NaN,1,NaN,0.80078125,NaN
72,32163,1,0,NaN,1,NaN,0.80078125,NaN
73,32573,1,1,NaN,NaN,0,1.119140625,NaN
