TrialN,Sample,BlockN,StimType,rawRT,corrNT,corrTG,ITI,RT
1,1954,1,0,NaN,1,NaN,0.798828125,NaN
2,2363,1,0,NaN,1,NaN,0.798828125,NaN
3,2772,1,0,NaN,1,NaN,0.80078125,NaN
4,3182,1,0,NaN,1,NaN,0.80078125,NaN
5,3592,1,0,NaN,1,NaN,0.798828125,NaN
6,4001,1,0,NaN,1,NaN,0.80078125,NaN
7,4411,1,0,NaN,1,NaN,0.798828125,NaN
8,4820,1,0,NaN,0,NaN,0.80078125,1.0234375
9,5230,1,0,0.22265625,1,NaN,0.798828125,NaN
10,5639,1,0,NaN,1,NaN,0.80078125,NaN
11,6049,1,0,NaN,1,NaN,0.798828125,NaN
12,6458,1,1,NaN,NaN,0,1.12109375,NaN
13,7032,1,0,NaN,1,NaN,0.798828125,NaN
14,7441,1,0,NaN,1,NaN,0.80078125,NaN
15,7851,1,0,NaN,1,NaN,0.80078125,NaN
16,8261,1,0,NaN,1,NaN,0.798828125,NaN
17,8670,1,0,NaN,1,NaN,0.80078125,NaN
18,9080,1,0,NaN,1,NaN,0.798828125,NaN
19,9489,1,0,NaN,1,NaN,0.80078125,NaN
20,9899,1,0,NaN,1,NaN,0.798828125,NaN
21,10308,1,1,1.064453125,NaN,1,1.12109375,1.064453125
22,10882,1,0,NaN,1,NaN,0.80078125,NaN
23,11292,1,0,NaN,1,NaN,0.798828125,NaN
24,11701,1,0,NaN,1,NaN,0.798828125,NaN
25,12110,1,0,NaN,1,NaN,0.80078125,NaN
26,12520,1,0,NaN,1,NaN,0.798828125,NaN
27,12929,1,0,NaN,0,NaN,0.80078125,1.18359375
28,13339,1,0,0.3828125,1,NaN,0.80078125,NaN
29,13749,1,0,NaN,1,NaN,0.798828125,NaN
30,14158,1,1,NaN,NaN,0,1.12109375,NaN
31,14732,1,0,NaN,1,NaN,0.798828125,NaN
32,15141,1,0,NaN,1,NaN,0.80078125,NaN
33,15551,1,0,NaN,1,NaN,0.798828125,NaN
34,15960,1,0,NaN,1,NaN,0.80078125,NaN
35,16370,1,0,NaN,1,NaN,0.798828125,NaN
36,16779,1,0,NaN,0,NaN,0.80078125,0.9765625
37,17189,1,0,0.17578125,1,NaN,0.80078125,NaN
38,17599,1,0,NaN,1,NaN,0.798828125,NaN
39,18008,1,0,NaN,1,NaN,0.80078125,NaN
40,18418,1,0,NaN,1,NaN,0.798828125,NaN
41,18827,1,1,NaN,NaN,1,1.12109375,1.3671875
42,19401,1,0,0.24609375,1,NaN,0.798828125,NaN
43,19810,1,0,NaN,1,NaN,0.80078125,NaN
44,20220,1,0,NaN,1,NaN,0.80078125,NaN
45,20630,1,0,NaN,1,NaN,0.798828125,NaN
46,21039,1,0,NaN,1,NaN,0.798828125,NaN
47,21448,1,0,NaN,1,NaN,0.80078125,NaN
48,21858,1,0,NaN,1,NaN,0.80078125,NaN
49,22268,1,0,NaN,1,NaN,0.798828125,NaN
50,22677,1,1,NaN,NaN,1,1.12109375,1.82421875
