TrialN,Sample,BlockN,StimType,rawRT,corrNT,corrTG,ITI,RT
1,732,1,0,NaN,1,NaN,0.798828125,NaN
2,1141,1,0,NaN,1,NaN,0.80078125,NaN
3,1551,1,0,NaN,1,NaN,0.798828125,NaN
4,1960,1,0,NaN,1,NaN,0.80078125,NaN
5,2370,1,0,NaN,1,NaN,0.80078125,NaN
6,2780,1,0,NaN,1,NaN,0.798828125,NaN
7,3189,1,0,NaN,1,NaN,0.80078125,NaN
8,3599,1,0,NaN,1,NaN,0.798828125,NaN
9,4008,1,0,NaN,1,NaN,0.798828125,NaN
10,4417,1,0,NaN,1,NaN,0.80078125,NaN
11,4827,1,0,NaN,1,NaN,0.80078125,NaN
12,5237,1,0,NaN,1,NaN,0.798828125,NaN
13,5646,1,0,NaN,1,NaN,0.80078125,NaN
14,6056,1,1,NaN,NaN,1,1.119140625,1.21484375
15,6629,1,0,0.095703125,1,NaN,0.80078125,NaN
16,7039,1,0,NaN,1,NaN,0.80078125,NaN
17,7449,1,0,NaN,1,NaN,0.798828125,NaN
18,7858,1,0,NaN,1,NaN,0.798828125,NaN
19,8267,1,0,NaN,1,NaN,0.80078125,NaN
20,8677,1,0,NaN,1,NaN,0.80078125,NaN
21,9087,1,0,NaN,1,NaN,0.798828125,NaN
22,9496,1,0,NaN,1,NaN,0.80078125,NaN
23,9906,1,0,NaN,1,NaN,0.798828125,NaN
24,10315,1,0,NaN,1,NaN,0.80078125,NaN
25,10725,1,0,NaN,1,NaN,0.798828125,NaN
26,11134,1,0,NaN,1,NaN,0.80078125,NaN
27,11544,1,0,NaN,1,NaN,0.80078125,NaN
28,11954,1,0,NaN,1,NaN,0.798828125,NaN
29,12363,1,1,NaN,NaN,1,1.12109375,1.255859375
30,12937,1,0,0.134765625,1,NaN,0.798828125,NaN
31,13346,1,0,NaN,1,NaN,0.80078125,NaN
32,13756,1,0,NaN,1,NaN,0.798828125,NaN
33,14165,1,0,NaN,1,NaN,0.80078125,NaN
34,14575,1,0,NaN,1,NaN,0.798828125,NaN
35,14984,1,0,NaN,1,NaN,0.80078125,NaN
36,15394,1,0,NaN,1,NaN,0.80078125,NaN
37,15804,1,0,NaN,1,NaN,0.798828125,NaN
38,16213,1,0,NaN,1,NaN,0.80078125,NaN
39,16623,1,0,NaN,1,NaN,0.798828125,NaN
40,17032,1,0,NaN,1,NaN,0.80078125,NaN
41,17442,1,0,NaN,1,NaN,0.80078125,NaN
42,17852,1,0,NaN,1,NaN,0.798828125,NaN
43,18261,1,1,NaN,NaN,1,1.119140625,1.52734375
44,18834,1,0,0.408203125,1,NaN,0.80078125,NaN
45,19244,1,0,NaN,1,NaN,0.798828125,NaN
46,19653,1,0,NaN,1,NaN,0.80078125,NaN
47,20063,1,0,NaN,1,NaN,0.80078125,NaN
48,20473,1,0,NaN,1,NaN,0.798828125,NaN
49,20882,1,0,NaN,1,NaN,0.80078125,NaN
50,21292,1,0,NaN,1,NaN,0.798828125,NaN
51,21701,1,0,NaN,1,NaN,0.80078125,NaN
52,22111,1,1,NaN,NaN,1,1.119140625,1.3671875
53,22684,1,0,0.248046875,1,NaN,0.80078125,NaN
54,23094,1,0,NaN,1,NaN,0.80078125,NaN
55,23504,1,0,NaN,1,NaN,0.798828125,NaN
56,23913,1,0,NaN,1,NaN,0.798828125,NaN
57,24322,1,0,NaN,1,NaN,0.80078125,NaN
58,24732,1,0,NaN,1,NaN,0.80078125,NaN
59,25142,1,0,NaN,1,NaN,0.798828125,NaN
60,25551,1,0,NaN,1,NaN,0.80078125,NaN
61,25961,1,0,NaN,1,NaN,0.798828125,NaN
62,26370,1,0,NaN,1,NaN,0.80078125,NaN
63,26780,1,0,NaN,1,NaN,0.798828125,NaN
64,27189,1,0,NaN,1,NaN,0.80078125,NaN
65,27599,1,0,NaN,1,NaN,0.80078125,NaN
66,28009,1,1,NaN,NaN,1,1.119140625,1.53515625
67,28582,1,0,0.416015625,1,NaN,0.798828125,NaN
68,28991,1,0,NaN,1,NaN,0.80078125,NaN
69,29401,1,0,NaN,1,NaN,0.80078125,NaN
70,29811,1,0,NaN,1,NaN,0.798828125,NaN
71,30220,1,0,NaN,1,NaN,0.80078125,NaN
72,30630,1,0,NaN,1,NaN,0.80078125,NaN
73,31040,1,1,NaN,NaN,1,1.119140625,1.4453125
74,31613,1,0,0.326171875,1,NaN,0.798828125,NaN
75,32022,1,0,NaN,1,NaN,0.80078125,NaN
76,32432,1,0,NaN,1,NaN,0.80078125,NaN
77,32842,1,0,NaN,1,NaN,0.798828125,NaN
78,33251,1,0,NaN,1,NaN,0.80078125,NaN
79,33661,1,0,NaN,1,NaN,0.798828125,NaN
80,34070,1,0,NaN,1,NaN,0.80078125,NaN
81,34480,1,0,NaN,1,NaN,0.798828125,NaN
82,34889,1,0,NaN,1,NaN,0.80078125,NaN
83,35299,1,1,NaN,NaN,1,1.119140625,1.17578125
84,35872,1,0,0.056640625,1,NaN,0.80078125,NaN
85,36282,1,0,NaN,1,NaN,0.798828125,NaN
86,36691,1,0,NaN,1,NaN,0.80078125,NaN
