TrialN,Sample,BlockN,StimType,rawRT,corrNT,corrTG,ITI,RT
1,2693,1,0,NaN,1,NaN,0.798828125,NaN
2,3102,1,0,NaN,1,NaN,0.80078125,NaN
3,3512,1,0,NaN,1,NaN,0.798828125,NaN
4,3921,1,0,NaN,1,NaN,0.80078125,NaN
5,4331,1,0,NaN,1,NaN,0.798828125,NaN
6,4740,1,0,NaN,1,NaN,0.80078125,NaN
7,5150,1,0,NaN,1,NaN,0.80078125,NaN
8,5560,1,0,NaN,0,NaN,0.798828125,0.9765625
9,5969,1,0,0.177734375,1,NaN,0.80078125,NaN
10,6379,1,0,NaN,1,NaN,0.798828125,NaN
11,6788,1,0,NaN,1,NaN,0.80078125,NaN
12,7198,1,1,NaN,NaN,0,1.119140625,NaN
13,7771,1,0,NaN,1,NaN,0.80078125,NaN
14,8181,1,0,NaN,1,NaN,0.798828125,NaN
15,8590,1,0,NaN,1,NaN,0.80078125,NaN
16,9000,1,0,NaN,1,NaN,0.798828125,NaN
17,9409,1,0,NaN,1,NaN,0.80078125,NaN
18,9819,1,0,NaN,1,NaN,0.80078125,NaN
19,10229,1,0,NaN,0,NaN,0.798828125,0.953125
20,10638,1,0,0.154296875,1,NaN,0.80078125,NaN
21,11048,1,0,NaN,1,NaN,0.80078125,NaN
22,11458,1,0,NaN,1,NaN,0.798828125,NaN
23,11867,1,1,NaN,NaN,1,1.12109375,1.578125
24,12441,1,0,0.45703125,1,NaN,0.798828125,NaN
25,12850,1,0,NaN,1,NaN,0.798828125,NaN
26,13259,1,0,NaN,1,NaN,0.80078125,NaN
27,13669,1,0,NaN,1,NaN,0.80078125,NaN
28,14079,1,0,NaN,1,NaN,0.798828125,NaN
29,14488,1,0,NaN,1,NaN,0.80078125,NaN
30,14898,1,0,NaN,1,NaN,0.798828125,NaN
31,15307,1,1,NaN,NaN,1,1.12109375,1.265625
32,15881,1,0,0.14453125,1,NaN,0.798828125,NaN
33,16290,1,0,NaN,1,NaN,0.80078125,NaN
34,16700,1,0,NaN,1,NaN,0.798828125,NaN
35,17109,1,0,NaN,1,NaN,0.80078125,NaN
36,17519,1,0,NaN,1,NaN,0.80078125,NaN
37,17929,1,0,NaN,1,NaN,0.798828125,NaN
38,18338,1,0,NaN,1,NaN,0.80078125,NaN
39,18748,1,0,NaN,1,NaN,0.798828125,NaN
40,19157,1,0,NaN,1,NaN,0.80078125,NaN
41,19567,1,0,NaN,1,NaN,0.798828125,NaN
42,19976,1,1,NaN,NaN,1,1.12109375,1.611328125
43,20550,1,0,0.490234375,1,NaN,0.80078125,NaN
44,20960,1,0,NaN,1,NaN,0.798828125,NaN
45,21369,1,0,NaN,1,NaN,0.798828125,NaN
46,21778,1,0,NaN,1,NaN,0.80078125,NaN
47,22188,1,0,NaN,1,NaN,0.80078125,NaN
48,22598,1,0,NaN,1,NaN,0.798828125,NaN
49,23007,1,0,NaN,1,NaN,0.80078125,NaN
50,23417,1,0,NaN,1,NaN,0.80078125,NaN
51,23827,1,0,NaN,1,NaN,0.798828125,NaN
52,24236,1,0,NaN,1,NaN,0.798828125,NaN
53,24645,1,0,NaN,1,NaN,0.80078125,NaN
54,25055,1,0,NaN,1,NaN,0.798828125,NaN
55,25464,1,0,NaN,1,NaN,0.80078125,NaN
56,25874,1,1,1.017578125,NaN,1,1.119140625,1.017578125
57,26447,1,0,NaN,1,NaN,0.80078125,NaN
58,26857,1,0,NaN,1,NaN,0.80078125,NaN
59,27267,1,0,NaN,1,NaN,0.798828125,NaN
60,27676,1,0,NaN,1,NaN,0.80078125,NaN
61,28086,1,0,NaN,1,NaN,0.798828125,NaN
62,28495,1,0,NaN,1,NaN,0.80078125,NaN
63,28905,1,0,NaN,1,NaN,0.798828125,NaN
64,29314,1,1,NaN,NaN,0,1.12109375,NaN
65,29888,1,0,NaN,1,NaN,0.80078125,NaN
66,30298,1,0,NaN,1,NaN,0.798828125,NaN
67,30707,1,0,NaN,1,NaN,0.80078125,NaN
68,31117,1,0,NaN,1,NaN,0.798828125,NaN
69,31526,1,0,NaN,1,NaN,0.80078125,NaN
70,31936,1,0,NaN,1,NaN,0.798828125,NaN
71,32345,1,0,NaN,1,NaN,0.80078125,NaN
72,32755,1,0,NaN,1,NaN,0.798828125,NaN
73,33164,1,0,NaN,0,NaN,0.80078125,0.978515625
74,33574,1,0,0.177734375,1,NaN,0.80078125,NaN
75,33984,1,0,NaN,1,NaN,0.798828125,NaN
76,34393,1,0,NaN,1,NaN,0.80078125,NaN
77,34803,1,0,NaN,1,NaN,0.798828125,NaN
78,35212,1,1,NaN,NaN,1,1.12109375,2.283203125
79,35786,1,0,NaN,1,NaN,0.798828125,NaN
80,36195,1,0,0.36328125,1,NaN,0.80078125,NaN
81,36605,1,0,NaN,1,NaN,0.798828125,NaN
82,37014,1,0,NaN,1,NaN,0.80078125,NaN
83,37424,1,0,NaN,1,NaN,0.798828125,NaN
84,37833,1,0,NaN,1,NaN,0.80078125,NaN
85,38243,1,0,NaN,1,NaN,0.80078125,NaN
86,38653,1,0,NaN,1,NaN,0.798828125,NaN
87,39062,1,0,NaN,1,NaN,0.80078125,NaN
88,39472,1,0,NaN,1,NaN,0.798828125,NaN
89,39881,1,0,NaN,1,NaN,0.80078125,NaN
90,40291,1,0,NaN,1,NaN,0.798828125,NaN
91,40700,1,1,NaN,NaN,1,1.12109375,1.39453125
92,41274,1,0,0.2734375,1,NaN,0.798828125,NaN
93,41683,1,0,NaN,1,NaN,0.80078125,NaN
94,42093,1,0,NaN,1,NaN,0.80078125,NaN
95,42503,1,0,NaN,1,NaN,0.798828125,NaN
96,42912,1,0,NaN,1,NaN,0.80078125,NaN
97,43322,1,0,NaN,1,NaN,0.798828125,NaN
98,43731,1,0,NaN,1,NaN,0.80078125,NaN
99,44141,1,0,NaN,1,NaN,0.80078125,NaN
100,44551,1,0,NaN,1,NaN,0.798828125,NaN
101,44960,1,0,NaN,1,NaN,0.798828125,NaN
102,45369,1,0,NaN,1,NaN,0.80078125,NaN
103,45779,1,0,NaN,1,NaN,0.80078125,NaN
104,46189,1,0,NaN,1,NaN,0.798828125,NaN
105,46598,1,1,NaN,NaN,0,1.12109375,NaN
106,47172,1,0,NaN,1,NaN,0.798828125,NaN
107,47581,1,0,NaN,1,NaN,0.80078125,NaN
108,47991,1,0,NaN,1,NaN,0.798828125,NaN
109,48400,1,0,NaN,1,NaN,0.80078125,NaN
110,48810,1,0,NaN,1,NaN,0.80078125,NaN
111,49220,1,0,NaN,1,NaN,0.798828125,NaN
112,49629,1,0,NaN,1,NaN,0.853515625,NaN
113,50066,1,0,NaN,1,NaN,0.798828125,NaN
114,50475,1,0,NaN,1,NaN,0.80078125,NaN
115,50885,1,0,NaN,1,NaN,0.80078125,NaN
116,51295,1,0,NaN,1,NaN,0.798828125,NaN
117,51704,1,0,NaN,1,NaN,0.80078125,NaN
118,52114,1,1,NaN,NaN,1,1.119140625,1.291015625
119,52687,1,0,0.171875,1,NaN,0.80078125,NaN
120,53097,1,0,NaN,1,NaN,0.798828125,NaN
121,53506,1,0,NaN,1,NaN,0.80078125,NaN
122,53916,1,0,NaN,1,NaN,0.798828125,NaN
123,54325,1,0,NaN,1,NaN,0.80078125,NaN
124,54735,1,0,NaN,1,NaN,0.798828125,NaN
125,55144,1,0,NaN,1,NaN,0.80078125,NaN
126,55554,1,0,NaN,1,NaN,0.80078125,NaN
127,55964,1,0,NaN,1,NaN,0.798828125,NaN
128,56373,1,0,NaN,1,NaN,0.80078125,NaN
129,56783,1,0,NaN,1,NaN,0.80078125,NaN
130,57193,1,0,NaN,1,NaN,0.798828125,NaN
131,57602,1,0,NaN,1,NaN,0.798828125,NaN
132,58011,1,0,NaN,1,NaN,0.80078125,NaN
133,58421,1,1,NaN,NaN,1,1.119140625,2.083984375
134,58994,1,0,NaN,1,NaN,0.80078125,NaN
135,59404,1,0,0.1640625,1,NaN,0.798828125,NaN
136,59813,1,0,NaN,1,NaN,0.80078125,NaN
137,60223,1,0,NaN,1,NaN,0.80078125,NaN
138,60633,1,0,NaN,1,NaN,0.798828125,NaN
139,61042,1,0,NaN,1,NaN,0.80078125,NaN
140,61452,1,0,NaN,1,NaN,0.80078125,NaN
141,61862,1,0,NaN,1,NaN,0.798828125,NaN
142,62271,1,0,NaN,1,NaN,0.80078125,NaN
143,62681,1,0,NaN,1,NaN,0.798828125,NaN
144,63090,1,0,NaN,1,NaN,0.80078125,NaN
145,63500,1,0,NaN,1,NaN,0.798828125,NaN
