TrialN,Sample,BlockN,StimType,rawRT,corrNT,corrTG,ITI,RT
1,2407,1,0,NaN,1,NaN,0.798828125,NaN
2,2816,1,0,NaN,1,NaN,0.80078125,NaN
3,3226,1,0,NaN,1,NaN,0.798828125,NaN
4,3635,1,0,NaN,0,NaN,0.798828125,0.90625
5,4044,1,0,0.107421875,1,NaN,0.80078125,NaN
6,4454,1,0,NaN,1,NaN,0.80078125,NaN
7,4864,1,0,NaN,0,NaN,0.798828125,1.578125
8,5273,1,0,0.779296875,1,NaN,0.80078125,NaN
9,5683,1,1,NaN,NaN,1,1.119140625,2.275390625
10,6256,1,0,NaN,1,NaN,0.80078125,NaN
11,6666,1,0,0.35546875,1,NaN,0.798828125,NaN
12,7075,1,0,NaN,1,NaN,0.80078125,NaN
13,7485,1,0,NaN,0,NaN,0.80078125,1.36328125
14,7895,1,0,0.5625,1,NaN,0.798828125,NaN
15,8304,1,0,NaN,0,NaN,0.80078125,1.490234375
16,8714,1,0,0.689453125,1,NaN,0.798828125,NaN
17,9123,1,1,0.8984375,NaN,1,1.119140625,2.244140625
18,9696,1,0,NaN,1,NaN,0.80078125,NaN
19,10106,1,0,0.32421875,1,NaN,0.80078125,NaN
20,10516,1,0,NaN,1,NaN,0.798828125,NaN
21,10925,1,0,NaN,1,NaN,0.80078125,NaN
22,11335,1,0,NaN,0,NaN,0.80078125,1.490234375
23,11745,1,0,0.689453125,1,NaN,0.798828125,NaN
24,12154,1,0,NaN,1,NaN,0.798828125,NaN
25,12563,1,0,NaN,0,NaN,0.80078125,0.8671875
26,12973,1,0,0.06640625,1,NaN,0.80078125,NaN
27,13383,1,0,NaN,1,NaN,0.798828125,NaN
28,13792,1,0,NaN,0,NaN,0.80078125,1.427734375
29,14202,1,1,0.626953125,NaN,0,1.119140625,NaN
30,14775,1,0,NaN,1,NaN,0.80078125,NaN
31,15185,1,0,NaN,1,NaN,0.80078125,NaN
32,15595,1,0,NaN,0,NaN,0.798828125,1.025390625
33,16004,1,0,0.2265625,1,NaN,0.80078125,NaN
34,16414,1,0,NaN,1,NaN,0.798828125,NaN
35,16823,1,0,NaN,1,NaN,0.798828125,NaN
36,17232,1,0,NaN,0,NaN,0.80078125,1.091796875
37,17642,1,1,0.291015625,NaN,0,1.119140625,NaN
38,18215,1,0,NaN,1,NaN,0.80078125,NaN
39,18625,1,0,NaN,0,NaN,0.80078125,1.02734375
40,19035,1,0,0.2265625,1,NaN,0.798828125,NaN
41,19444,1,0,NaN,0,NaN,0.80078125,1.138671875
42,19854,1,0,0.337890625,1,NaN,0.798828125,NaN
43,20263,1,0,NaN,1,NaN,0.80078125,NaN
44,20673,1,0,NaN,1,NaN,0.798828125,NaN
45,21082,1,0,NaN,1,NaN,0.80078125,NaN
46,21492,1,0,NaN,0,NaN,0.80078125,1.083984375
47,21902,1,0,0.283203125,1,NaN,0.798828125,NaN
48,22311,1,0,NaN,1,NaN,0.80078125,NaN
49,22721,1,0,NaN,0,NaN,0.798828125,1.123046875
50,23130,1,0,0.32421875,1,NaN,0.80078125,NaN
51,23540,1,0,NaN,0,NaN,0.798828125,1.07421875
52,23949,1,1,0.275390625,NaN,1,1.12109375,2.427734375
53,24523,1,0,NaN,1,NaN,0.798828125,NaN
54,24932,1,0,0.5078125,1,NaN,0.80078125,NaN
55,25342,1,0,NaN,0,NaN,0.798828125,1.251953125
56,25751,1,0,0.453125,1,NaN,0.80078125,NaN
57,26161,1,0,NaN,0,NaN,0.80078125,1.474609375
58,26571,1,0,0.673828125,1,NaN,0.798828125,NaN
59,26980,1,0,NaN,0,NaN,0.80078125,1.515625
60,27390,1,1,0.71484375,NaN,0,1.119140625,NaN
61,27963,1,0,NaN,1,NaN,0.80078125,NaN
62,28373,1,0,NaN,0,NaN,0.798828125,1.02734375
63,28782,1,0,0.228515625,1,NaN,0.80078125,NaN
64,29192,1,0,NaN,0,NaN,0.798828125,1.306640625
65,29601,1,0,0.5078125,1,NaN,0.80078125,NaN
66,30011,1,0,NaN,1,NaN,0.80078125,NaN
67,30421,1,0,NaN,0,NaN,0.798828125,1.2109375
68,30830,1,0,0.412109375,1,NaN,0.80078125,NaN
69,31240,1,0,NaN,0,NaN,0.798828125,1.37890625
70,31649,1,0,0.580078125,1,NaN,0.80078125,NaN
71,32059,1,0,NaN,0,NaN,0.798828125,1.490234375
72,32468,1,0,0.69140625,1,NaN,0.80078125,NaN
73,32878,1,1,NaN,NaN,1,1.119140625,1.771484375
74,33451,1,0,0.65234375,1,NaN,0.80078125,NaN
75,33861,1,0,NaN,0,NaN,0.798828125,1.5625
76,34270,1,0,0.763671875,1,NaN,0.80078125,NaN
77,34680,1,0,NaN,0,NaN,0.80078125,1.595703125
78,35090,1,0,0.794921875,1,NaN,1.599609375,NaN
79,35909,1,0,NaN,0,NaN,0.798828125,0.970703125
80,36318,1,0,0.171875,1,NaN,0.80078125,NaN
81,36728,1,0,NaN,0,NaN,0.798828125,1.03515625
82,37137,1,0,0.236328125,1,NaN,0.80078125,NaN
83,37547,1,0,NaN,0,NaN,0.80078125,1.2109375
84,37957,1,0,0.41015625,1,NaN,0.798828125,NaN
85,38366,1,0,NaN,0,NaN,0.80078125,1.404296875
86,38776,1,0,0.603515625,1,NaN,0.798828125,NaN
87,39185,1,1,NaN,NaN,0,1.12109375,NaN
88,39759,1,0,NaN,1,NaN,0.798828125,NaN
89,40168,1,0,NaN,0,NaN,0.80078125,1.35546875
90,40578,1,0,0.5546875,1,NaN,0.798828125,NaN
