TrialN,Sample,BlockN,StimType,rawRT,corrNT,corrTG,ITI,RT
1,2202,1,0,NaN,1,NaN,0.798828125,NaN
2,2611,1,0,NaN,1,NaN,0.80078125,NaN
3,3021,1,0,NaN,1,NaN,0.798828125,NaN
4,3430,1,0,NaN,1,NaN,0.80078125,NaN
5,3840,1,0,NaN,1,NaN,0.80078125,NaN
6,4250,1,0,NaN,1,NaN,0.798828125,NaN
7,4659,1,0,NaN,1,NaN,0.80078125,NaN
8,5069,1,0,NaN,1,NaN,0.798828125,NaN
9,5478,1,0,NaN,1,NaN,0.80078125,NaN
10,5888,1,0,NaN,1,NaN,0.80078125,NaN
11,6298,1,0,NaN,1,NaN,0.798828125,NaN
12,6707,1,0,NaN,1,NaN,0.80078125,NaN
13,7117,1,0,NaN,1,NaN,0.798828125,NaN
14,7526,1,1,NaN,NaN,0,1.119140625,NaN
15,8099,1,0,NaN,1,NaN,0.80078125,NaN
16,8509,1,0,NaN,1,NaN,0.80078125,NaN
17,8919,1,0,NaN,1,NaN,0.798828125,NaN
18,9328,1,0,NaN,1,NaN,0.80078125,NaN
19,9738,1,0,NaN,1,NaN,0.80078125,NaN
20,10148,1,0,NaN,1,NaN,0.798828125,NaN
21,10557,1,0,NaN,1,NaN,0.80078125,NaN
22,10967,1,0,NaN,1,NaN,0.798828125,NaN
23,11376,1,0,NaN,1,NaN,0.80078125,NaN
24,11786,1,1,NaN,NaN,1,1.119140625,1.525390625
25,12359,1,0,0.40625,1,NaN,0.80078125,NaN
26,12769,1,0,NaN,1,NaN,0.798828125,NaN
27,13178,1,0,NaN,1,NaN,0.80078125,NaN
28,13588,1,0,NaN,1,NaN,0.798828125,NaN
29,13997,1,0,NaN,1,NaN,0.80078125,NaN
30,14407,1,0,NaN,1,NaN,0.80078125,NaN
31,14817,1,0,NaN,1,NaN,0.798828125,NaN
32,15226,1,0,NaN,1,NaN,0.80078125,NaN
33,15636,1,1,NaN,NaN,0,1.119140625,NaN
34,16209,1,0,NaN,1,NaN,0.798828125,NaN
35,16618,1,0,NaN,1,NaN,0.80078125,NaN
36,17028,1,0,NaN,1,NaN,0.80078125,NaN
37,17438,1,0,NaN,1,NaN,0.798828125,NaN
38,17847,1,0,NaN,1,NaN,0.80078125,NaN
39,18257,1,0,NaN,1,NaN,0.798828125,NaN
40,18666,1,0,NaN,1,NaN,0.80078125,NaN
41,19076,1,0,NaN,1,NaN,0.798828125,NaN
42,19485,1,0,NaN,1,NaN,0.80078125,NaN
43,19895,1,0,NaN,1,NaN,0.80078125,NaN
44,20305,1,0,NaN,1,NaN,0.798828125,NaN
45,20714,1,0,NaN,1,NaN,0.80078125,NaN
46,21124,1,1,NaN,NaN,1,1.119140625,1.486328125
47,21697,1,0,0.3671875,1,NaN,0.80078125,NaN
48,22107,1,0,NaN,1,NaN,0.798828125,NaN
49,22516,1,0,NaN,1,NaN,0.80078125,NaN
50,22926,1,0,NaN,1,NaN,0.798828125,NaN
51,23335,1,0,NaN,1,NaN,0.80078125,NaN
52,23745,1,0,NaN,1,NaN,0.80078125,NaN
53,24155,1,1,NaN,NaN,0,1.119140625,NaN
54,24728,1,0,NaN,1,NaN,0.798828125,NaN
55,25137,1,0,NaN,1,NaN,0.80078125,NaN
56,25547,1,0,NaN,1,NaN,0.80078125,NaN
57,25957,1,0,NaN,1,NaN,0.798828125,NaN
58,26366,1,0,NaN,1,NaN,0.80078125,NaN
59,26776,1,0,NaN,1,NaN,0.80078125,NaN
60,27186,1,0,NaN,1,NaN,0.798828125,NaN
61,27595,1,0,NaN,1,NaN,0.80078125,NaN
62,28005,1,0,NaN,1,NaN,0.798828125,NaN
63,28414,1,0,NaN,1,NaN,0.80078125,NaN
64,28824,1,0,NaN,1,NaN,0.798828125,NaN
65,29233,1,0,NaN,1,NaN,0.80078125,NaN
66,29643,1,0,NaN,1,NaN,0.798828125,NaN
67,30052,1,1,NaN,NaN,0,1.12109375,NaN
68,30626,1,0,NaN,1,NaN,0.798828125,NaN
69,31035,1,0,NaN,1,NaN,0.80078125,NaN
70,31445,1,0,NaN,1,NaN,0.80078125,NaN
71,31855,1,0,NaN,1,NaN,0.798828125,NaN
72,32264,1,0,NaN,1,NaN,0.798828125,NaN
73,32673,1,0,NaN,1,NaN,0.80078125,NaN
74,33083,1,0,NaN,1,NaN,0.80078125,NaN
75,33493,1,0,NaN,1,NaN,0.798828125,NaN
76,33902,1,0,NaN,1,NaN,0.80078125,NaN
77,34312,1,1,NaN,NaN,0,1.119140625,NaN
78,34885,1,0,NaN,1,NaN,0.80078125,NaN
79,35295,1,0,NaN,1,NaN,0.80078125,NaN
80,35705,1,0,NaN,1,NaN,0.798828125,NaN
81,36114,1,0,NaN,1,NaN,0.798828125,NaN
82,36523,1,0,NaN,1,NaN,0.80078125,NaN
83,36933,1,0,NaN,1,NaN,0.80078125,NaN
84,37343,1,0,NaN,1,NaN,0.798828125,NaN
85,37752,1,0,NaN,1,NaN,0.80078125,NaN
86,38162,1,0,NaN,1,NaN,0.80078125,NaN
87,38572,1,0,NaN,1,NaN,0.798828125,NaN
88,38981,1,1,NaN,NaN,0,1.119140625,NaN
89,39554,1,0,NaN,1,NaN,0.80078125,NaN
90,39964,1,0,NaN,1,NaN,0.80078125,NaN
91,40374,1,0,NaN,1,NaN,0.798828125,NaN
92,40783,1,0,NaN,1,NaN,0.798828125,NaN
93,41192,1,0,NaN,1,NaN,0.80078125,NaN
94,41602,1,0,NaN,1,NaN,0.80078125,NaN
95,42012,1,0,NaN,1,NaN,0.798828125,NaN
96,42421,1,0,NaN,1,NaN,0.80078125,NaN
97,42831,1,1,NaN,NaN,1,1.119140625,1.326171875
98,43404,1,0,0.20703125,1,NaN,0.80078125,NaN
99,43814,1,0,NaN,1,NaN,0.798828125,NaN
100,44223,1,0,NaN,1,NaN,0.80078125,NaN
101,44633,1,0,NaN,1,NaN,0.798828125,NaN
102,45042,1,0,NaN,1,NaN,0.80078125,NaN
103,45452,1,0,NaN,1,NaN,0.80078125,NaN
104,45862,1,0,NaN,1,NaN,0.798828125,NaN
105,46271,1,0,NaN,1,NaN,0.80078125,NaN
106,46681,1,0,NaN,1,NaN,0.80078125,NaN
107,47091,1,0,NaN,1,NaN,0.798828125,NaN
108,47500,1,0,NaN,1,NaN,0.80078125,NaN
109,47910,1,0,NaN,1,NaN,0.798828125,NaN
110,48319,1,0,NaN,1,NaN,0.80078125,NaN
111,48729,1,1,NaN,NaN,0,1.119140625,NaN
112,49302,1,0,NaN,1,NaN,0.80078125,NaN
113,49712,1,0,NaN,1,NaN,0.798828125,NaN
114,50121,1,0,NaN,1,NaN,0.80078125,NaN
115,50531,1,0,NaN,1,NaN,0.798828125,NaN
116,50940,1,0,NaN,1,NaN,0.80078125,NaN
117,51350,1,0,NaN,1,NaN,0.80078125,NaN
118,51760,1,1,NaN,NaN,0,1.119140625,NaN
119,52333,1,0,NaN,1,NaN,0.80078125,NaN
120,52743,1,0,NaN,1,NaN,0.798828125,NaN
121,53152,1,0,NaN,1,NaN,0.798828125,NaN
122,53561,1,0,NaN,1,NaN,0.80078125,NaN
123,53971,1,0,NaN,1,NaN,0.80078125,NaN
124,54381,1,0,NaN,1,NaN,0.798828125,NaN
125,54790,1,0,NaN,1,NaN,0.80078125,NaN
126,55200,1,0,NaN,1,NaN,0.798828125,NaN
127,55609,1,0,NaN,1,NaN,0.80078125,NaN
128,56019,1,0,NaN,1,NaN,0.798828125,NaN
129,56428,1,0,NaN,1,NaN,0.80078125,NaN
130,56838,1,0,NaN,1,NaN,0.80078125,NaN
131,57248,1,0,NaN,1,NaN,0.798828125,NaN
132,57657,1,0,NaN,1,NaN,0.80078125,NaN
133,58067,1,1,NaN,NaN,0,1.119140625,NaN
134,58640,1,0,NaN,1,NaN,0.80078125,NaN
135,59050,1,0,NaN,1,NaN,0.798828125,NaN
136,59459,1,0,NaN,1,NaN,0.80078125,NaN
137,59869,1,0,NaN,1,NaN,0.798828125,NaN
138,60278,1,0,NaN,1,NaN,0.80078125,NaN
139,60688,1,0,NaN,1,NaN,0.798828125,NaN
140,61097,1,1,NaN,NaN,0,1.12109375,NaN
141,61671,1,0,NaN,1,NaN,0.798828125,NaN
142,62080,1,0,NaN,1,NaN,0.80078125,NaN
143,62490,1,0,NaN,1,NaN,0.798828125,NaN
144,62899,1,0,NaN,1,NaN,0.80078125,NaN
145,63309,1,0,NaN,1,NaN,0.80078125,NaN
146,63719,1,0,NaN,1,NaN,0.798828125,NaN
147,64128,1,0,NaN,1,NaN,0.80078125,NaN
148,64538,1,0,NaN,1,NaN,0.798828125,NaN
149,64947,1,0,NaN,1,NaN,0.80078125,NaN
150,65357,1,0,NaN,1,NaN,0.80078125,NaN
151,65767,1,0,NaN,1,NaN,0.798828125,NaN
152,66176,1,0,NaN,1,NaN,0.80078125,NaN
153,66586,1,0,NaN,1,NaN,0.798828125,NaN
154,66995,1,0,NaN,1,NaN,0.80078125,NaN
155,67405,1,1,NaN,NaN,0,1.119140625,NaN
156,67978,1,0,NaN,1,NaN,0.80078125,NaN
157,68388,1,0,NaN,1,NaN,0.80078125,NaN
158,68798,1,0,NaN,1,NaN,0.798828125,NaN
159,69207,1,0,NaN,1,NaN,0.798828125,NaN
160,69616,1,0,NaN,1,NaN,0.80078125,NaN
161,70026,1,0,NaN,1,NaN,0.80078125,NaN
162,70436,1,0,NaN,1,NaN,0.798828125,NaN
163,70845,1,0,NaN,1,NaN,0.80078125,NaN
164,71255,1,1,NaN,NaN,0,1.119140625,NaN
165,71828,1,0,NaN,1,NaN,0.80078125,NaN
166,72238,1,0,NaN,1,NaN,0.798828125,NaN
167,72647,1,0,NaN,1,NaN,0.80078125,NaN
168,73057,1,0,NaN,1,NaN,0.80078125,NaN
169,73467,1,0,NaN,1,NaN,0.798828125,NaN
170,73876,1,0,NaN,1,NaN,0.80078125,NaN
171,74286,1,0,NaN,1,NaN,0.8125,NaN
172,74702,1,0,NaN,1,NaN,0.80078125,NaN
173,75112,1,0,NaN,0,NaN,0.892578125,1.13671875
174,75569,1,1,0.244140625,NaN,0,1.119140625,NaN
175,76142,1,0,NaN,1,NaN,0.892578125,NaN
176,76599,1,0,NaN,1,NaN,0.80078125,NaN
177,77009,1,0,NaN,1,NaN,0.80078125,NaN
178,77419,1,0,NaN,1,NaN,0.798828125,NaN
179,77828,1,0,NaN,1,NaN,0.80078125,NaN
180,78238,1,0,NaN,1,NaN,0.798828125,NaN
181,78647,1,0,NaN,1,NaN,0.80078125,NaN
182,79057,1,0,NaN,1,NaN,0.80078125,NaN
183,79467,1,0,NaN,1,NaN,0.798828125,NaN
184,79876,1,0,NaN,1,NaN,0.80078125,NaN
185,80286,1,0,NaN,1,NaN,0.798828125,NaN
186,80695,1,1,NaN,NaN,0,1.12109375,NaN
187,81269,1,0,NaN,1,NaN,0.798828125,NaN
188,81678,1,0,NaN,1,NaN,0.80078125,NaN
189,82088,1,0,NaN,1,NaN,0.798828125,NaN
190,82497,1,0,NaN,1,NaN,0.80078125,NaN
191,82907,1,0,NaN,1,NaN,0.798828125,NaN
192,83316,1,0,NaN,1,NaN,0.80078125,NaN
193,83726,1,0,NaN,1,NaN,0.80078125,NaN
194,84136,1,0,NaN,1,NaN,0.798828125,NaN
195,84545,1,0,NaN,1,NaN,0.80078125,NaN
196,84955,1,0,NaN,1,NaN,0.798828125,NaN
197,85364,1,0,NaN,1,NaN,0.80078125,NaN
198,85774,1,0,NaN,1,NaN,0.798828125,NaN
199,86183,1,0,NaN,1,NaN,0.80078125,NaN
200,86593,1,0,NaN,1,NaN,0.80078125,NaN
201,87003,1,1,NaN,NaN,0,1.119140625,NaN
202,87576,1,0,NaN,1,NaN,0.80078125,NaN
203,87986,1,0,NaN,1,NaN,0.798828125,NaN
204,88395,1,0,NaN,1,NaN,0.80078125,NaN
205,88805,1,0,NaN,1,NaN,0.798828125,NaN
206,89214,1,0,NaN,1,NaN,0.80078125,NaN
207,89624,1,0,NaN,1,NaN,0.798828125,NaN
208,90033,1,0,NaN,1,NaN,0.80078125,NaN
209,90443,1,0,NaN,1,NaN,0.80078125,NaN
210,90853,1,0,NaN,1,NaN,0.798828125,NaN
211,91262,1,0,NaN,1,NaN,0.80078125,NaN
212,91672,1,0,NaN,1,NaN,0.798828125,NaN
213,92081,1,0,NaN,1,NaN,0.80078125,NaN
214,92491,1,0,NaN,1,NaN,0.80078125,NaN
215,92901,1,0,NaN,1,NaN,0.798828125,NaN
216,93310,1,1,NaN,NaN,0,1.119140625,NaN
217,93883,1,0,NaN,1,NaN,0.80078125,NaN
