TrialN,Sample,BlockN,StimType,rawRT,corrNT,corrTG,ITI,RT
1,2742,1,0,NaN,1,NaN,0.80078125,NaN
2,3152,1,0,NaN,1,NaN,0.798828125,NaN
3,3561,1,0,NaN,1,NaN,0.80078125,NaN
4,3971,1,0,NaN,1,NaN,0.798828125,NaN
5,4380,1,0,NaN,1,NaN,0.798828125,NaN
6,4789,1,0,NaN,1,NaN,0.80078125,NaN
7,5199,1,0,NaN,1,NaN,0.80078125,NaN
8,5609,1,0,NaN,1,NaN,0.798828125,NaN
9,6018,1,1,NaN,NaN,1,1.12109375,1.216796875
10,6592,1,0,0.095703125,1,NaN,0.798828125,NaN
11,7001,1,0,NaN,1,NaN,0.80078125,NaN
12,7411,1,0,NaN,1,NaN,0.798828125,NaN
13,7820,1,0,NaN,1,NaN,0.80078125,NaN
14,8230,1,0,NaN,1,NaN,0.798828125,NaN
15,8639,1,0,NaN,1,NaN,0.80078125,NaN
16,9049,1,0,NaN,1,NaN,0.80078125,NaN
17,9459,1,0,NaN,1,NaN,0.798828125,NaN
18,9868,1,0,NaN,1,NaN,0.80078125,NaN
19,10278,1,0,NaN,1,NaN,0.798828125,NaN
20,10687,1,0,NaN,1,NaN,0.80078125,NaN
21,11097,1,0,NaN,1,NaN,0.798828125,NaN
22,11506,1,0,NaN,1,NaN,0.80078125,NaN
23,11916,1,0,NaN,1,NaN,0.80078125,NaN
24,12326,1,1,NaN,NaN,0,1.119140625,NaN
25,12899,1,0,NaN,1,NaN,0.798828125,NaN
26,13308,1,0,NaN,1,NaN,0.80078125,NaN
27,13718,1,0,NaN,1,NaN,0.80078125,NaN
28,14128,1,0,NaN,1,NaN,0.798828125,NaN
29,14537,1,0,NaN,0,NaN,0.80078125,0.984375
30,14947,1,0,0.18359375,1,NaN,0.798828125,NaN
31,15356,1,1,NaN,NaN,0,1.12109375,NaN
32,15930,1,0,NaN,1,NaN,0.798828125,NaN
33,16339,1,0,NaN,1,NaN,0.80078125,NaN
34,16749,1,0,NaN,1,NaN,0.798828125,NaN
35,17158,1,0,NaN,1,NaN,0.80078125,NaN
36,17568,1,0,NaN,1,NaN,0.80078125,NaN
37,17978,1,0,NaN,1,NaN,0.798828125,NaN
38,18387,1,0,NaN,1,NaN,0.80078125,NaN
39,18797,1,1,NaN,NaN,1,1.119140625,1.599609375
40,19370,1,0,0.48046875,1,NaN,0.80078125,NaN
41,19780,1,0,NaN,1,NaN,0.798828125,NaN
42,20189,1,0,NaN,1,NaN,0.80078125,NaN
43,20599,1,0,NaN,1,NaN,0.80078125,NaN
44,21009,1,0,NaN,1,NaN,0.798828125,NaN
45,21418,1,0,NaN,1,NaN,0.798828125,NaN
46,21827,1,0,NaN,1,NaN,0.80078125,NaN
47,22237,1,0,NaN,1,NaN,0.80078125,NaN
48,22647,1,0,NaN,1,NaN,0.798828125,NaN
49,23056,1,0,NaN,1,NaN,0.80078125,NaN
50,23466,1,1,NaN,NaN,0,1.119140625,NaN
51,24039,1,0,NaN,1,NaN,0.80078125,NaN
