TrialN,Sample,BlockN,StimType,rawRT,corrNT,corrTG,ITI,RT
1,2456,1,0,NaN,1,NaN,0.798828125,NaN
2,2865,1,0,NaN,1,NaN,0.80078125,NaN
3,3275,1,0,NaN,1,NaN,0.798828125,NaN
4,3684,1,0,NaN,1,NaN,0.80078125,NaN
5,4094,1,0,NaN,1,NaN,0.80078125,NaN
6,4504,1,0,NaN,1,NaN,0.798828125,NaN
7,4913,1,0,NaN,1,NaN,0.80078125,NaN
8,5323,1,0,NaN,1,NaN,0.798828125,NaN
9,5732,1,0,NaN,1,NaN,0.80078125,NaN
10,6142,1,0,NaN,1,NaN,0.798828125,NaN
11,6551,1,0,NaN,1,NaN,0.80078125,NaN
12,6961,1,0,NaN,1,NaN,0.798828125,NaN
13,7370,1,0,NaN,1,NaN,0.80078125,NaN
14,7780,1,0,NaN,1,NaN,0.80078125,NaN
15,8190,1,1,NaN,NaN,1,1.119140625,1.275390625
16,8763,1,0,0.15625,1,NaN,0.80078125,NaN
17,9173,1,0,NaN,1,NaN,0.798828125,NaN
18,9582,1,0,NaN,1,NaN,0.80078125,NaN
19,9992,1,0,NaN,1,NaN,0.798828125,NaN
20,10401,1,0,NaN,1,NaN,0.80078125,NaN
21,10811,1,0,NaN,1,NaN,0.798828125,NaN
22,11220,1,0,NaN,1,NaN,0.80078125,NaN
23,11630,1,0,NaN,1,NaN,0.798828125,NaN
24,12039,1,0,NaN,1,NaN,0.80078125,NaN
25,12449,1,0,NaN,1,NaN,0.798828125,NaN
26,12858,1,1,NaN,NaN,1,1.12109375,1.390625
27,13432,1,0,0.26953125,1,NaN,0.798828125,NaN
28,13841,1,0,NaN,1,NaN,0.80078125,NaN
29,14251,1,0,NaN,1,NaN,0.80078125,NaN
30,14661,1,0,NaN,1,NaN,0.798828125,NaN
31,15070,1,0,NaN,1,NaN,0.80078125,NaN
32,15480,1,0,NaN,1,NaN,0.798828125,NaN
33,15889,1,0,NaN,0,NaN,0.80078125,1.205078125
