TrialN,Sample,BlockN,StimType,rawRT,corrNT,corrTG,ITI,RT
1,2952,1,0,NaN,1,NaN,0.798828125,NaN
2,3361,1,0,NaN,1,NaN,0.80078125,NaN
3,3771,1,0,NaN,1,NaN,0.798828125,NaN
4,4180,1,0,NaN,1,NaN,0.80078125,NaN
5,4590,1,0,NaN,1,NaN,0.798828125,NaN
6,4999,1,0,NaN,1,NaN,0.80078125,NaN
7,5409,1,0,NaN,1,NaN,0.798828125,NaN
8,5818,1,0,NaN,1,NaN,0.80078125,NaN
9,6228,1,0,NaN,1,NaN,0.80078125,NaN
10,6638,1,0,NaN,1,NaN,0.798828125,NaN
11,7047,1,0,NaN,1,NaN,0.80078125,NaN
12,7457,1,1,NaN,NaN,1,1.119140625,1.234375
13,8030,1,0,0.115234375,1,NaN,0.80078125,NaN
14,8440,1,0,NaN,0,NaN,0.798828125,1.5546875
15,8849,1,0,0.755859375,1,NaN,0.80078125,NaN
16,9259,1,0,NaN,1,NaN,0.798828125,NaN
17,9668,1,0,NaN,1,NaN,0.80078125,NaN
18,10078,1,0,NaN,1,NaN,0.798828125,NaN
19,10487,1,0,NaN,1,NaN,0.80078125,NaN
20,10897,1,0,NaN,1,NaN,0.80078125,NaN
21,11307,1,0,NaN,1,NaN,0.798828125,NaN
22,11716,1,0,NaN,1,NaN,0.80078125,NaN
23,12126,1,0,NaN,1,NaN,0.798828125,NaN
24,12535,1,0,NaN,1,NaN,0.80078125,NaN
25,12945,1,1,NaN,NaN,0,1.119140625,NaN
26,13518,1,0,NaN,1,NaN,0.80078125,NaN
27,13928,1,0,NaN,1,NaN,0.798828125,NaN
28,14337,1,0,NaN,1,NaN,0.80078125,NaN
29,14747,1,0,NaN,1,NaN,0.80078125,NaN
30,15157,1,0,NaN,1,NaN,0.798828125,NaN
31,15566,1,0,NaN,1,NaN,0.80078125,NaN
32,15976,1,0,NaN,1,NaN,0.798828125,NaN
33,16385,1,0,NaN,0,NaN,0.80078125,0.8359375
34,16795,1,0,0.03515625,1,NaN,0.798828125,NaN
35,17204,1,0,NaN,1,NaN,0.80078125,NaN
36,17614,1,1,NaN,NaN,0,1.119140625,NaN
37,18187,1,0,NaN,1,NaN,0.80078125,NaN
38,18597,1,0,NaN,1,NaN,0.80078125,NaN
39,19007,1,0,NaN,1,NaN,0.798828125,NaN
40,19416,1,0,NaN,1,NaN,0.80078125,NaN
41,19826,1,0,NaN,1,NaN,0.798828125,NaN
42,20235,1,0,NaN,1,NaN,0.80078125,NaN
43,20645,1,0,NaN,1,NaN,0.80078125,NaN
44,21055,1,1,NaN,NaN,0,1.119140625,NaN
45,21628,1,0,NaN,1,NaN,0.798828125,NaN
46,22037,1,0,NaN,1,NaN,0.80078125,NaN
47,22447,1,0,NaN,1,NaN,0.798828125,NaN
48,22856,1,0,NaN,1,NaN,0.80078125,NaN
49,23266,1,0,NaN,1,NaN,0.80078125,NaN
50,23676,1,0,NaN,1,NaN,0.798828125,NaN
51,24085,1,0,NaN,1,NaN,0.80078125,NaN
52,24495,1,0,NaN,1,NaN,0.798828125,NaN
53,24904,1,0,NaN,1,NaN,0.80078125,NaN
54,25314,1,0,NaN,1,NaN,0.80078125,NaN
55,25724,1,1,NaN,NaN,1,1.119140625,1.474609375
56,26297,1,0,0.35546875,1,NaN,0.798828125,NaN
57,26706,1,0,NaN,1,NaN,0.80078125,NaN
58,27116,1,0,NaN,1,NaN,0.798828125,NaN
59,27525,1,0,NaN,1,NaN,0.80078125,NaN
60,27935,1,0,NaN,1,NaN,0.80078125,NaN
61,28345,1,0,NaN,1,NaN,0.798828125,NaN
62,28754,1,1,NaN,NaN,1,1.12109375,1.1640625
63,29328,1,0,0.04296875,1,NaN,0.798828125,NaN
64,29737,1,0,NaN,1,NaN,0.80078125,NaN
