TrialN,Sample,BlockN,StimType,rawRT,corrNT,corrTG,ITI,RT
1,2961,1,0,NaN,1,NaN,0.798828125,NaN
2,3370,1,0,NaN,1,NaN,0.80078125,NaN
3,3780,1,0,NaN,1,NaN,0.798828125,NaN
4,4189,1,0,NaN,1,NaN,0.80078125,NaN
5,4599,1,0,NaN,1,NaN,0.798828125,NaN
6,5008,1,0,NaN,1,NaN,0.80078125,NaN
7,5418,1,0,NaN,1,NaN,0.798828125,NaN
8,5827,1,0,NaN,1,NaN,0.80078125,NaN
9,6237,1,0,NaN,1,NaN,0.80078125,NaN
10,6647,1,0,NaN,1,NaN,0.798828125,NaN
11,7056,1,0,NaN,1,NaN,0.80078125,NaN
12,7466,1,0,NaN,1,NaN,0.798828125,NaN
13,7875,1,0,NaN,1,NaN,0.80078125,NaN
14,8285,1,0,NaN,1,NaN,0.798828125,NaN
15,8694,1,1,NaN,NaN,1,1.12109375,1.796875
16,9268,1,0,0.67578125,1,NaN,0.798828125,NaN
17,9677,1,0,NaN,1,NaN,0.80078125,NaN
18,10087,1,0,NaN,1,NaN,0.80078125,NaN
19,10497,1,0,NaN,1,NaN,0.798828125,NaN
20,10906,1,0,NaN,1,NaN,0.80078125,NaN
21,11316,1,0,NaN,1,NaN,0.798828125,NaN
22,11725,1,0,NaN,1,NaN,0.80078125,NaN
23,12135,1,0,NaN,1,NaN,0.798828125,NaN
24,12544,1,0,NaN,1,NaN,0.80078125,NaN
25,12954,1,0,NaN,1,NaN,0.798828125,NaN
26,13363,1,0,NaN,1,NaN,0.80078125,NaN
27,13773,1,1,NaN,NaN,0,1.119140625,NaN
28,14346,1,0,NaN,1,NaN,0.80078125,NaN
29,14756,1,0,NaN,1,NaN,0.80078125,NaN
30,15166,1,0,NaN,1,NaN,0.798828125,NaN
31,15575,1,0,NaN,1,NaN,0.80078125,NaN
32,15985,1,0,NaN,0,NaN,0.798828125,0.99609375
33,16394,1,0,0.197265625,1,NaN,0.80078125,NaN
34,16804,1,1,NaN,NaN,0,1.119140625,NaN
35,17377,1,0,NaN,1,NaN,0.80078125,NaN
36,17787,1,0,NaN,1,NaN,0.798828125,NaN
37,18196,1,0,NaN,1,NaN,0.80078125,NaN
38,18606,1,0,NaN,1,NaN,0.798828125,NaN
39,19015,1,0,NaN,1,NaN,0.80078125,NaN
40,19425,1,0,NaN,1,NaN,0.80078125,NaN
41,19835,1,1,NaN,NaN,1,1.119140625,1.548828125
42,20408,1,0,0.4296875,1,NaN,0.80078125,NaN
43,20818,1,0,NaN,1,NaN,0.798828125,NaN
44,21227,1,0,NaN,1,NaN,0.80078125,NaN
45,21637,1,0,NaN,1,NaN,0.80078125,NaN
46,22047,1,0,NaN,1,NaN,0.798828125,NaN
47,22456,1,0,NaN,1,NaN,0.80078125,NaN
48,22866,1,0,NaN,1,NaN,0.798828125,NaN
49,23275,1,0,NaN,1,NaN,0.798828125,NaN
50,23684,1,0,NaN,1,NaN,0.80078125,NaN
51,24094,1,0,NaN,1,NaN,0.80078125,NaN
52,24504,1,0,NaN,1,NaN,0.798828125,NaN
53,24913,1,0,NaN,1,NaN,0.80078125,NaN
54,25323,1,0,NaN,0,NaN,0.798828125,0.931640625
55,25732,1,1,0.1328125,NaN,0,1.12109375,NaN
56,26306,1,0,NaN,1,NaN,0.80078125,NaN
57,26716,1,0,NaN,1,NaN,0.798828125,NaN
58,27125,1,0,NaN,1,NaN,0.80078125,NaN
59,27535,1,0,NaN,1,NaN,0.798828125,NaN
60,27944,1,0,NaN,1,NaN,0.80078125,NaN
61,28354,1,0,NaN,1,NaN,0.798828125,NaN
62,28763,1,0,NaN,1,NaN,0.80078125,NaN
63,29173,1,0,NaN,1,NaN,0.798828125,NaN
64,29582,1,0,NaN,1,NaN,0.80078125,NaN
65,29992,1,0,NaN,1,NaN,0.798828125,NaN
66,30401,1,0,NaN,1,NaN,0.80078125,NaN
67,30811,1,0,NaN,1,NaN,0.80078125,NaN
68,31221,1,0,NaN,1,NaN,0.798828125,NaN
69,31630,1,0,NaN,1,NaN,0.80078125,NaN
70,32040,1,1,NaN,NaN,0,1.119140625,NaN
71,32613,1,0,NaN,1,NaN,0.80078125,NaN
72,33023,1,0,NaN,1,NaN,0.798828125,NaN
73,33432,1,0,NaN,1,NaN,0.80078125,NaN
74,33842,1,0,NaN,1,NaN,0.798828125,NaN
75,34251,1,0,NaN,1,NaN,0.80078125,NaN
76,34661,1,0,NaN,1,NaN,0.80078125,NaN
77,35071,1,0,NaN,1,NaN,0.798828125,NaN
78,35480,1,0,NaN,1,NaN,0.80078125,NaN
79,35890,1,0,NaN,1,NaN,0.798828125,NaN
80,36299,1,0,NaN,1,NaN,0.80078125,NaN
81,36709,1,0,NaN,1,NaN,0.80078125,NaN
82,37119,1,0,NaN,1,NaN,0.798828125,NaN
83,37528,1,0,NaN,1,NaN,0.798828125,NaN
84,37937,1,0,NaN,1,NaN,0.80078125,NaN
85,38347,1,1,NaN,NaN,0,1.12109375,NaN
86,38921,1,0,NaN,1,NaN,0.798828125,NaN
87,39330,1,0,NaN,1,NaN,0.80078125,NaN
88,39740,1,0,NaN,1,NaN,0.798828125,NaN
89,40149,1,0,NaN,1,NaN,0.80078125,NaN
90,40559,1,0,NaN,1,NaN,0.798828125,NaN
91,40968,1,0,NaN,1,NaN,0.80078125,NaN
92,41378,1,0,NaN,1,NaN,0.798828125,NaN
93,41787,1,0,NaN,1,NaN,0.80078125,NaN
94,42197,1,0,NaN,1,NaN,0.798828125,NaN
95,42606,1,0,NaN,1,NaN,0.80078125,NaN
96,43016,1,0,NaN,1,NaN,0.80078125,NaN
97,43426,1,1,NaN,NaN,0,1.119140625,NaN
98,43999,1,0,NaN,1,NaN,0.80078125,NaN
99,44409,1,0,NaN,1,NaN,0.798828125,NaN
100,44818,1,0,NaN,1,NaN,0.80078125,NaN
101,45228,1,0,NaN,1,NaN,0.798828125,NaN
102,45637,1,0,NaN,1,NaN,0.80078125,NaN
103,46047,1,0,NaN,1,NaN,0.798828125,NaN
104,46456,1,0,NaN,1,NaN,0.80078125,NaN
105,46866,1,0,NaN,1,NaN,0.80078125,NaN
106,47276,1,0,NaN,1,NaN,0.798828125,NaN
107,47685,1,0,NaN,1,NaN,0.80078125,NaN
108,48095,1,0,NaN,1,NaN,0.798828125,NaN
109,48504,1,0,NaN,1,NaN,0.80078125,NaN
110,48914,1,1,NaN,NaN,0,1.119140625,NaN
111,49487,1,0,NaN,1,NaN,0.80078125,NaN
112,49897,1,0,NaN,1,NaN,0.798828125,NaN
113,50306,1,0,NaN,1,NaN,0.80078125,NaN
114,50716,1,0,NaN,1,NaN,0.798828125,NaN
115,51125,1,0,NaN,1,NaN,0.80078125,NaN
116,51535,1,0,NaN,1,NaN,0.80078125,NaN
117,51945,1,0,NaN,1,NaN,0.798828125,NaN
118,52354,1,0,NaN,1,NaN,0.80078125,NaN
119,52764,1,0,NaN,1,NaN,0.798828125,NaN
120,53173,1,0,NaN,1,NaN,0.80078125,NaN
121,53583,1,0,NaN,1,NaN,0.798828125,NaN
122,53992,1,0,NaN,1,NaN,0.80078125,NaN
123,54402,1,0,NaN,1,NaN,0.80078125,NaN
