TrialN,Sample,BlockN,StimType,rawRT,corrNT,corrTG,ITI,RT
1,6940,1,0,NaN,1,NaN,0.798828125,NaN
2,7349,1,0,NaN,1,NaN,0.80078125,NaN
3,7759,1,0,NaN,1,NaN,0.80078125,NaN
4,8169,1,0,NaN,1,NaN,0.798828125,NaN
5,8578,1,0,NaN,1,NaN,0.80078125,NaN
6,8988,1,0,NaN,1,NaN,0.798828125,NaN
7,9397,1,0,NaN,1,NaN,0.80078125,NaN
8,9807,1,0,NaN,1,NaN,0.798828125,NaN
9,10216,1,1,NaN,NaN,1,1.12109375,1.17578125
10,10790,1,0,0.0546875,1,NaN,0.798828125,NaN
11,11199,1,0,NaN,1,NaN,0.80078125,NaN
12,11609,1,0,NaN,1,NaN,0.80078125,NaN
13,12019,1,0,NaN,1,NaN,0.798828125,NaN
14,12428,1,0,NaN,1,NaN,0.80078125,NaN
15,12838,1,0,NaN,1,NaN,0.798828125,NaN
16,13247,1,0,NaN,1,NaN,0.80078125,NaN
17,13657,1,0,NaN,1,NaN,0.798828125,NaN
18,14066,1,0,NaN,1,NaN,0.80078125,NaN
19,14476,1,1,NaN,NaN,1,1.119140625,1.294921875
20,15049,1,0,0.17578125,1,NaN,0.80078125,NaN
21,15459,1,0,NaN,1,NaN,0.798828125,NaN
22,15868,1,0,NaN,1,NaN,0.80078125,NaN
23,16278,1,0,NaN,1,NaN,0.80078125,NaN
24,16688,1,0,NaN,1,NaN,0.798828125,NaN
25,17097,1,0,NaN,1,NaN,0.80078125,NaN
26,17507,1,0,NaN,1,NaN,0.80078125,NaN
27,17917,1,0,NaN,1,NaN,0.798828125,NaN
28,18326,1,0,NaN,1,NaN,0.798828125,NaN
29,18735,1,1,NaN,NaN,1,1.12109375,1.271484375
30,19309,1,0,0.150390625,1,NaN,0.80078125,NaN
31,19719,1,0,NaN,1,NaN,0.798828125,NaN
32,20128,1,0,NaN,1,NaN,0.80078125,NaN
33,20538,1,0,NaN,1,NaN,0.798828125,NaN
34,20947,1,0,NaN,1,NaN,0.80078125,NaN
35,21357,1,0,NaN,1,NaN,0.798828125,NaN
36,21766,1,0,NaN,1,NaN,0.80078125,NaN
37,22176,1,0,NaN,1,NaN,0.798828125,NaN
38,22585,1,0,NaN,1,NaN,0.80078125,NaN
39,22995,1,0,NaN,1,NaN,0.80078125,NaN
40,23405,1,0,NaN,1,NaN,0.798828125,NaN
41,23814,1,0,NaN,1,NaN,0.80078125,NaN
42,24224,1,0,NaN,1,NaN,0.798828125,NaN
43,24633,1,1,NaN,NaN,1,1.12109375,1.19140625
44,25207,1,0,0.0703125,1,NaN,0.798828125,NaN
45,25616,1,0,NaN,1,NaN,0.80078125,NaN
46,26026,1,0,NaN,1,NaN,0.798828125,NaN
47,26435,1,0,NaN,1,NaN,0.80078125,NaN
48,26845,1,0,NaN,0,NaN,0.798828125,0.853515625
49,27254,1,0,0.0546875,1,NaN,0.80078125,NaN
50,27664,1,0,NaN,1,NaN,0.80078125,NaN
51,28074,1,0,NaN,1,NaN,0.798828125,NaN
52,28483,1,1,NaN,NaN,0,1.119140625,NaN
53,29056,1,0,NaN,1,NaN,0.80078125,NaN
54,29466,1,0,NaN,1,NaN,0.80078125,NaN
55,29876,1,0,NaN,1,NaN,0.798828125,NaN
56,30285,1,0,NaN,1,NaN,0.80078125,NaN
57,30695,1,0,NaN,1,NaN,0.80078125,NaN
58,31105,1,0,NaN,1,NaN,0.798828125,NaN
59,31514,1,0,NaN,1,NaN,0.798828125,NaN
60,31923,1,0,NaN,0,NaN,0.80078125,1.0703125
61,32333,1,0,0.26953125,1,NaN,0.80078125,NaN
62,32743,1,0,NaN,1,NaN,0.798828125,NaN
63,33152,1,0,NaN,1,NaN,0.80078125,NaN
64,33562,1,1,NaN,NaN,0,1.119140625,NaN
65,34135,1,0,NaN,1,NaN,0.80078125,NaN
66,34545,1,0,NaN,1,NaN,0.798828125,NaN
67,34954,1,0,NaN,1,NaN,0.80078125,NaN
68,35364,1,0,NaN,1,NaN,0.798828125,NaN
69,35773,1,0,NaN,1,NaN,0.80078125,NaN
70,36183,1,0,NaN,1,NaN,0.80078125,NaN
71,36593,1,0,NaN,1,NaN,0.798828125,NaN
72,37002,1,0,NaN,1,NaN,0.80078125,NaN
73,37412,1,0,NaN,1,NaN,0.798828125,NaN
74,37821,1,0,NaN,0,NaN,0.80078125,1.517578125
75,38231,1,0,0.716796875,1,NaN,0.798828125,NaN
76,38640,1,0,NaN,1,NaN,0.80078125,NaN
77,39050,1,1,NaN,NaN,0,1.12109375,NaN
78,39624,1,0,NaN,1,NaN,0.798828125,NaN
79,40033,1,0,NaN,1,NaN,0.80078125,NaN
80,40443,1,0,NaN,1,NaN,0.798828125,NaN
81,40852,1,0,NaN,1,NaN,0.80078125,NaN
82,41262,1,0,NaN,1,NaN,0.798828125,NaN
83,41671,1,0,NaN,1,NaN,0.80078125,NaN
84,42081,1,0,NaN,1,NaN,0.798828125,NaN
85,42490,1,0,NaN,1,NaN,0.80078125,NaN
86,42900,1,0,NaN,1,NaN,0.798828125,NaN
87,43309,1,0,NaN,1,NaN,0.80078125,NaN
88,43719,1,0,NaN,1,NaN,0.80078125,NaN
89,44129,1,0,NaN,1,NaN,0.798828125,NaN
90,44538,1,1,NaN,NaN,1,1.119140625,1.501953125
91,45111,1,0,0.3828125,1,NaN,0.80078125,NaN
92,45521,1,0,NaN,1,NaN,0.80078125,NaN
93,45931,1,0,NaN,1,NaN,0.798828125,NaN
94,46340,1,0,NaN,1,NaN,0.80078125,NaN
95,46750,1,0,NaN,1,NaN,0.80078125,NaN
96,47160,1,0,NaN,1,NaN,0.798828125,NaN
97,47569,1,1,NaN,NaN,1,1.12109375,1.294921875
98,48143,1,0,0.173828125,1,NaN,0.798828125,NaN
99,48552,1,0,NaN,1,NaN,0.798828125,NaN
100,48961,1,0,NaN,1,NaN,0.80078125,NaN
101,49371,1,0,NaN,1,NaN,0.80078125,NaN
102,49781,1,0,NaN,1,NaN,0.798828125,NaN
103,50190,1,0,NaN,1,NaN,0.80078125,NaN
104,50600,1,0,NaN,1,NaN,0.798828125,NaN
105,51009,1,0,NaN,1,NaN,0.80078125,NaN
106,51419,1,1,NaN,NaN,0,1.119140625,NaN
107,51992,1,0,NaN,1,NaN,0.80078125,NaN
108,52402,1,0,NaN,1,NaN,0.798828125,NaN
109,52811,1,0,NaN,1,NaN,0.80078125,NaN
110,53221,1,0,NaN,1,NaN,0.798828125,NaN
111,53630,1,0,NaN,1,NaN,0.80078125,NaN
112,54040,1,0,NaN,1,NaN,0.80078125,NaN
113,54450,1,0,NaN,1,NaN,0.798828125,NaN
114,54859,1,0,NaN,1,NaN,0.80078125,NaN
115,55269,1,1,NaN,NaN,0,1.119140625,NaN
116,55842,1,0,NaN,1,NaN,0.80078125,NaN
117,56252,1,0,NaN,1,NaN,0.798828125,NaN
118,56661,1,0,NaN,1,NaN,0.80078125,NaN
119,57071,1,0,NaN,1,NaN,0.80078125,NaN
120,57481,1,0,NaN,1,NaN,0.798828125,NaN
121,57890,1,0,NaN,1,NaN,0.80078125,NaN
122,58300,1,0,NaN,1,NaN,0.798828125,NaN
123,58709,1,0,NaN,1,NaN,0.80078125,NaN
124,59119,1,0,NaN,1,NaN,0.798828125,NaN
125,59528,1,0,NaN,1,NaN,0.80078125,NaN
126,59938,1,1,NaN,NaN,1,1.119140625,1.341796875
127,60511,1,0,0.22265625,1,NaN,0.80078125,NaN
128,60921,1,0,NaN,1,NaN,0.80078125,NaN
129,61331,1,0,NaN,1,NaN,0.798828125,NaN
130,61740,1,0,NaN,1,NaN,0.798828125,NaN
131,62149,1,0,NaN,1,NaN,0.80078125,NaN
132,62559,1,0,NaN,1,NaN,0.80078125,NaN
133,62969,1,1,NaN,NaN,0,1.119140625,NaN
134,63542,1,0,NaN,0,NaN,0.80078125,0.88671875
135,63952,1,0,0.0859375,1,NaN,0.798828125,NaN
136,64361,1,0,NaN,1,NaN,0.80078125,NaN
137,64771,1,0,NaN,1,NaN,0.798828125,NaN
138,65180,1,0,NaN,1,NaN,0.80078125,NaN
139,65590,1,0,NaN,1,NaN,0.798828125,NaN
140,65999,1,0,NaN,1,NaN,0.80078125,NaN
141,66409,1,0,NaN,1,NaN,0.80078125,NaN
142,66819,1,0,NaN,1,NaN,0.798828125,NaN
143,67228,1,0,NaN,1,NaN,0.80078125,NaN
144,67638,1,0,NaN,1,NaN,0.798828125,NaN
145,68047,1,0,NaN,1,NaN,0.80078125,NaN
146,68457,1,1,NaN,NaN,0,1.119140625,NaN
147,69030,1,0,NaN,1,NaN,0.80078125,NaN
148,69440,1,0,NaN,1,NaN,0.798828125,NaN
149,69849,1,0,NaN,1,NaN,0.80078125,NaN
150,70259,1,0,NaN,1,NaN,0.798828125,NaN
151,70668,1,0,NaN,1,NaN,0.80078125,NaN
