TrialN,Sample,BlockN,StimType,rawRT,corrNT,corrTG,ITI,RT
1,2317,1,0,NaN,1,NaN,0.798828125,NaN
2,2726,1,0,NaN,1,NaN,0.80078125,NaN
3,3136,1,0,NaN,1,NaN,0.798828125,NaN
4,3545,1,0,NaN,1,NaN,0.80078125,NaN
5,3955,1,0,NaN,1,NaN,0.80078125,NaN
6,4365,1,0,NaN,1,NaN,0.798828125,NaN
7,4774,1,0,NaN,1,NaN,0.798828125,NaN
8,5183,1,0,NaN,1,NaN,0.80078125,NaN
9,5593,1,0,NaN,1,NaN,0.80078125,NaN
10,6003,1,0,NaN,1,NaN,0.798828125,NaN
11,6412,1,1,NaN,NaN,1,1.12109375,1.42578125
12,6986,1,0,0.3046875,1,NaN,0.798828125,NaN
13,7395,1,0,NaN,1,NaN,0.80078125,NaN
14,7805,1,0,NaN,1,NaN,0.798828125,NaN
15,8214,1,0,NaN,1,NaN,0.80078125,NaN
16,8624,1,0,NaN,1,NaN,0.798828125,NaN
17,9033,1,0,NaN,1,NaN,0.80078125,NaN
18,9443,1,0,NaN,1,NaN,0.798828125,NaN
19,9852,1,0,NaN,1,NaN,0.80078125,NaN
20,10262,1,0,NaN,1,NaN,0.80078125,NaN
21,10672,1,0,NaN,1,NaN,0.798828125,NaN
22,11081,1,0,NaN,1,NaN,0.80078125,NaN
23,11491,1,1,NaN,NaN,1,1.119140625,1.44921875
24,12064,1,0,0.330078125,1,NaN,0.80078125,NaN
25,12474,1,0,NaN,1,NaN,0.798828125,NaN
26,12883,1,0,NaN,1,NaN,0.80078125,NaN
27,13293,1,0,NaN,1,NaN,0.798828125,NaN
28,13702,1,0,NaN,1,NaN,0.80078125,NaN
29,14112,1,0,NaN,1,NaN,0.80078125,NaN
30,14522,1,0,NaN,1,NaN,0.798828125,NaN
31,14931,1,0,NaN,1,NaN,0.80078125,NaN
32,15341,1,1,NaN,NaN,0,1.119140625,NaN
33,15914,1,0,NaN,1,NaN,0.80078125,NaN
34,16324,1,0,NaN,1,NaN,0.798828125,NaN
35,16733,1,0,NaN,1,NaN,0.80078125,NaN
36,17143,1,0,NaN,1,NaN,0.798828125,NaN
