TrialN,Sample,BlockN,StimType,rawRT,corrNT,corrTG,ITI,RT
1,3166,1,0,NaN,1,NaN,0.798828125,NaN
2,3575,1,0,NaN,1,NaN,0.798828125,NaN
3,3984,1,0,NaN,1,NaN,0.80078125,NaN
4,4394,1,0,NaN,1,NaN,0.80078125,NaN
5,4804,1,0,NaN,1,NaN,0.798828125,NaN
6,5213,1,0,NaN,1,NaN,0.80078125,NaN
7,5623,1,0,NaN,1,NaN,0.798828125,NaN
8,6032,1,0,NaN,1,NaN,0.80078125,NaN
9,6442,1,0,NaN,1,NaN,0.798828125,NaN
10,6851,1,0,NaN,1,NaN,0.80078125,NaN
11,7261,1,0,NaN,1,NaN,0.798828125,NaN
12,7670,1,0,NaN,1,NaN,0.80078125,NaN
13,8080,1,0,NaN,1,NaN,0.80078125,NaN
14,8490,1,0,NaN,1,NaN,0.798828125,NaN
15,8899,1,0,NaN,1,NaN,0.80078125,NaN
16,9309,1,1,NaN,NaN,1,1.119140625,1.177734375
17,9882,1,0,0.05859375,1,NaN,0.80078125,NaN
18,10292,1,0,NaN,1,NaN,0.80078125,NaN
19,10702,1,0,NaN,1,NaN,0.798828125,NaN
20,11111,1,0,NaN,1,NaN,0.798828125,NaN
21,11520,1,0,NaN,1,NaN,0.80078125,NaN
22,11930,1,0,NaN,1,NaN,0.80078125,NaN
23,12340,1,0,NaN,1,NaN,0.798828125,NaN
24,12749,1,1,NaN,NaN,1,1.12109375,1.283203125
25,13323,1,0,0.162109375,1,NaN,0.798828125,NaN
26,13732,1,0,NaN,1,NaN,0.80078125,NaN
27,14142,1,0,NaN,1,NaN,0.798828125,NaN
28,14551,1,0,NaN,1,NaN,0.80078125,NaN
29,14961,1,0,NaN,1,NaN,0.798828125,NaN
30,15370,1,0,NaN,1,NaN,0.80078125,NaN
31,15780,1,0,NaN,1,NaN,0.798828125,NaN
32,16189,1,0,NaN,1,NaN,0.80078125,NaN
33,16599,1,0,NaN,0,NaN,0.80078125,1.06640625
34,17009,1,0,0.265625,1,NaN,0.798828125,NaN
35,17418,1,0,NaN,1,NaN,0.80078125,NaN
36,17828,1,0,NaN,1,NaN,0.80078125,NaN
37,18238,1,0,NaN,1,NaN,0.798828125,NaN
38,18647,1,0,NaN,1,NaN,0.798828125,NaN
39,19056,1,1,NaN,NaN,1,1.12109375,1.35546875
40,19630,1,0,0.234375,1,NaN,0.798828125,NaN
41,20039,1,0,NaN,1,NaN,0.80078125,NaN
42,20449,1,0,NaN,1,NaN,0.80078125,NaN
43,20859,1,0,NaN,1,NaN,0.798828125,NaN
44,21268,1,0,NaN,1,NaN,0.80078125,NaN
45,21678,1,0,NaN,1,NaN,0.80078125,NaN
46,22088,1,0,NaN,1,NaN,0.798828125,NaN
47,22497,1,0,NaN,1,NaN,0.798828125,NaN
48,22906,1,0,NaN,0,NaN,0.80078125,0.99609375
49,23316,1,0,0.1953125,1,NaN,0.80078125,NaN
50,23726,1,1,NaN,NaN,0,1.119140625,NaN
51,24299,1,0,NaN,1,NaN,0.80078125,NaN
52,24709,1,0,NaN,0,NaN,0.798828125,1.376953125
53,25118,1,0,0.578125,1,NaN,0.80078125,NaN
54,25528,1,0,NaN,1,NaN,0.798828125,NaN
55,25937,1,0,NaN,1,NaN,0.80078125,NaN
56,26347,1,0,NaN,0,NaN,0.798828125,1.033203125
57,26756,1,0,0.234375,1,NaN,0.80078125,NaN
58,27166,1,0,NaN,1,NaN,0.798828125,NaN
59,27575,1,0,NaN,1,NaN,0.80078125,NaN
60,27985,1,0,NaN,1,NaN,0.80078125,NaN
61,28395,1,0,NaN,1,NaN,0.798828125,NaN
62,28804,1,0,NaN,1,NaN,0.80078125,NaN
63,29214,1,0,NaN,1,NaN,0.798828125,NaN
64,29623,1,1,NaN,NaN,1,1.12109375,1.2265625
65,30197,1,0,0.10546875,1,NaN,0.80078125,NaN
66,30607,1,0,NaN,1,NaN,0.798828125,NaN
67,31016,1,0,NaN,1,NaN,0.798828125,NaN
68,31425,1,0,NaN,1,NaN,0.80078125,NaN
69,31835,1,0,NaN,1,NaN,0.80078125,NaN
70,32245,1,0,NaN,1,NaN,0.798828125,NaN
71,32654,1,0,NaN,1,NaN,0.80078125,NaN
72,33064,1,0,NaN,1,NaN,0.798828125,NaN
73,33473,1,1,NaN,NaN,1,1.12109375,1.21875
74,34047,1,0,0.09765625,1,NaN,0.798828125,NaN
75,34456,1,0,NaN,1,NaN,0.80078125,NaN
76,34866,1,0,NaN,1,NaN,0.798828125,NaN
77,35275,1,0,NaN,1,NaN,0.80078125,NaN
78,35685,1,0,NaN,1,NaN,0.798828125,NaN
79,36094,1,0,NaN,1,NaN,0.80078125,NaN
80,36504,1,0,NaN,1,NaN,0.80078125,NaN
81,36914,1,1,NaN,NaN,1,1.119140625,1.2421875
82,37487,1,0,0.123046875,1,NaN,0.80078125,NaN
83,37897,1,0,NaN,1,NaN,0.798828125,NaN
84,38306,1,0,NaN,1,NaN,0.80078125,NaN
85,38716,1,0,NaN,1,NaN,0.798828125,NaN
86,39125,1,0,NaN,1,NaN,0.80078125,NaN
87,39535,1,0,NaN,0,NaN,0.798828125,1.08203125
88,39944,1,1,0.283203125,NaN,0,1.12109375,NaN
89,40518,1,0,NaN,1,NaN,0.80078125,NaN
90,40928,1,0,NaN,0,NaN,0.798828125,1.033203125
91,41337,1,0,0.234375,1,NaN,0.798828125,NaN
92,41746,1,0,NaN,1,NaN,0.80078125,NaN
93,42156,1,0,NaN,1,NaN,0.80078125,NaN
94,42566,1,0,NaN,1,NaN,0.798828125,NaN
95,42975,1,0,NaN,1,NaN,0.80078125,NaN
96,43385,1,0,NaN,1,NaN,0.798828125,NaN
97,43794,1,0,NaN,1,NaN,0.80078125,NaN
98,44204,1,1,NaN,NaN,1,1.119140625,1.146484375
99,44777,1,0,0.02734375,1,NaN,0.80078125,NaN
100,45187,1,0,NaN,1,NaN,0.798828125,NaN
101,45596,1,0,NaN,1,NaN,0.80078125,NaN
102,46006,1,0,NaN,1,NaN,0.80078125,NaN
103,46416,1,0,NaN,1,NaN,0.798828125,NaN
104,46825,1,0,NaN,1,NaN,0.80078125,NaN
105,47235,1,0,NaN,1,NaN,0.798828125,NaN
106,47644,1,1,NaN,NaN,1,1.12109375,1.146484375
107,48218,1,0,0.025390625,1,NaN,0.798828125,NaN
108,48627,1,0,NaN,1,NaN,0.80078125,NaN
109,49037,1,0,NaN,1,NaN,0.798828125,NaN
110,49446,1,0,NaN,1,NaN,0.80078125,NaN
111,49856,1,0,NaN,1,NaN,0.798828125,NaN
112,50265,1,0,NaN,1,NaN,0.80078125,NaN
113,50675,1,0,NaN,1,NaN,0.80078125,NaN
114,51085,1,0,NaN,1,NaN,0.798828125,NaN
115,51494,1,0,NaN,1,NaN,0.80078125,NaN
116,51904,1,1,NaN,NaN,1,1.119140625,1.361328125
117,52477,1,0,0.2421875,1,NaN,0.80078125,NaN
118,52887,1,0,NaN,1,NaN,0.798828125,NaN
119,53296,1,0,NaN,1,NaN,0.80078125,NaN
120,53706,1,0,NaN,1,NaN,0.798828125,NaN
121,54115,1,0,NaN,1,NaN,0.80078125,NaN
122,54525,1,0,NaN,1,NaN,0.80078125,NaN
123,54935,1,0,NaN,1,NaN,0.798828125,NaN
124,55344,1,0,NaN,1,NaN,0.80078125,NaN
125,55754,1,0,NaN,1,NaN,0.798828125,NaN
126,56163,1,1,NaN,NaN,1,1.12109375,1.490234375
127,56737,1,0,0.369140625,1,NaN,0.798828125,NaN
128,57146,1,0,NaN,1,NaN,0.80078125,NaN
129,57556,1,0,NaN,1,NaN,0.80078125,NaN
130,57966,1,0,NaN,1,NaN,0.798828125,NaN
131,58375,1,0,NaN,1,NaN,0.80078125,NaN
132,58785,1,0,NaN,1,NaN,0.798828125,NaN
133,59194,1,0,NaN,1,NaN,0.80078125,NaN
134,59604,1,0,NaN,0,NaN,0.798828125,1.39453125
135,60013,1,0,0.595703125,1,NaN,0.80078125,NaN
136,60423,1,0,NaN,1,NaN,0.798828125,NaN
137,60832,1,0,NaN,1,NaN,0.80078125,NaN
138,61242,1,1,NaN,NaN,0,1.119140625,NaN
139,61815,1,0,NaN,1,NaN,0.80078125,NaN
140,62225,1,0,NaN,1,NaN,0.798828125,NaN
141,62634,1,0,NaN,1,NaN,0.80078125,NaN
142,63044,1,0,NaN,1,NaN,0.80078125,NaN
143,63454,1,0,NaN,1,NaN,0.798828125,NaN
144,63863,1,0,NaN,1,NaN,0.80078125,NaN
145,64273,1,0,NaN,1,NaN,0.798828125,NaN
146,64682,1,1,NaN,NaN,1,1.12109375,1.259765625
147,65256,1,0,0.138671875,1,NaN,0.798828125,NaN
148,65665,1,0,NaN,1,NaN,0.80078125,NaN
149,66075,1,0,NaN,1,NaN,0.798828125,NaN
150,66484,1,0,NaN,1,NaN,0.80078125,NaN
151,66894,1,0,NaN,1,NaN,0.798828125,NaN
152,67303,1,0,NaN,1,NaN,0.80078125,NaN
153,67713,1,0,NaN,1,NaN,0.80078125,NaN
154,68123,1,0,NaN,1,NaN,0.798828125,NaN
155,68532,1,0,NaN,1,NaN,0.80078125,NaN
156,68942,1,0,NaN,1,NaN,0.798828125,NaN
157,69351,1,0,NaN,1,NaN,0.80078125,NaN
158,69761,1,1,NaN,NaN,1,1.12109375,1.322265625
