TrialN,Sample,BlockN,StimType,rawRT,corrNT,corrTG,ITI,RT
1,2733,1,0,NaN,1,NaN,0.80078125,NaN
2,3143,1,0,NaN,1,NaN,0.798828125,NaN
3,3552,1,0,NaN,1,NaN,0.80078125,NaN
4,3962,1,0,NaN,1,NaN,0.80078125,NaN
5,4372,1,0,NaN,1,NaN,0.798828125,NaN
6,4781,1,0,NaN,1,NaN,0.80078125,NaN
7,5191,1,0,NaN,1,NaN,0.826171875,NaN
8,5614,1,0,NaN,1,NaN,0.80078125,NaN
9,6024,1,0,NaN,1,NaN,0.798828125,NaN
10,6433,1,0,NaN,1,NaN,0.798828125,NaN
11,6842,1,0,NaN,1,NaN,0.80078125,NaN
12,7252,1,0,NaN,1,NaN,0.80078125,NaN
13,7662,1,0,NaN,1,NaN,0.798828125,NaN
14,8071,1,0,NaN,1,NaN,0.80078125,NaN
15,8481,1,1,NaN,NaN,1,1.119140625,1.171875
16,9054,1,0,0.052734375,1,NaN,0.80078125,NaN
17,9464,1,0,NaN,1,NaN,0.80078125,NaN
18,9874,1,0,NaN,1,NaN,0.798828125,NaN
19,10283,1,0,NaN,1,NaN,0.798828125,NaN
20,10692,1,0,NaN,1,NaN,0.80078125,NaN
21,11102,1,0,NaN,1,NaN,0.798828125,NaN
22,11511,1,0,NaN,1,NaN,0.80078125,NaN
23,11921,1,0,NaN,1,NaN,0.80078125,NaN
24,12331,1,1,NaN,NaN,1,1.119140625,1.146484375
25,12904,1,0,0.02734375,1,NaN,0.80078125,NaN
26,13314,1,0,NaN,1,NaN,0.798828125,NaN
27,13723,1,0,NaN,1,NaN,0.80078125,NaN
28,14133,1,0,NaN,1,NaN,0.8125,NaN
29,14549,1,0,NaN,1,NaN,0.80078125,NaN
30,14959,1,0,NaN,1,NaN,0.80078125,NaN
31,15369,1,0,NaN,1,NaN,0.798828125,NaN
32,15778,1,0,NaN,1,NaN,0.798828125,NaN
33,16187,1,0,NaN,1,NaN,0.814453125,NaN
34,16604,1,1,NaN,NaN,1,1.119140625,1.13671875
35,17177,1,0,0.017578125,1,NaN,0.80078125,NaN
36,17587,1,0,NaN,1,NaN,0.798828125,NaN
37,17996,1,0,NaN,1,NaN,0.80078125,NaN
38,18406,1,0,NaN,1,NaN,0.798828125,NaN
39,18815,1,0,NaN,1,NaN,0.80078125,NaN
40,19225,1,0,NaN,1,NaN,0.80078125,NaN
41,19635,1,0,NaN,1,NaN,0.798828125,NaN
42,20044,1,0,NaN,1,NaN,0.80078125,NaN
43,20454,1,0,NaN,1,NaN,0.80078125,NaN
44,20864,1,0,NaN,1,NaN,0.798828125,NaN
45,21273,1,0,NaN,1,NaN,0.826171875,NaN
46,21696,1,0,NaN,1,NaN,0.80078125,NaN
47,22106,1,1,NaN,NaN,1,1.1328125,1.158203125
48,22686,1,0,0.025390625,1,NaN,0.798828125,NaN
49,23095,1,0,NaN,1,NaN,0.80078125,NaN
50,23505,1,0,NaN,1,NaN,0.80078125,NaN
51,23915,1,0,NaN,1,NaN,0.798828125,NaN
52,24324,1,0,NaN,1,NaN,0.80078125,NaN
53,24734,1,0,NaN,1,NaN,0.80078125,NaN
54,25144,1,0,NaN,1,NaN,0.798828125,NaN
55,25553,1,1,NaN,NaN,1,1.119140625,1.12890625
