TrialN,Sample,BlockN,StimType,rawRT,corrNT,corrTG,ITI,RT
1,2878,1,0,NaN,1,NaN,0.798828125,NaN
2,3287,1,0,NaN,1,NaN,0.80078125,NaN
3,3697,1,0,NaN,1,NaN,0.798828125,NaN
4,4106,1,0,NaN,1,NaN,0.80078125,NaN
5,4516,1,0,NaN,1,NaN,0.798828125,NaN
6,4925,1,0,NaN,1,NaN,0.80078125,NaN
7,5335,1,0,NaN,0,NaN,0.80078125,1.58203125
8,5745,1,0,0.78125,1,NaN,0.798828125,NaN
9,6154,1,0,NaN,1,NaN,0.80078125,NaN
10,6564,1,0,NaN,1,NaN,0.798828125,NaN
11,6973,1,1,NaN,NaN,0,1.12109375,NaN
12,7547,1,0,NaN,1,NaN,0.798828125,NaN
13,7956,1,0,NaN,1,NaN,0.80078125,NaN
14,8366,1,0,NaN,1,NaN,0.798828125,NaN
15,8775,1,0,NaN,1,NaN,0.80078125,NaN
16,9185,1,0,NaN,0,NaN,0.798828125,0.998046875
17,9594,1,0,0.19921875,1,NaN,0.80078125,NaN
18,10004,1,1,NaN,NaN,1,1.119140625,1.28515625
19,10577,1,0,0.166015625,1,NaN,0.80078125,NaN
20,10987,1,0,NaN,1,NaN,0.798828125,NaN
21,11396,1,0,NaN,1,NaN,0.80078125,NaN
22,11806,1,0,NaN,1,NaN,0.80078125,NaN
23,12216,1,0,NaN,1,NaN,0.798828125,NaN
24,12625,1,0,NaN,1,NaN,0.80078125,NaN
25,13035,1,0,NaN,1,NaN,0.798828125,NaN
26,13444,1,0,NaN,1,NaN,0.80078125,NaN
27,13854,1,0,NaN,1,NaN,0.798828125,NaN
28,14263,1,0,NaN,1,NaN,0.80078125,NaN
29,14673,1,0,NaN,1,NaN,0.80078125,NaN
30,15083,1,0,NaN,1,NaN,0.798828125,NaN
31,15492,1,0,NaN,1,NaN,0.80078125,NaN
32,15902,1,0,NaN,1,NaN,0.798828125,NaN
33,16311,1,1,NaN,NaN,1,1.12109375,1.357421875
34,16885,1,0,0.236328125,1,NaN,0.798828125,NaN
35,17294,1,0,NaN,1,NaN,0.80078125,NaN
36,17704,1,0,NaN,1,NaN,0.798828125,NaN
37,18113,1,0,NaN,1,NaN,0.80078125,NaN
38,18523,1,0,NaN,1,NaN,0.80078125,NaN
39,18933,1,0,NaN,1,NaN,0.798828125,NaN
40,19342,1,0,NaN,1,NaN,0.80078125,NaN
41,19752,1,0,NaN,1,NaN,0.798828125,NaN
42,20161,1,0,NaN,1,NaN,0.80078125,NaN
43,20571,1,0,NaN,1,NaN,0.798828125,NaN
44,20980,1,0,NaN,1,NaN,0.80078125,NaN
45,21390,1,1,NaN,NaN,1,1.119140625,1.326171875
46,21963,1,0,0.20703125,1,NaN,0.80078125,NaN
47,22373,1,0,NaN,1,NaN,0.798828125,NaN
48,22782,1,0,NaN,1,NaN,0.80078125,NaN
49,23192,1,0,NaN,1,NaN,0.80078125,NaN
50,23602,1,0,NaN,1,NaN,0.798828125,NaN
51,24011,1,0,NaN,1,NaN,0.80078125,NaN
52,24421,1,0,NaN,1,NaN,0.798828125,NaN
53,24830,1,0,NaN,1,NaN,0.80078125,NaN
54,25240,1,0,NaN,1,NaN,0.80078125,NaN
55,25650,1,0,NaN,1,NaN,0.798828125,NaN
56,26059,1,0,NaN,1,NaN,0.80078125,NaN
57,26469,1,0,NaN,0,NaN,0.798828125,0.98828125
58,26878,1,0,0.189453125,1,NaN,0.80078125,NaN
59,27288,1,1,NaN,NaN,1,1.119140625,1.212890625
60,27861,1,0,0.09375,1,NaN,0.80078125,NaN
