TrialN,Sample,BlockN,StimType,rawRT,corrNT,corrTG,ITI,RT
1,1570,1,0,NaN,1,NaN,0.798828125,NaN
2,1979,1,0,NaN,1,NaN,0.80078125,NaN
3,2389,1,0,NaN,1,NaN,0.80078125,NaN
4,2799,1,0,NaN,1,NaN,0.798828125,NaN
5,3208,1,0,NaN,1,NaN,0.80078125,NaN
6,3618,1,0,NaN,1,NaN,0.798828125,NaN
7,4027,1,0,NaN,1,NaN,0.80078125,NaN
8,4437,1,0,NaN,1,NaN,0.798828125,NaN
9,4846,1,0,NaN,1,NaN,0.80078125,NaN
10,5256,1,0,NaN,1,NaN,0.798828125,NaN
11,5665,1,0,NaN,1,NaN,0.80078125,NaN
12,6075,1,0,NaN,1,NaN,0.798828125,NaN
13,6484,1,0,NaN,1,NaN,0.80078125,NaN
14,6894,1,1,NaN,NaN,0,1.12109375,NaN
15,7468,1,0,NaN,1,NaN,0.798828125,NaN
16,7877,1,0,NaN,1,NaN,0.80078125,NaN
17,8287,1,0,NaN,1,NaN,0.798828125,NaN
18,8696,1,0,NaN,1,NaN,0.80078125,NaN
19,9106,1,0,NaN,1,NaN,0.798828125,NaN
20,9515,1,0,NaN,1,NaN,0.80078125,NaN
21,9925,1,1,NaN,NaN,1,1.119140625,1.181640625
22,10498,1,0,0.0625,1,NaN,0.80078125,NaN
23,10908,1,0,NaN,1,NaN,0.80078125,NaN
24,11318,1,0,NaN,1,NaN,0.798828125,NaN
25,11727,1,0,NaN,1,NaN,0.798828125,NaN
26,12136,1,0,NaN,1,NaN,0.80078125,NaN
27,12546,1,0,NaN,1,NaN,0.80078125,NaN
28,12956,1,0,NaN,1,NaN,0.798828125,NaN
29,13365,1,0,NaN,1,NaN,0.80078125,NaN
30,13775,1,1,NaN,NaN,0,1.119140625,NaN
31,14348,1,0,NaN,1,NaN,0.80078125,NaN
32,14758,1,0,NaN,1,NaN,0.798828125,NaN
33,15167,1,0,NaN,1,NaN,0.80078125,NaN
34,15577,1,0,NaN,1,NaN,0.798828125,NaN
35,15986,1,0,NaN,1,NaN,0.80078125,NaN
36,16396,1,0,NaN,1,NaN,0.80078125,NaN
37,16806,1,0,NaN,1,NaN,0.798828125,NaN
38,17215,1,0,NaN,1,NaN,0.80078125,NaN
39,17625,1,1,NaN,NaN,0,1.119140625,NaN
40,18198,1,0,NaN,1,NaN,0.80078125,NaN
41,18608,1,0,NaN,1,NaN,0.798828125,NaN
42,19017,1,0,NaN,1,NaN,0.80078125,NaN
43,19427,1,0,NaN,1,NaN,0.798828125,NaN
44,19836,1,0,NaN,1,NaN,0.80078125,NaN
45,20246,1,0,NaN,1,NaN,0.798828125,NaN
46,20655,1,1,NaN,NaN,1,1.12109375,2.015625
47,21229,1,0,NaN,1,NaN,0.798828125,NaN
48,21638,1,0,0.095703125,1,NaN,0.80078125,NaN
49,22048,1,0,NaN,1,NaN,0.80078125,NaN
50,22458,1,0,NaN,1,NaN,0.798828125,NaN
51,22867,1,0,NaN,1,NaN,0.80078125,NaN
52,23277,1,0,NaN,1,NaN,0.80078125,NaN
53,23687,1,0,NaN,1,NaN,0.798828125,NaN
54,24096,1,0,NaN,1,NaN,0.80078125,NaN
55,24506,1,1,NaN,NaN,0,1.119140625,NaN
56,25079,1,0,NaN,1,NaN,0.798828125,NaN
57,25488,1,0,NaN,1,NaN,0.80078125,NaN
58,25898,1,0,NaN,1,NaN,0.798828125,NaN
59,26307,1,0,NaN,1,NaN,0.80078125,NaN
60,26717,1,0,NaN,1,NaN,0.80078125,NaN
61,27127,1,0,NaN,1,NaN,0.798828125,NaN
62,27536,1,0,NaN,1,NaN,0.80078125,NaN
63,27946,1,0,NaN,1,NaN,0.798828125,NaN
64,28355,1,0,NaN,1,NaN,0.80078125,NaN
65,28765,1,0,NaN,1,NaN,0.798828125,NaN
66,29174,1,0,NaN,1,NaN,0.80078125,NaN
67,29584,1,0,NaN,1,NaN,0.80078125,NaN
68,29994,1,1,NaN,NaN,0,1.119140625,NaN
69,30567,1,0,NaN,1,NaN,0.80078125,NaN
70,30977,1,0,NaN,1,NaN,0.798828125,NaN
71,31386,1,0,NaN,1,NaN,0.80078125,NaN
72,31796,1,0,NaN,1,NaN,0.798828125,NaN
73,32205,1,0,NaN,1,NaN,0.80078125,NaN
74,32615,1,0,NaN,1,NaN,0.798828125,NaN
75,33024,1,0,NaN,1,NaN,0.80078125,NaN
76,33434,1,0,NaN,1,NaN,0.80078125,NaN
