TrialN,Sample,BlockN,StimType,rawRT,corrNT,corrTG,ITI,RT
1,2332,1,0,NaN,1,NaN,0.798828125,NaN
2,2741,1,0,NaN,1,NaN,0.80078125,NaN
3,3151,1,0,NaN,1,NaN,0.80078125,NaN
4,3561,1,0,NaN,1,NaN,0.798828125,NaN
5,3970,1,0,NaN,1,NaN,0.80078125,NaN
6,4380,1,0,NaN,1,NaN,0.80078125,NaN
7,4790,1,0,NaN,1,NaN,0.798828125,NaN
8,5199,1,0,NaN,1,NaN,0.80078125,NaN
9,5609,1,0,NaN,1,NaN,0.798828125,NaN
10,6018,1,1,NaN,NaN,1,1.119140625,1.2421875
11,6591,1,0,0.123046875,1,NaN,0.80078125,NaN
12,7001,1,0,NaN,1,NaN,0.80078125,NaN
13,7411,1,0,NaN,1,NaN,0.798828125,NaN
14,7820,1,0,NaN,1,NaN,0.80078125,NaN
15,8230,1,0,NaN,1,NaN,0.798828125,NaN
16,8639,1,0,NaN,1,NaN,0.80078125,NaN
17,9049,1,0,NaN,1,NaN,0.80078125,NaN
18,9459,1,0,NaN,1,NaN,0.798828125,NaN
19,9868,1,1,NaN,NaN,1,1.12109375,1.296875
20,10442,1,0,0.17578125,1,NaN,0.798828125,NaN
21,10851,1,0,NaN,1,NaN,0.80078125,NaN
22,11261,1,0,NaN,1,NaN,0.798828125,NaN
23,11670,1,0,NaN,1,NaN,0.80078125,NaN
24,12080,1,0,NaN,1,NaN,0.798828125,NaN
25,12489,1,0,NaN,1,NaN,0.80078125,NaN
26,12899,1,0,NaN,1,NaN,0.798828125,NaN
27,13308,1,0,NaN,1,NaN,0.80078125,NaN
28,13718,1,0,NaN,1,NaN,0.80078125,NaN
29,14128,1,0,NaN,1,NaN,0.798828125,NaN
30,14537,1,0,NaN,1,NaN,0.798828125,NaN
31,14946,1,1,NaN,NaN,1,1.12109375,1.251953125
32,15520,1,0,0.130859375,1,NaN,0.80078125,NaN
33,15930,1,0,NaN,1,NaN,0.798828125,NaN
34,16339,1,0,NaN,1,NaN,0.80078125,NaN
35,16749,1,0,NaN,1,NaN,0.798828125,NaN
36,17158,1,0,NaN,1,NaN,0.80078125,NaN
37,17568,1,0,NaN,1,NaN,0.80078125,NaN
38,17978,1,0,NaN,1,NaN,0.798828125,NaN
39,18387,1,0,NaN,1,NaN,0.80078125,NaN
40,18797,1,0,NaN,1,NaN,0.798828125,NaN
41,19206,1,0,NaN,1,NaN,0.80078125,NaN
42,19616,1,0,NaN,1,NaN,0.798828125,NaN
43,20025,1,1,0.9375,NaN,1,1.12109375,0.9375
44,20599,1,0,NaN,1,NaN,0.798828125,NaN
45,21008,1,0,NaN,1,NaN,0.80078125,NaN
46,21418,1,0,NaN,1,NaN,0.798828125,NaN
47,21827,1,0,NaN,1,NaN,0.80078125,NaN
48,22237,1,0,NaN,1,NaN,0.80078125,NaN
49,22647,1,0,NaN,1,NaN,0.798828125,NaN
50,23056,1,0,NaN,1,NaN,0.80078125,NaN
51,23466,1,1,NaN,NaN,1,1.119140625,1.16015625
52,24039,1,0,0.041015625,1,NaN,0.798828125,NaN
53,24448,1,0,NaN,1,NaN,0.80078125,NaN
54,24858,1,0,NaN,1,NaN,0.80078125,NaN
55,25268,1,0,NaN,1,NaN,0.798828125,NaN
56,25677,1,0,NaN,1,NaN,0.80078125,NaN
57,26087,1,0,NaN,1,NaN,0.80078125,NaN
58,26497,1,0,NaN,1,NaN,0.798828125,NaN
59,26906,1,0,NaN,1,NaN,0.80078125,NaN
60,27316,1,0,NaN,1,NaN,0.798828125,NaN
61,27725,1,0,NaN,1,NaN,0.80078125,NaN
62,28135,1,0,NaN,1,NaN,0.798828125,NaN
63,28544,1,0,NaN,1,NaN,0.80078125,NaN
64,28954,1,0,NaN,1,NaN,0.80078125,NaN
65,29364,1,0,NaN,1,NaN,0.798828125,NaN
66,29773,1,1,1.10546875,NaN,1,1.119140625,1.10546875
67,30346,1,0,NaN,1,NaN,0.80078125,NaN
68,30756,1,0,NaN,1,NaN,0.798828125,NaN
69,31165,1,0,NaN,1,NaN,0.80078125,NaN
70,31575,1,0,NaN,1,NaN,0.798828125,NaN
71,31984,1,0,NaN,1,NaN,0.80078125,NaN
72,32394,1,0,NaN,1,NaN,0.80078125,NaN
73,32804,1,1,NaN,NaN,1,1.119140625,1.529296875
74,33377,1,0,0.41015625,1,NaN,0.80078125,NaN
75,33787,1,0,NaN,1,NaN,0.798828125,NaN
76,34196,1,0,NaN,1,NaN,0.80078125,NaN
77,34606,1,0,NaN,1,NaN,0.80078125,NaN
78,35016,1,0,NaN,1,NaN,0.798828125,NaN
79,35425,1,0,NaN,1,NaN,0.80078125,NaN
80,35835,1,0,NaN,1,NaN,0.798828125,NaN
81,36244,1,0,NaN,1,NaN,0.80078125,NaN
82,36654,1,0,NaN,1,NaN,0.798828125,NaN
83,37063,1,0,NaN,0,NaN,0.80078125,1.04296875
84,37473,1,0,0.2421875,1,NaN,0.798828125,NaN
85,37882,1,0,NaN,1,NaN,0.80078125,NaN
86,38292,1,0,NaN,1,NaN,0.80078125,NaN
87,38702,1,1,NaN,NaN,0,1.119140625,NaN
88,39275,1,0,NaN,1,NaN,0.80078125,NaN
89,39685,1,0,NaN,1,NaN,0.798828125,NaN
90,40094,1,0,NaN,1,NaN,0.798828125,NaN
91,40503,1,0,NaN,1,NaN,0.80078125,NaN
92,40913,1,0,NaN,0,NaN,0.80078125,1.08203125
93,41323,1,0,0.28125,1,NaN,0.798828125,NaN
94,41732,1,0,NaN,1,NaN,0.80078125,NaN
95,42142,1,0,NaN,1,NaN,0.80078125,NaN
96,42552,1,0,NaN,1,NaN,0.798828125,NaN
97,42961,1,0,NaN,1,NaN,0.80078125,NaN
98,43371,1,0,NaN,1,NaN,0.798828125,NaN
99,43780,1,0,NaN,1,NaN,0.80078125,NaN
100,44190,1,0,NaN,1,NaN,0.798828125,NaN
101,44599,1,0,NaN,1,NaN,0.80078125,NaN
102,45009,1,1,NaN,NaN,0,1.119140625,NaN
103,45582,1,0,NaN,1,NaN,0.80078125,NaN
104,45992,1,0,NaN,1,NaN,0.798828125,NaN
105,46401,1,0,NaN,1,NaN,0.80078125,NaN
106,46811,1,0,NaN,0,NaN,0.798828125,1.177734375
107,47220,1,0,0.37890625,1,NaN,0.80078125,NaN
108,47630,1,0,NaN,1,NaN,0.798828125,NaN
109,48039,1,0,NaN,1,NaN,0.80078125,NaN
110,48449,1,0,NaN,1,NaN,0.80078125,NaN
111,48859,1,0,NaN,1,NaN,0.798828125,NaN
112,49268,1,0,NaN,1,NaN,0.80078125,NaN
113,49678,1,1,NaN,NaN,0,1.119140625,NaN
114,50251,1,0,NaN,1,NaN,0.80078125,NaN
115,50661,1,0,NaN,1,NaN,0.80078125,NaN
116,51071,1,0,NaN,1,NaN,0.798828125,NaN
117,51480,1,0,NaN,1,NaN,0.80078125,NaN
118,51890,1,0,NaN,1,NaN,0.798828125,NaN
119,52299,1,0,NaN,1,NaN,0.80078125,NaN
120,52709,1,1,NaN,NaN,1,1.119140625,1.3203125
121,53282,1,0,0.201171875,1,NaN,0.80078125,NaN
122,53692,1,0,NaN,1,NaN,0.798828125,NaN
123,54101,1,0,NaN,1,NaN,0.80078125,NaN
124,54511,1,0,NaN,1,NaN,0.798828125,NaN
125,54920,1,0,NaN,1,NaN,0.80078125,NaN
126,55330,1,0,NaN,1,NaN,0.80078125,NaN
127,55740,1,0,NaN,1,NaN,0.798828125,NaN
128,56149,1,0,NaN,1,NaN,0.798828125,NaN
129,56558,1,0,NaN,1,NaN,0.80078125,NaN
130,56968,1,0,NaN,1,NaN,0.80078125,NaN
131,57378,1,1,NaN,NaN,1,1.119140625,1.330078125
132,57951,1,0,0.2109375,1,NaN,0.80078125,NaN
133,58361,1,0,NaN,1,NaN,0.798828125,NaN
134,58770,1,0,NaN,1,NaN,0.80078125,NaN
135,59180,1,0,NaN,1,NaN,0.798828125,NaN
136,59589,1,0,NaN,1,NaN,0.80078125,NaN
137,59999,1,0,NaN,1,NaN,0.80078125,NaN
138,60409,1,0,NaN,1,NaN,0.798828125,NaN
139,60818,1,0,NaN,1,NaN,0.798828125,NaN
140,61227,1,0,NaN,1,NaN,0.80078125,NaN
141,61637,1,0,NaN,1,NaN,0.80078125,NaN
142,62047,1,0,NaN,1,NaN,0.798828125,NaN
143,62456,1,0,NaN,1,NaN,0.80078125,NaN
144,62866,1,0,NaN,1,NaN,0.80078125,NaN
145,63276,1,1,NaN,NaN,1,1.119140625,1.400390625
146,63849,1,0,0.28125,1,NaN,0.80078125,NaN
147,64259,1,0,NaN,1,NaN,0.798828125,NaN
148,64668,1,0,NaN,1,NaN,0.80078125,NaN
149,65078,1,0,NaN,1,NaN,0.798828125,NaN
150,65487,1,0,NaN,1,NaN,0.80078125,NaN
151,65897,1,0,NaN,1,NaN,0.798828125,NaN
152,66306,1,0,NaN,1,NaN,0.80078125,NaN
153,66716,1,0,NaN,1,NaN,0.80078125,NaN
154,67126,1,1,NaN,NaN,0,1.119140625,NaN
155,67699,1,0,NaN,1,NaN,0.798828125,NaN
156,68108,1,0,NaN,1,NaN,0.80078125,NaN
157,68518,1,0,NaN,0,NaN,0.80078125,0.9375
158,68928,1,0,0.13671875,1,NaN,0.798828125,NaN
159,69337,1,0,NaN,1,NaN,0.80078125,NaN
160,69747,1,0,NaN,1,NaN,0.798828125,NaN
161,70156,1,0,NaN,1,NaN,0.80078125,NaN
162,70566,1,0,NaN,1,NaN,0.798828125,NaN
163,70975,1,1,NaN,NaN,1,1.12109375,1.498046875
164,71549,1,0,0.376953125,1,NaN,0.798828125,NaN
165,71958,1,0,NaN,1,NaN,0.80078125,NaN
166,72368,1,0,NaN,1,NaN,0.80078125,NaN
167,72778,1,0,NaN,1,NaN,0.798828125,NaN
168,73187,1,0,NaN,1,NaN,0.80078125,NaN
169,73597,1,0,NaN,1,NaN,0.798828125,NaN
170,74006,1,1,NaN,NaN,0,1.119140625,NaN
171,74579,1,0,NaN,1,NaN,0.80078125,NaN
172,74989,1,0,NaN,1,NaN,0.80078125,NaN
173,75399,1,0,NaN,1,NaN,0.798828125,NaN
174,75808,1,0,NaN,1,NaN,0.80078125,NaN
175,76218,1,0,NaN,1,NaN,0.798828125,NaN
176,76627,1,0,NaN,1,NaN,0.80078125,NaN
177,77037,1,0,NaN,1,NaN,0.798828125,NaN
178,77446,1,1,NaN,NaN,1,1.12109375,1.130859375
179,78020,1,0,0.009765625,1,NaN,0.80078125,NaN
180,78430,1,0,NaN,1,NaN,0.798828125,NaN
181,78839,1,0,NaN,1,NaN,0.80078125,NaN
182,79249,1,0,NaN,1,NaN,0.798828125,NaN
183,79658,1,0,NaN,1,NaN,0.80078125,NaN
184,80068,1,0,NaN,1,NaN,0.798828125,NaN
185,80477,1,0,NaN,1,NaN,0.80078125,NaN
186,80887,1,1,0.9140625,NaN,1,1.119140625,0.9140625
187,81460,1,0,NaN,1,NaN,0.80078125,NaN
188,81870,1,0,NaN,1,NaN,0.80078125,NaN
189,82280,1,0,NaN,1,NaN,0.798828125,NaN
190,82689,1,0,NaN,1,NaN,0.798828125,NaN
191,83098,1,0,NaN,1,NaN,0.80078125,NaN
192,83508,1,0,NaN,1,NaN,0.798828125,NaN
193,83917,1,0,NaN,1,NaN,0.80078125,NaN
194,84327,1,0,NaN,1,NaN,0.80078125,NaN
195,84737,1,0,NaN,1,NaN,0.798828125,NaN
196,85146,1,0,NaN,1,NaN,0.80078125,NaN
197,85556,1,0,NaN,1,NaN,0.80078125,NaN
198,85966,1,1,NaN,NaN,0,1.119140625,NaN
199,86539,1,0,NaN,1,NaN,0.798828125,NaN
200,86948,1,0,NaN,1,NaN,0.80078125,NaN
201,87358,1,0,NaN,1,NaN,0.798828125,NaN
202,87767,1,0,NaN,0,NaN,0.80078125,1.03515625
203,88177,1,0,0.234375,1,NaN,0.80078125,NaN
204,88587,1,0,NaN,1,NaN,0.798828125,NaN
205,88996,1,0,NaN,1,NaN,0.80078125,NaN
206,89406,1,0,NaN,1,NaN,0.80078125,NaN
207,89816,1,0,NaN,1,NaN,0.798828125,NaN
208,90225,1,0,NaN,1,NaN,0.798828125,NaN
209,90634,1,0,NaN,1,NaN,0.80078125,NaN
210,91044,1,1,NaN,NaN,0,1.12109375,NaN
211,91618,1,0,NaN,1,NaN,0.798828125,NaN
212,92027,1,0,NaN,1,NaN,0.80078125,NaN
213,92437,1,0,NaN,1,NaN,0.798828125,NaN
214,92846,1,0,NaN,0,NaN,0.80078125,1.009765625
