TrialN,Sample,BlockN,StimType,rawRT,corrNT,corrTG,ITI,RT
1,2686,1,0,NaN,1,NaN,0.798828125,NaN
2,3095,1,0,NaN,1,NaN,0.798828125,NaN
3,3504,1,0,NaN,1,NaN,0.80078125,NaN
4,3914,1,0,NaN,1,NaN,0.80078125,NaN
5,4324,1,0,NaN,1,NaN,0.798828125,NaN
6,4733,1,0,NaN,1,NaN,0.80078125,NaN
7,5143,1,0,NaN,1,NaN,0.798828125,NaN
8,5552,1,0,NaN,1,NaN,0.80078125,NaN
9,5962,1,0,NaN,1,NaN,0.80078125,NaN
10,6372,1,0,NaN,1,NaN,0.798828125,NaN
11,6781,1,0,NaN,1,NaN,0.798828125,NaN
12,7190,1,0,NaN,1,NaN,0.80078125,NaN
13,7600,1,0,NaN,1,NaN,0.80078125,NaN
14,8010,1,1,NaN,NaN,0,1.119140625,NaN
15,8583,1,0,NaN,1,NaN,0.80078125,NaN
16,8993,1,0,NaN,1,NaN,0.798828125,NaN
17,9402,1,0,NaN,1,NaN,0.80078125,NaN
18,9812,1,0,NaN,1,NaN,0.798828125,NaN
19,10221,1,0,NaN,1,NaN,0.80078125,NaN
20,10631,1,0,NaN,0,NaN,0.798828125,1.078125
21,11040,1,0,0.279296875,1,NaN,0.80078125,NaN
22,11450,1,0,NaN,1,NaN,0.80078125,NaN
23,11860,1,0,NaN,1,NaN,0.798828125,NaN
24,12269,1,0,NaN,1,NaN,0.80078125,NaN
25,12679,1,0,NaN,1,NaN,0.798828125,NaN
26,13088,1,0,NaN,0,NaN,0.80078125,1.126953125
27,13498,1,0,0.326171875,1,NaN,0.80078125,NaN
28,13908,1,0,NaN,1,NaN,0.798828125,NaN
29,14317,1,1,NaN,NaN,0,1.119140625,NaN
30,14890,1,0,NaN,1,NaN,0.80078125,NaN
31,15300,1,0,NaN,1,NaN,0.798828125,NaN
32,15709,1,0,NaN,1,NaN,0.80078125,NaN
33,16119,1,0,NaN,1,NaN,0.80078125,NaN
34,16529,1,0,NaN,0,NaN,0.798828125,0.990234375
35,16938,1,0,0.19140625,1,NaN,0.80078125,NaN
36,17348,1,0,NaN,1,NaN,0.798828125,NaN
37,17757,1,0,NaN,1,NaN,0.80078125,NaN
38,18167,1,0,NaN,1,NaN,0.798828125,NaN
39,18576,1,0,NaN,1,NaN,0.80078125,NaN
40,18986,1,0,NaN,1,NaN,0.80078125,NaN
41,19396,1,1,NaN,NaN,0,1.119140625,NaN
42,19969,1,0,NaN,1,NaN,0.80078125,NaN
43,20379,1,0,NaN,1,NaN,0.798828125,NaN
44,20788,1,0,NaN,1,NaN,0.80078125,NaN
45,21198,1,0,NaN,1,NaN,0.798828125,NaN
46,21607,1,0,NaN,1,NaN,0.80078125,NaN
47,22017,1,0,NaN,1,NaN,0.798828125,NaN
48,22426,1,0,NaN,1,NaN,0.80078125,NaN
49,22836,1,0,NaN,1,NaN,0.80078125,NaN
50,23246,1,0,NaN,1,NaN,0.798828125,NaN
51,23655,1,0,NaN,1,NaN,0.80078125,NaN
52,24065,1,0,NaN,1,NaN,0.798828125,NaN
53,24474,1,0,NaN,1,NaN,0.80078125,NaN
54,24884,1,0,NaN,1,NaN,0.798828125,NaN
55,25293,1,1,NaN,NaN,0,1.12109375,NaN
56,25867,1,0,NaN,1,NaN,0.80078125,NaN
57,26277,1,0,NaN,1,NaN,0.798828125,NaN
58,26686,1,0,NaN,1,NaN,0.798828125,NaN
59,27095,1,0,NaN,1,NaN,0.80078125,NaN
60,27505,1,0,NaN,1,NaN,0.80078125,NaN
61,27915,1,0,NaN,1,NaN,0.798828125,NaN
62,28324,1,0,NaN,1,NaN,0.80078125,NaN
63,28734,1,0,NaN,1,NaN,0.798828125,NaN
64,29143,1,0,NaN,1,NaN,0.80078125,NaN
65,29553,1,0,NaN,1,NaN,0.80078125,NaN
66,29963,1,0,NaN,1,NaN,0.798828125,NaN
67,30372,1,0,NaN,1,NaN,0.798828125,NaN
68,30781,1,1,NaN,NaN,1,1.12109375,1.416015625
69,31355,1,0,0.294921875,1,NaN,0.798828125,NaN
70,31764,1,0,NaN,1,NaN,0.80078125,NaN
71,32174,1,0,NaN,1,NaN,0.80078125,NaN
72,32584,1,0,NaN,1,NaN,0.798828125,NaN
73,32993,1,0,NaN,1,NaN,0.80078125,NaN
74,33403,1,0,NaN,1,NaN,0.798828125,NaN
75,33812,1,0,NaN,1,NaN,0.80078125,NaN
76,34222,1,0,NaN,1,NaN,0.80078125,NaN
77,34632,1,0,NaN,1,NaN,0.798828125,NaN
78,35041,1,0,NaN,1,NaN,0.80078125,NaN
79,35451,1,0,NaN,1,NaN,0.798828125,NaN
80,35860,1,0,NaN,1,NaN,0.80078125,NaN
81,36270,1,0,NaN,1,NaN,0.798828125,NaN
82,36679,1,1,NaN,NaN,1,1.12109375,1.736328125
83,37253,1,0,0.615234375,1,NaN,0.798828125,NaN
84,37662,1,0,NaN,1,NaN,0.80078125,NaN
85,38072,1,0,NaN,1,NaN,0.80078125,NaN
86,38482,1,0,NaN,1,NaN,0.798828125,NaN
87,38891,1,0,NaN,1,NaN,0.798828125,NaN
88,39300,1,0,NaN,1,NaN,0.80078125,NaN
89,39710,1,0,NaN,1,NaN,0.80078125,NaN
90,40120,1,1,NaN,NaN,0,1.146484375,NaN
91,40707,1,0,NaN,1,NaN,0.80078125,NaN
92,41117,1,0,NaN,1,NaN,0.798828125,NaN
93,41526,1,0,NaN,1,NaN,0.80078125,NaN
94,41936,1,0,NaN,1,NaN,0.798828125,NaN
95,42345,1,0,NaN,1,NaN,0.80078125,NaN
96,42755,1,0,NaN,1,NaN,0.798828125,NaN
97,43164,1,0,NaN,1,NaN,0.80078125,NaN
98,43574,1,0,NaN,1,NaN,0.798828125,NaN
99,43983,1,0,NaN,1,NaN,0.80078125,NaN
100,44393,1,0,NaN,1,NaN,0.80078125,NaN
101,44803,1,0,NaN,1,NaN,0.798828125,NaN
102,45212,1,0,NaN,0,NaN,0.80078125,1.396484375
103,45622,1,0,0.595703125,1,NaN,0.798828125,NaN
104,46031,1,0,NaN,1,NaN,0.80078125,NaN
105,46441,1,1,NaN,NaN,0,1.119140625,NaN
106,47014,1,0,NaN,1,NaN,0.80078125,NaN
107,47424,1,0,NaN,1,NaN,0.798828125,NaN
108,47833,1,0,NaN,1,NaN,0.80078125,NaN
109,48243,1,0,NaN,1,NaN,0.80078125,NaN
110,48653,1,0,NaN,1,NaN,0.798828125,NaN
111,49062,1,0,NaN,1,NaN,0.80078125,NaN
112,49472,1,0,NaN,0,NaN,0.798828125,1.5546875
113,49881,1,0,0.755859375,1,NaN,0.80078125,NaN
114,50291,1,0,NaN,1,NaN,0.798828125,NaN
115,50700,1,0,NaN,1,NaN,0.80078125,NaN
116,51110,1,0,NaN,1,NaN,0.798828125,NaN
117,51519,1,1,NaN,NaN,0,1.12109375,NaN
118,52093,1,0,NaN,1,NaN,0.798828125,NaN
119,52502,1,0,NaN,1,NaN,0.80078125,NaN
120,52912,1,0,NaN,1,NaN,0.80078125,NaN
121,53322,1,0,NaN,1,NaN,0.798828125,NaN
122,53731,1,0,NaN,1,NaN,0.798828125,NaN
123,54140,1,0,NaN,1,NaN,0.80078125,NaN
124,54550,1,0,NaN,1,NaN,0.80078125,NaN
125,54960,1,0,NaN,1,NaN,0.798828125,NaN
126,55369,1,0,NaN,1,NaN,0.80078125,NaN
127,55779,1,0,NaN,1,NaN,0.80078125,NaN
128,56189,1,0,NaN,1,NaN,0.798828125,NaN
129,56598,1,0,NaN,1,NaN,0.798828125,NaN
130,57007,1,1,NaN,NaN,0,1.12109375,NaN
131,57581,1,0,NaN,1,NaN,0.80078125,NaN
132,57991,1,0,NaN,1,NaN,0.798828125,NaN
133,58400,1,0,NaN,1,NaN,0.80078125,NaN
134,58810,1,0,NaN,1,NaN,0.798828125,NaN
135,59219,1,0,NaN,1,NaN,0.80078125,NaN
136,59629,1,0,NaN,1,NaN,0.798828125,NaN
137,60038,1,0,NaN,0,NaN,0.80078125,1.541015625
138,60448,1,0,0.740234375,1,NaN,0.80078125,NaN
139,60858,1,0,NaN,1,NaN,0.798828125,NaN
140,61267,1,1,NaN,NaN,0,1.12109375,NaN
141,61841,1,0,NaN,1,NaN,0.798828125,NaN
142,62250,1,0,NaN,1,NaN,0.798828125,NaN
143,62659,1,0,NaN,0,NaN,0.80078125,0.96484375
144,63069,1,0,0.1640625,1,NaN,0.80078125,NaN
145,63479,1,0,NaN,1,NaN,0.798828125,NaN
146,63888,1,0,NaN,1,NaN,0.80078125,NaN
147,64298,1,0,NaN,1,NaN,0.80078125,NaN
148,64708,1,0,NaN,1,NaN,0.798828125,NaN
149,65117,1,0,NaN,1,NaN,0.80078125,NaN
150,65527,1,0,NaN,1,NaN,0.798828125,NaN
151,65936,1,0,NaN,1,NaN,0.80078125,NaN
152,66346,1,0,NaN,1,NaN,0.798828125,NaN
153,66755,1,1,NaN,NaN,0,1.12109375,NaN
154,67329,1,0,NaN,1,NaN,0.798828125,NaN
155,67738,1,0,NaN,1,NaN,0.80078125,NaN
156,68148,1,0,NaN,1,NaN,0.798828125,NaN
157,68557,1,0,NaN,1,NaN,0.80078125,NaN
158,68967,1,0,NaN,1,NaN,0.798828125,NaN
