TrialN,Sample,BlockN,StimType,rawRT,corrNT,corrTG,ITI,RT
1,2351,1,0,NaN,1,NaN,0.798828125,NaN
2,2760,1,0,NaN,1,NaN,0.798828125,NaN
3,3169,1,0,NaN,1,NaN,0.80078125,NaN
4,3579,1,0,NaN,1,NaN,0.80078125,NaN
5,3989,1,0,NaN,1,NaN,0.798828125,NaN
6,4398,1,0,NaN,1,NaN,0.80078125,NaN
7,4808,1,0,NaN,1,NaN,0.80078125,NaN
8,5218,1,0,NaN,1,NaN,0.798828125,NaN
9,5627,1,0,NaN,1,NaN,0.80078125,NaN
10,6037,1,0,NaN,1,NaN,0.798828125,NaN
11,6446,1,0,NaN,1,NaN,0.80078125,NaN
12,6856,1,0,NaN,1,NaN,0.798828125,NaN
13,7265,1,1,1.107421875,NaN,1,1.12109375,1.107421875
14,7839,1,0,NaN,1,NaN,0.798828125,NaN
15,8248,1,0,NaN,1,NaN,0.80078125,NaN
16,8658,1,0,NaN,1,NaN,0.80078125,NaN
17,9068,1,0,NaN,1,NaN,0.798828125,NaN
18,9477,1,0,NaN,1,NaN,0.798828125,NaN
19,9886,1,0,NaN,1,NaN,0.80078125,NaN
20,10296,1,0,NaN,1,NaN,0.80078125,NaN
21,10706,1,1,NaN,NaN,1,1.119140625,1.2265625
22,11279,1,0,0.107421875,1,NaN,0.798828125,NaN
23,11688,1,0,NaN,1,NaN,0.80078125,NaN
24,12098,1,0,NaN,1,NaN,0.80078125,NaN
25,12508,1,0,NaN,1,NaN,0.798828125,NaN
26,12917,1,0,NaN,1,NaN,0.80078125,NaN
27,13327,1,0,NaN,1,NaN,0.798828125,NaN
28,13736,1,0,NaN,1,NaN,0.80078125,NaN
29,14146,1,0,NaN,1,NaN,0.798828125,NaN
30,14555,1,0,NaN,1,NaN,0.80078125,NaN
31,14965,1,0,NaN,1,NaN,0.80078125,NaN
32,15375,1,0,NaN,1,NaN,0.798828125,NaN
33,15784,1,0,NaN,1,NaN,0.80078125,NaN
34,16194,1,0,NaN,1,NaN,0.798828125,NaN
35,16603,1,1,NaN,NaN,1,1.12109375,1.1796875
36,17177,1,0,0.05859375,1,NaN,0.798828125,NaN
37,17586,1,0,NaN,1,NaN,0.80078125,NaN
38,17996,1,0,NaN,1,NaN,0.798828125,NaN
39,18405,1,0,NaN,1,NaN,0.80078125,NaN
40,18815,1,0,NaN,1,NaN,0.80078125,NaN
41,19225,1,0,NaN,1,NaN,0.798828125,NaN
