TrialN,Sample,BlockN,StimType,rawRT,corrNT,corrTG,ITI,RT
1,761,1,0,NaN,1,NaN,0.80078125,NaN
2,1171,1,0,NaN,1,NaN,0.798828125,NaN
3,1580,1,0,NaN,1,NaN,0.80078125,NaN
4,1990,1,0,NaN,1,NaN,0.798828125,NaN
5,2399,1,0,NaN,1,NaN,0.80078125,NaN
6,2809,1,0,NaN,1,NaN,0.80078125,NaN
7,3219,1,0,NaN,0,NaN,0.798828125,0.810546875
8,3628,1,0,0.01171875,1,NaN,0.80078125,NaN
9,4038,1,0,NaN,1,NaN,0.798828125,NaN
10,4447,1,0,NaN,1,NaN,0.80078125,NaN
11,4857,1,0,NaN,1,NaN,0.798828125,NaN
12,5266,1,0,NaN,1,NaN,0.80078125,NaN
13,5676,1,0,NaN,1,NaN,0.798828125,NaN
14,6085,1,0,NaN,1,NaN,0.80078125,NaN
15,6495,1,0,NaN,1,NaN,0.798828125,NaN
16,6904,1,1,NaN,NaN,1,1.12109375,1.748046875
17,7478,1,0,0.626953125,1,NaN,0.80078125,NaN
18,7888,1,0,NaN,1,NaN,0.798828125,NaN
19,8297,1,0,NaN,1,NaN,0.80078125,NaN
20,8707,1,0,NaN,1,NaN,0.798828125,NaN
21,9116,1,0,NaN,1,NaN,0.80078125,NaN
22,9526,1,0,NaN,1,NaN,0.80078125,NaN
23,9936,1,0,NaN,1,NaN,0.798828125,NaN
24,10345,1,1,1.115234375,NaN,1,1.919921875,1.115234375
25,11328,1,0,NaN,1,NaN,0.798828125,NaN
26,11737,1,0,NaN,1,NaN,0.80078125,NaN
27,12147,1,0,NaN,1,NaN,0.80078125,NaN
28,12557,1,0,NaN,1,NaN,0.798828125,NaN
29,12966,1,0,NaN,1,NaN,0.80078125,NaN
30,13376,1,0,NaN,1,NaN,0.798828125,NaN
31,13785,1,1,NaN,NaN,1,1.12109375,1.37109375
32,14359,1,0,0.25,1,NaN,0.798828125,NaN
33,14768,1,0,NaN,1,NaN,0.80078125,NaN
34,15178,1,0,NaN,1,NaN,0.798828125,NaN
35,15587,1,0,NaN,1,NaN,0.80078125,NaN
36,15997,1,0,NaN,1,NaN,0.798828125,NaN
37,16406,1,0,NaN,1,NaN,0.80078125,NaN
38,16816,1,0,NaN,1,NaN,0.80078125,NaN
39,17226,1,0,NaN,1,NaN,0.798828125,NaN
40,17635,1,0,NaN,1,NaN,0.80078125,NaN
41,18045,1,0,NaN,1,NaN,0.798828125,NaN
42,18454,1,0,NaN,1,NaN,0.80078125,NaN
43,18864,1,1,NaN,NaN,0,1.12109375,NaN
44,19438,1,0,NaN,1,NaN,0.798828125,NaN
45,19847,1,0,NaN,1,NaN,0.80078125,NaN
46,20257,1,0,NaN,1,NaN,0.798828125,NaN
47,20666,1,0,NaN,1,NaN,0.80078125,NaN
48,21076,1,0,NaN,1,NaN,0.798828125,NaN
49,21485,1,0,NaN,1,NaN,0.80078125,NaN
50,21895,1,1,NaN,NaN,1,1.119140625,1.234375
51,22468,1,0,0.115234375,1,NaN,0.80078125,NaN
52,22878,1,0,NaN,1,NaN,0.798828125,NaN
53,23287,1,0,NaN,1,NaN,0.80078125,NaN
54,23697,1,0,NaN,1,NaN,0.80078125,NaN
55,24107,1,0,NaN,1,NaN,0.798828125,NaN
56,24516,1,0,NaN,1,NaN,0.80078125,NaN
57,24926,1,0,NaN,1,NaN,0.798828125,NaN
58,25335,1,1,NaN,NaN,0,1.12109375,NaN
59,25909,1,0,NaN,1,NaN,0.798828125,NaN
60,26318,1,0,NaN,1,NaN,0.80078125,NaN
61,26728,1,0,NaN,1,NaN,0.798828125,NaN
62,27137,1,0,NaN,1,NaN,0.80078125,NaN
63,27547,1,0,NaN,1,NaN,0.798828125,NaN
64,27956,1,0,NaN,1,NaN,0.80078125,NaN
65,28366,1,1,NaN,NaN,0,1.119140625,NaN
66,28939,1,0,NaN,1,NaN,0.80078125,NaN
67,29349,1,0,NaN,1,NaN,0.798828125,NaN
68,29758,1,0,NaN,1,NaN,0.80078125,NaN
69,30168,1,0,NaN,1,NaN,0.798828125,NaN
70,30577,1,0,NaN,1,NaN,0.80078125,NaN
71,30987,1,0,NaN,1,NaN,0.80078125,NaN
72,31397,1,0,NaN,1,NaN,0.798828125,NaN
73,31806,1,1,NaN,NaN,0,1.12109375,NaN
74,32380,1,0,NaN,1,NaN,0.798828125,NaN
75,32789,1,0,NaN,1,NaN,0.80078125,NaN
76,33199,1,0,NaN,1,NaN,0.798828125,NaN
77,33608,1,0,NaN,1,NaN,0.80078125,NaN
78,34018,1,0,NaN,1,NaN,0.798828125,NaN
79,34427,1,0,NaN,1,NaN,0.80078125,NaN
80,34837,1,0,NaN,1,NaN,0.80078125,NaN
81,35247,1,0,NaN,1,NaN,0.798828125,NaN
82,35656,1,0,NaN,1,NaN,0.80078125,NaN
83,36066,1,0,NaN,1,NaN,0.798828125,NaN
84,36475,1,0,NaN,1,NaN,0.80078125,NaN
85,36885,1,1,NaN,NaN,0,1.119140625,NaN
86,37458,1,0,NaN,1,NaN,0.80078125,NaN
87,37868,1,0,NaN,1,NaN,0.798828125,NaN
88,38277,1,0,NaN,1,NaN,0.80078125,NaN
