TrialN,Sample,BlockN,StimType,rawRT,corrNT,corrTG,ITI,RT
1,2425,1,0,NaN,1,NaN,0.80078125,NaN
2,2835,1,0,NaN,1,NaN,0.798828125,NaN
3,3244,1,0,NaN,1,NaN,0.80078125,NaN
4,3654,1,0,NaN,1,NaN,0.798828125,NaN
5,4063,1,0,NaN,1,NaN,0.80078125,NaN
6,4473,1,0,NaN,1,NaN,0.798828125,NaN
7,4882,1,0,NaN,1,NaN,0.80078125,NaN
8,5292,1,0,NaN,1,NaN,0.80078125,NaN
9,5702,1,0,NaN,1,NaN,0.798828125,NaN
10,6111,1,0,NaN,1,NaN,0.80078125,NaN
11,6521,1,0,NaN,1,NaN,0.80078125,NaN
12,6931,1,1,NaN,NaN,1,1.119140625,1.28515625
13,7504,1,0,0.166015625,1,NaN,0.80078125,NaN
14,7914,1,0,NaN,1,NaN,0.798828125,NaN
15,8323,1,0,NaN,1,NaN,0.798828125,NaN
16,8732,1,0,NaN,1,NaN,0.80078125,NaN
17,9142,1,0,NaN,1,NaN,0.80078125,NaN
18,9552,1,0,NaN,1,NaN,0.798828125,NaN
19,9961,1,0,NaN,1,NaN,0.80078125,NaN
20,10371,1,0,NaN,1,NaN,0.798828125,NaN
21,10780,1,0,NaN,1,NaN,0.80078125,NaN
22,11190,1,0,NaN,1,NaN,0.798828125,NaN
23,11599,1,0,NaN,1,NaN,0.80078125,NaN
24,12009,1,0,NaN,1,NaN,0.80078125,NaN
25,12419,1,0,NaN,1,NaN,0.798828125,NaN
26,12828,1,0,NaN,0,NaN,0.80078125,0.982421875
27,13238,1,1,0.181640625,NaN,0,1.119140625,NaN
28,13811,1,0,NaN,1,NaN,0.80078125,NaN
29,14221,1,0,NaN,1,NaN,0.798828125,NaN
30,14630,1,0,NaN,1,NaN,0.80078125,NaN
31,15040,1,0,NaN,1,NaN,0.798828125,NaN
32,15449,1,0,NaN,1,NaN,0.80078125,NaN
33,15859,1,0,NaN,1,NaN,0.80078125,NaN
34,16269,1,0,NaN,1,NaN,0.798828125,NaN
35,16678,1,0,NaN,1,NaN,0.80078125,NaN
36,17088,1,0,NaN,1,NaN,0.798828125,NaN
37,17497,1,0,NaN,1,NaN,0.80078125,NaN
38,17907,1,0,NaN,1,NaN,0.798828125,NaN
39,18316,1,1,NaN,NaN,1,1.12109375,1.26953125
40,18890,1,0,0.1484375,1,NaN,0.798828125,NaN
41,19299,1,0,NaN,1,NaN,0.80078125,NaN
42,19709,1,0,NaN,1,NaN,0.80078125,NaN
43,20119,1,0,NaN,1,NaN,0.798828125,NaN
44,20528,1,0,NaN,1,NaN,0.80078125,NaN
45,20938,1,0,NaN,1,NaN,0.798828125,NaN
46,21347,1,0,NaN,1,NaN,0.80078125,NaN
47,21757,1,0,NaN,1,NaN,0.798828125,NaN
48,22166,1,0,NaN,1,NaN,0.80078125,NaN
49,22576,1,0,NaN,1,NaN,0.798828125,NaN
50,22985,1,0,NaN,1,NaN,0.80078125,NaN
51,23395,1,0,NaN,1,NaN,0.798828125,NaN
52,23804,1,1,1.095703125,NaN,1,1.12109375,1.095703125
53,24378,1,0,NaN,1,NaN,0.798828125,NaN
54,24787,1,0,NaN,1,NaN,0.80078125,NaN
55,25197,1,0,NaN,1,NaN,0.80078125,NaN
56,25607,1,0,NaN,1,NaN,0.798828125,NaN
57,26016,1,0,NaN,1,NaN,0.80078125,NaN
58,26426,1,0,NaN,1,NaN,0.798828125,NaN
59,26835,1,0,NaN,1,NaN,0.80078125,NaN
60,27245,1,0,NaN,1,NaN,0.80078125,NaN
61,27655,1,0,NaN,1,NaN,0.798828125,NaN
62,28064,1,0,NaN,1,NaN,0.798828125,NaN
63,28473,1,0,NaN,1,NaN,0.80078125,NaN
64,28883,1,0,NaN,1,NaN,0.80078125,NaN
65,29293,1,1,NaN,NaN,1,1.119140625,1.28515625
66,29866,1,0,0.166015625,1,NaN,0.80078125,NaN
67,30276,1,0,NaN,1,NaN,0.798828125,NaN
68,30685,1,0,NaN,1,NaN,0.80078125,NaN
69,31095,1,0,NaN,1,NaN,0.798828125,NaN
70,31504,1,0,NaN,1,NaN,0.80078125,NaN
71,31914,1,0,NaN,1,NaN,0.798828125,NaN
72,32323,1,1,NaN,NaN,1,1.12109375,1.333984375
73,32897,1,0,0.212890625,1,NaN,0.798828125,NaN
74,33306,1,0,NaN,1,NaN,0.80078125,NaN
75,33716,1,0,NaN,1,NaN,0.80078125,NaN
76,34126,1,0,NaN,1,NaN,0.798828125,NaN
77,34535,1,0,NaN,1,NaN,0.80078125,NaN
78,34945,1,0,NaN,1,NaN,0.798828125,NaN
79,35354,1,0,NaN,1,NaN,0.80078125,NaN
80,35764,1,0,NaN,1,NaN,0.798828125,NaN
