TrialN,Sample,BlockN,StimType,rawRT,corrNT,corrTG,ITI,RT
1,2203,1,0,NaN,1,NaN,0.798828125,NaN
2,2612,1,0,NaN,1,NaN,0.80078125,NaN
3,3022,1,0,NaN,1,NaN,0.80078125,NaN
4,3432,1,0,NaN,1,NaN,0.798828125,NaN
5,3841,1,0,NaN,1,NaN,0.80078125,NaN
6,4251,1,0,NaN,1,NaN,0.798828125,NaN
7,4660,1,0,NaN,1,NaN,0.80078125,NaN
8,5070,1,0,NaN,1,NaN,0.798828125,NaN
9,5479,1,0,NaN,0,NaN,0.80078125,0.943359375
10,5889,1,0,0.142578125,1,NaN,0.80078125,NaN
11,6299,1,0,NaN,1,NaN,0.798828125,NaN
12,6708,1,0,NaN,1,NaN,0.80078125,NaN
13,7118,1,0,NaN,1,NaN,0.798828125,NaN
14,7527,1,0,NaN,1,NaN,0.80078125,NaN
15,7937,1,0,NaN,1,NaN,0.80078125,NaN
16,8347,1,1,NaN,NaN,0,1.119140625,NaN
17,8920,1,0,NaN,1,NaN,0.80078125,NaN
18,9330,1,0,NaN,1,NaN,0.798828125,NaN
19,9739,1,0,NaN,1,NaN,0.798828125,NaN
20,10148,1,0,NaN,1,NaN,0.80078125,NaN
21,10558,1,0,NaN,1,NaN,0.80078125,NaN
22,10968,1,0,NaN,1,NaN,0.798828125,NaN
23,11377,1,0,NaN,1,NaN,0.80078125,NaN
24,11787,1,1,NaN,NaN,1,1.119140625,1.205078125
25,12360,1,0,0.0859375,1,NaN,0.80078125,NaN
26,12770,1,0,NaN,1,NaN,0.798828125,NaN
27,13179,1,0,NaN,1,NaN,0.80078125,NaN
28,13589,1,0,NaN,1,NaN,0.798828125,NaN
29,13998,1,0,NaN,1,NaN,0.80078125,NaN
30,14408,1,0,NaN,1,NaN,0.798828125,NaN
31,14817,1,0,NaN,0,NaN,0.80078125,0.974609375
32,15227,1,0,0.173828125,1,NaN,0.80078125,NaN
33,15637,1,0,NaN,1,NaN,0.798828125,NaN
34,16046,1,0,NaN,1,NaN,0.80078125,NaN
35,16456,1,0,NaN,1,NaN,0.80078125,NaN
36,16866,1,0,NaN,1,NaN,0.798828125,NaN
37,17275,1,1,NaN,NaN,1,1.119140625,1.173828125
38,17848,1,0,0.0546875,1,NaN,0.80078125,NaN
39,18258,1,0,NaN,1,NaN,0.80078125,NaN
40,18668,1,0,NaN,1,NaN,0.798828125,NaN
41,19077,1,0,NaN,1,NaN,0.80078125,NaN
42,19487,1,0,NaN,1,NaN,0.798828125,NaN
43,19896,1,0,NaN,1,NaN,0.80078125,NaN
44,20306,1,0,NaN,1,NaN,0.798828125,NaN
45,20715,1,1,NaN,NaN,1,1.12109375,1.173828125
46,21289,1,0,0.052734375,1,NaN,0.798828125,NaN
47,21698,1,0,NaN,1,NaN,0.80078125,NaN
48,22108,1,0,NaN,1,NaN,0.80078125,NaN
49,22518,1,0,NaN,1,NaN,0.798828125,NaN
50,22927,1,0,NaN,1,NaN,0.80078125,NaN
51,23337,1,0,NaN,1,NaN,0.798828125,NaN
52,23746,1,0,NaN,1,NaN,0.80078125,NaN
53,24156,1,0,NaN,1,NaN,0.798828125,NaN
54,24565,1,0,NaN,1,NaN,0.80078125,NaN
55,24975,1,0,NaN,1,NaN,0.80078125,NaN
56,25385,1,0,NaN,1,NaN,0.798828125,NaN
57,25794,1,0,NaN,1,NaN,0.80078125,NaN
58,26204,1,0,NaN,1,NaN,0.798828125,NaN
59,26613,1,0,NaN,1,NaN,0.80078125,NaN
60,27023,1,1,NaN,NaN,1,1.119140625,1.1484375
61,27596,1,0,0.029296875,1,NaN,0.798828125,NaN
62,28005,1,0,NaN,1,NaN,0.80078125,NaN
63,28415,1,0,NaN,1,NaN,0.80078125,NaN
64,28825,1,0,NaN,1,NaN,0.798828125,NaN
65,29234,1,0,NaN,1,NaN,0.80078125,NaN
66,29644,1,0,NaN,1,NaN,0.80078125,NaN
67,30054,1,0,NaN,1,NaN,0.798828125,NaN
68,30463,1,0,NaN,1,NaN,0.798828125,NaN
69,30872,1,1,1.111328125,NaN,1,1.12109375,1.111328125
70,31446,1,0,NaN,1,NaN,0.798828125,NaN
71,31855,1,0,NaN,1,NaN,0.80078125,NaN
72,32265,1,0,NaN,1,NaN,0.80078125,NaN
73,32675,1,0,NaN,1,NaN,0.798828125,NaN
74,33084,1,0,NaN,1,NaN,0.80078125,NaN
75,33494,1,0,NaN,1,NaN,0.798828125,NaN
76,33903,1,0,NaN,0,NaN,0.80078125,1.57421875
77,34313,1,0,0.7734375,1,NaN,0.80078125,NaN
78,34723,1,0,NaN,1,NaN,0.798828125,NaN
79,35132,1,1,NaN,NaN,0,1.119140625,NaN
80,35705,1,0,NaN,1,NaN,0.80078125,NaN
81,36115,1,0,NaN,1,NaN,0.798828125,NaN
82,36524,1,0,NaN,1,NaN,0.80078125,NaN
83,36934,1,0,NaN,1,NaN,0.80078125,NaN
84,37344,1,0,NaN,1,NaN,0.798828125,NaN
85,37753,1,0,NaN,1,NaN,0.80078125,NaN
86,38163,1,0,NaN,1,NaN,0.80078125,NaN
87,38573,1,0,NaN,1,NaN,0.798828125,NaN
88,38982,1,0,NaN,1,NaN,0.80078125,NaN
89,39392,1,0,NaN,1,NaN,0.798828125,NaN
90,39801,1,0,NaN,1,NaN,0.80078125,NaN
91,40211,1,0,NaN,0,NaN,0.798828125,0.96484375
92,40620,1,1,0.166015625,NaN,0,1.119140625,NaN
93,41193,1,0,NaN,1,NaN,0.80078125,NaN
94,41603,1,0,NaN,1,NaN,0.80078125,NaN
95,42013,1,0,NaN,1,NaN,0.798828125,NaN
96,42422,1,0,NaN,1,NaN,0.80078125,NaN
97,42832,1,0,NaN,1,NaN,0.80078125,NaN
98,43242,1,0,NaN,1,NaN,0.798828125,NaN
99,43651,1,0,NaN,1,NaN,0.798828125,NaN
100,44060,1,0,NaN,1,NaN,0.80078125,NaN
101,44470,1,0,NaN,1,NaN,0.80078125,NaN
102,44880,1,0,NaN,1,NaN,0.798828125,NaN
103,45289,1,0,NaN,1,NaN,0.80078125,NaN
104,45699,1,0,NaN,1,NaN,0.80078125,NaN
105,46109,1,1,NaN,NaN,1,1.119140625,1.267578125
106,46682,1,0,0.1484375,1,NaN,0.798828125,NaN
107,47091,1,0,NaN,1,NaN,0.80078125,NaN
108,47501,1,0,NaN,1,NaN,0.798828125,NaN
109,47910,1,0,NaN,1,NaN,0.80078125,NaN
110,48320,1,0,NaN,1,NaN,0.80078125,NaN
111,48730,1,0,NaN,1,NaN,0.798828125,NaN
112,49139,1,0,NaN,1,NaN,0.80078125,NaN
113,49549,1,0,NaN,1,NaN,0.798828125,NaN
114,49958,1,1,NaN,NaN,0,1.12109375,NaN
115,50532,1,0,NaN,1,NaN,0.798828125,NaN
116,50941,1,0,NaN,1,NaN,0.80078125,NaN
117,51351,1,0,NaN,1,NaN,0.798828125,NaN
118,51760,1,0,NaN,1,NaN,0.80078125,NaN
119,52170,1,0,NaN,1,NaN,0.798828125,NaN
120,52579,1,0,NaN,1,NaN,0.80078125,NaN
121,52989,1,0,NaN,1,NaN,0.80078125,NaN
122,53399,1,0,NaN,1,NaN,0.798828125,NaN
123,53808,1,0,NaN,1,NaN,0.80078125,NaN
124,54218,1,1,NaN,NaN,1,1.119140625,2.28515625
125,54791,1,0,NaN,1,NaN,0.80078125,NaN
126,55201,1,0,0.365234375,1,NaN,0.80078125,NaN
127,55611,1,0,NaN,1,NaN,0.798828125,NaN
128,56020,1,0,NaN,1,NaN,0.798828125,NaN
129,56429,1,0,NaN,1,NaN,0.80078125,NaN
130,56839,1,0,NaN,1,NaN,0.798828125,NaN
131,57248,1,0,NaN,1,NaN,0.80078125,NaN
132,57658,1,0,NaN,1,NaN,0.80078125,NaN
133,58068,1,0,NaN,1,NaN,0.798828125,NaN
134,58477,1,0,NaN,1,NaN,0.80078125,NaN
135,58887,1,1,NaN,NaN,1,1.119140625,1.1328125
136,59460,1,0,0.013671875,1,NaN,0.80078125,NaN
137,59870,1,0,NaN,1,NaN,0.798828125,NaN
138,60279,1,0,NaN,1,NaN,0.80078125,NaN
139,60689,1,0,NaN,1,NaN,0.798828125,NaN
140,61098,1,0,NaN,1,NaN,0.80078125,NaN
141,61508,1,0,NaN,1,NaN,0.80078125,NaN
142,61918,1,0,NaN,1,NaN,0.798828125,NaN
143,62327,1,0,NaN,1,NaN,0.80078125,NaN
144,62737,1,0,NaN,1,NaN,0.798828125,NaN
145,63146,1,0,NaN,1,NaN,0.80078125,NaN
146,63556,1,0,NaN,1,NaN,0.798828125,NaN
147,63965,1,0,NaN,1,NaN,0.80078125,NaN
148,64375,1,0,NaN,1,NaN,0.80078125,NaN
149,64785,1,1,NaN,NaN,1,1.119140625,1.373046875
150,65358,1,0,0.25390625,1,NaN,0.798828125,NaN
151,65767,1,0,NaN,1,NaN,0.80078125,NaN
152,66177,1,0,NaN,1,NaN,0.80078125,NaN
153,66587,1,0,NaN,1,NaN,0.798828125,NaN
154,66996,1,0,NaN,1,NaN,0.80078125,NaN
155,67406,1,0,NaN,1,NaN,0.798828125,NaN
156,67815,1,1,NaN,NaN,1,1.12109375,1.279296875
157,68389,1,0,0.158203125,1,NaN,0.798828125,NaN
158,68798,1,0,NaN,1,NaN,0.80078125,NaN
159,69208,1,0,NaN,1,NaN,0.80078125,NaN
160,69618,1,0,NaN,1,NaN,0.798828125,NaN
161,70027,1,0,NaN,1,NaN,0.80078125,NaN
162,70437,1,0,NaN,1,NaN,0.798828125,NaN
163,70846,1,0,NaN,1,NaN,0.80078125,NaN
164,71256,1,0,NaN,1,NaN,0.798828125,NaN
165,71665,1,0,NaN,1,NaN,0.80078125,NaN
166,72075,1,0,NaN,1,NaN,0.798828125,NaN
167,72484,1,0,NaN,1,NaN,0.80078125,NaN
168,72894,1,0,NaN,1,NaN,0.80078125,NaN
169,73304,1,0,NaN,1,NaN,0.798828125,NaN
170,73713,1,1,NaN,NaN,1,1.12109375,1.24609375
171,74287,1,0,0.125,1,NaN,0.798828125,NaN
172,74696,1,0,NaN,1,NaN,0.80078125,NaN
173,75106,1,0,NaN,1,NaN,0.798828125,NaN
174,75515,1,0,NaN,1,NaN,0.80078125,NaN
175,75925,1,0,NaN,1,NaN,0.798828125,NaN
176,76334,1,0,NaN,1,NaN,0.80078125,NaN
177,76744,1,0,NaN,1,NaN,0.798828125,NaN
178,77153,1,0,NaN,1,NaN,0.80078125,NaN
179,77563,1,0,NaN,1,NaN,0.80078125,NaN
180,77973,1,1,NaN,NaN,1,1.119140625,1.212890625
181,78546,1,0,0.09375,1,NaN,0.80078125,NaN
182,78956,1,0,NaN,1,NaN,0.798828125,NaN
183,79365,1,0,NaN,1,NaN,0.80078125,NaN
184,79775,1,0,NaN,1,NaN,0.798828125,NaN
185,80184,1,0,NaN,1,NaN,0.80078125,NaN
186,80594,1,0,NaN,1,NaN,0.798828125,NaN
187,81003,1,0,NaN,1,NaN,0.80078125,NaN
188,81413,1,0,NaN,1,NaN,0.798828125,NaN
189,81822,1,0,NaN,1,NaN,0.80078125,NaN
190,82232,1,1,NaN,NaN,1,1.119140625,1.29296875
191,82805,1,0,0.173828125,1,NaN,0.80078125,NaN
192,83215,1,0,NaN,1,NaN,0.80078125,NaN
193,83625,1,0,NaN,1,NaN,0.798828125,NaN
194,84034,1,0,NaN,1,NaN,0.80078125,NaN
195,84444,1,0,NaN,1,NaN,0.798828125,NaN
