TrialN,Sample,BlockN,StimType,rawRT,corrNT,corrTG,ITI,RT
1,2997,1,0,NaN,1,NaN,0.796875,NaN
2,3405,1,0,NaN,1,NaN,0.80078125,NaN
3,3815,1,0,NaN,1,NaN,0.80078125,NaN
4,4225,1,0,NaN,1,NaN,0.798828125,NaN
5,4634,1,0,NaN,1,NaN,0.80078125,NaN
6,5044,1,0,NaN,1,NaN,0.798828125,NaN
7,5453,1,0,NaN,1,NaN,0.80078125,NaN
8,5863,1,0,NaN,1,NaN,0.80078125,NaN
9,6273,1,0,NaN,1,NaN,0.798828125,NaN
10,6682,1,0,NaN,1,NaN,0.80078125,NaN
11,7092,1,0,NaN,1,NaN,0.798828125,NaN
12,7501,1,1,NaN,NaN,1,1.12109375,1.236328125
13,8075,1,0,0.115234375,1,NaN,0.798828125,NaN
14,8484,1,0,NaN,1,NaN,0.80078125,NaN
15,8894,1,0,NaN,1,NaN,0.798828125,NaN
16,9303,1,0,NaN,1,NaN,0.80078125,NaN
17,9713,1,0,NaN,1,NaN,0.798828125,NaN
18,10122,1,0,NaN,1,NaN,0.80078125,NaN
19,10532,1,1,NaN,NaN,1,1.119140625,1.171875
20,11105,1,0,0.052734375,1,NaN,0.80078125,NaN
21,11515,1,0,NaN,1,NaN,0.80078125,NaN
22,11925,1,0,NaN,1,NaN,0.798828125,NaN
23,12334,1,0,NaN,1,NaN,0.80078125,NaN
24,12744,1,0,NaN,1,NaN,0.798828125,NaN
25,13153,1,0,NaN,1,NaN,0.80078125,NaN
26,13563,1,0,NaN,1,NaN,0.798828125,NaN
27,13972,1,0,NaN,1,NaN,0.80078125,NaN
28,14382,1,1,NaN,NaN,1,1.12109375,1.171875
29,14956,1,0,0.05078125,1,NaN,0.798828125,NaN
30,15365,1,0,NaN,1,NaN,0.80078125,NaN
31,15775,1,0,NaN,1,NaN,0.798828125,NaN
32,16184,1,0,NaN,1,NaN,0.80078125,NaN
33,16594,1,0,NaN,1,NaN,0.798828125,NaN
34,17003,1,0,NaN,1,NaN,0.80078125,NaN
35,17413,1,0,NaN,1,NaN,0.798828125,NaN
36,17822,1,1,NaN,NaN,1,1.12109375,1.30078125
37,18396,1,0,0.1796875,1,NaN,0.798828125,NaN
38,18805,1,0,NaN,1,NaN,0.80078125,NaN
39,19215,1,0,NaN,1,NaN,0.798828125,NaN
40,19624,1,0,NaN,1,NaN,0.80078125,NaN
41,20034,1,0,NaN,1,NaN,0.798828125,NaN
42,20443,1,0,NaN,1,NaN,0.80078125,NaN
43,20853,1,0,NaN,1,NaN,0.80078125,NaN
44,21263,1,1,1.107421875,NaN,1,1.119140625,1.107421875
45,21836,1,0,NaN,1,NaN,0.80078125,NaN
46,22246,1,0,NaN,1,NaN,0.798828125,NaN
47,22655,1,0,NaN,1,NaN,0.80078125,NaN
48,23065,1,0,NaN,1,NaN,0.798828125,NaN
49,23474,1,0,NaN,1,NaN,0.80078125,NaN
50,23884,1,0,NaN,1,NaN,0.798828125,NaN
51,24293,1,0,NaN,1,NaN,0.80078125,NaN
52,24703,1,0,NaN,1,NaN,0.80078125,NaN
53,25113,1,0,NaN,1,NaN,0.798828125,NaN
54,25522,1,0,NaN,1,NaN,0.80078125,NaN
55,25932,1,0,NaN,1,NaN,0.798828125,NaN
56,26341,1,1,NaN,NaN,1,1.12109375,1.15625
57,26915,1,0,0.03515625,1,NaN,0.798828125,NaN
58,27324,1,0,NaN,1,NaN,0.80078125,NaN
59,27734,1,0,NaN,1,NaN,0.798828125,NaN
60,28143,1,0,NaN,1,NaN,0.80078125,NaN
61,28553,1,0,NaN,1,NaN,0.80078125,NaN
62,28963,1,0,NaN,1,NaN,0.798828125,NaN
63,29372,1,0,NaN,1,NaN,0.80078125,NaN
64,29782,1,0,NaN,1,NaN,0.798828125,NaN
65,30191,1,0,NaN,1,NaN,0.80078125,NaN
66,30601,1,0,NaN,1,NaN,0.798828125,NaN
67,31010,1,0,NaN,1,NaN,0.80078125,NaN
68,31420,1,0,NaN,1,NaN,0.798828125,NaN
69,31829,1,0,NaN,1,NaN,0.80078125,NaN
70,32239,1,1,1.109375,NaN,1,1.12109375,1.109375
71,32813,1,0,NaN,1,NaN,0.798828125,NaN
72,33222,1,0,NaN,1,NaN,0.798828125,NaN
73,33631,1,0,NaN,1,NaN,0.80078125,NaN
74,34041,1,0,NaN,1,NaN,0.80078125,NaN
75,34451,1,0,NaN,1,NaN,0.798828125,NaN
76,34860,1,0,NaN,1,NaN,0.80078125,NaN
77,35270,1,0,NaN,1,NaN,0.80078125,NaN
78,35680,1,0,NaN,1,NaN,0.798828125,NaN
79,36089,1,0,NaN,1,NaN,0.798828125,NaN
80,36498,1,0,NaN,1,NaN,0.80078125,NaN
81,36908,1,0,NaN,1,NaN,0.80078125,NaN
82,37318,1,0,NaN,1,NaN,0.798828125,NaN
83,37727,1,0,NaN,1,NaN,0.80078125,NaN
84,38137,1,0,NaN,1,NaN,0.798828125,NaN
85,38546,1,1,NaN,NaN,0,1.12109375,NaN
86,39120,1,0,NaN,1,NaN,0.80078125,NaN
87,39530,1,0,NaN,1,NaN,0.798828125,NaN
88,39939,1,0,NaN,1,NaN,0.798828125,NaN
89,40348,1,0,NaN,1,NaN,0.80078125,NaN
90,40758,1,0,NaN,1,NaN,0.80078125,NaN
91,41168,1,0,NaN,1,NaN,0.798828125,NaN
92,41577,1,0,NaN,1,NaN,0.80078125,NaN
93,41987,1,0,NaN,1,NaN,0.798828125,NaN
94,42396,1,0,NaN,1,NaN,0.80078125,NaN
95,42806,1,0,NaN,1,NaN,0.798828125,NaN
96,43215,1,0,NaN,1,NaN,0.80078125,NaN
97,43625,1,0,NaN,1,NaN,0.80078125,NaN
98,44035,1,0,NaN,1,NaN,0.798828125,NaN
99,44444,1,0,NaN,1,NaN,0.80078125,NaN
100,44854,1,1,NaN,NaN,1,1.119140625,1.236328125
101,45427,1,0,0.1171875,1,NaN,0.80078125,NaN
102,45837,1,0,NaN,1,NaN,0.798828125,NaN
103,46246,1,0,NaN,1,NaN,0.80078125,NaN
104,46656,1,0,NaN,1,NaN,0.798828125,NaN
105,47065,1,0,NaN,1,NaN,0.80078125,NaN
106,47475,1,0,NaN,1,NaN,0.798828125,NaN
107,47884,1,0,NaN,1,NaN,0.80078125,NaN
108,48294,1,0,NaN,1,NaN,0.80078125,NaN
109,48704,1,0,NaN,1,NaN,0.798828125,NaN
110,49113,1,1,1.029296875,NaN,1,1.119140625,1.029296875
111,49686,1,0,NaN,1,NaN,0.80078125,NaN
112,50096,1,0,NaN,1,NaN,0.80078125,NaN
113,50506,1,0,NaN,1,NaN,0.798828125,NaN
114,50915,1,0,NaN,1,NaN,0.80078125,NaN
115,51325,1,0,NaN,1,NaN,0.798828125,NaN
116,51734,1,0,NaN,1,NaN,0.80078125,NaN
117,52144,1,0,NaN,1,NaN,0.798828125,NaN
118,52553,1,0,NaN,1,NaN,0.80078125,NaN
119,52963,1,0,NaN,1,NaN,0.80078125,NaN
120,53373,1,0,NaN,1,NaN,0.798828125,NaN
121,53782,1,0,NaN,1,NaN,0.80078125,NaN
122,54192,1,0,NaN,1,NaN,0.798828125,NaN
123,54601,1,0,NaN,1,NaN,0.80078125,NaN
124,55011,1,1,1.076171875,NaN,1,1.12109375,1.076171875
125,55585,1,0,NaN,1,NaN,0.798828125,NaN
126,55994,1,0,NaN,1,NaN,0.798828125,NaN
127,56403,1,0,NaN,1,NaN,0.80078125,NaN
128,56813,1,0,NaN,1,NaN,0.80078125,NaN
129,57223,1,0,NaN,1,NaN,0.798828125,NaN
130,57632,1,0,NaN,1,NaN,0.80078125,NaN
131,58042,1,0,NaN,1,NaN,0.798828125,NaN
132,58451,1,0,NaN,1,NaN,0.80078125,NaN
133,58861,1,0,NaN,1,NaN,0.80078125,NaN
134,59271,1,0,NaN,1,NaN,0.798828125,NaN
135,59680,1,0,NaN,1,NaN,0.798828125,NaN
136,60089,1,0,NaN,1,NaN,0.80078125,NaN
137,60499,1,1,NaN,NaN,0,1.12109375,NaN
138,61073,1,0,NaN,1,NaN,0.798828125,NaN
139,61482,1,0,NaN,1,NaN,0.80078125,NaN
140,61892,1,0,NaN,1,NaN,0.798828125,NaN
141,62301,1,0,NaN,1,NaN,0.80078125,NaN
142,62711,1,0,NaN,1,NaN,0.798828125,NaN
143,63120,1,0,NaN,1,NaN,0.80078125,NaN
144,63530,1,1,NaN,NaN,1,1.119140625,1.4609375
145,64103,1,0,0.341796875,1,NaN,0.80078125,NaN
146,64513,1,0,NaN,1,NaN,0.798828125,NaN
147,64922,1,0,NaN,1,NaN,0.80078125,NaN
148,65332,1,0,NaN,1,NaN,0.798828125,NaN
149,65741,1,0,NaN,1,NaN,0.80078125,NaN
150,66151,1,0,NaN,1,NaN,0.80078125,NaN
151,66561,1,1,NaN,NaN,0,1.119140625,NaN
152,67134,1,0,NaN,1,NaN,0.80078125,NaN
153,67544,1,0,NaN,1,NaN,0.798828125,NaN
154,67953,1,0,NaN,1,NaN,0.80078125,NaN
155,68363,1,0,NaN,1,NaN,0.80078125,NaN
156,68773,1,0,NaN,1,NaN,0.798828125,NaN
157,69182,1,0,NaN,1,NaN,0.80078125,NaN
158,69592,1,0,NaN,1,NaN,0.798828125,NaN
159,70001,1,0,NaN,1,NaN,0.80078125,NaN
160,70411,1,0,NaN,1,NaN,0.798828125,NaN
161,70820,1,0,NaN,1,NaN,0.80078125,NaN
162,71230,1,0,NaN,1,NaN,0.798828125,NaN
163,71639,1,0,NaN,1,NaN,0.80078125,NaN
164,72049,1,1,NaN,NaN,0,1.119140625,NaN
165,72622,1,0,NaN,1,NaN,0.80078125,NaN
166,73032,1,0,NaN,1,NaN,0.80078125,NaN
167,73442,1,0,NaN,1,NaN,0.798828125,NaN
168,73851,1,0,NaN,1,NaN,0.798828125,NaN
169,74260,1,0,NaN,1,NaN,0.80078125,NaN
170,74670,1,0,NaN,1,NaN,0.80078125,NaN
171,75080,1,0,NaN,1,NaN,0.798828125,NaN
172,75489,1,1,NaN,NaN,1,1.12109375,1.65234375
173,76063,1,0,0.53125,1,NaN,0.826171875,NaN
174,76486,1,0,NaN,1,NaN,0.798828125,NaN
175,76895,1,0,NaN,1,NaN,0.80078125,NaN
176,77305,1,0,NaN,1,NaN,0.80078125,NaN
177,77715,1,0,NaN,1,NaN,0.798828125,NaN
178,78124,1,0,NaN,1,NaN,0.80078125,NaN
179,78534,1,0,NaN,1,NaN,0.798828125,NaN
180,78943,1,0,NaN,1,NaN,0.80078125,NaN
181,79353,1,1,NaN,NaN,0,1.119140625,NaN
182,79926,1,0,NaN,1,NaN,0.80078125,NaN
183,80336,1,0,NaN,1,NaN,0.80078125,NaN
184,80746,1,0,NaN,1,NaN,0.798828125,NaN
185,81155,1,0,NaN,1,NaN,0.80078125,NaN
186,81565,1,0,NaN,1,NaN,0.798828125,NaN
187,81974,1,0,NaN,1,NaN,0.80078125,NaN
188,82384,1,0,NaN,1,NaN,0.798828125,NaN
189,82793,1,0,NaN,1,NaN,0.80078125,NaN
190,83203,1,0,NaN,1,NaN,0.798828125,NaN
191,83612,1,0,NaN,1,NaN,0.80078125,NaN
192,84022,1,0,NaN,1,NaN,0.798828125,NaN
193,84431,1,1,NaN,NaN,0,1.12109375,NaN
194,85005,1,0,NaN,1,NaN,0.798828125,NaN
195,85414,1,0,NaN,1,NaN,0.80078125,NaN
196,85824,1,0,NaN,1,NaN,0.80078125,NaN
197,86234,1,0,NaN,1,NaN,0.798828125,NaN
198,86643,1,0,NaN,1,NaN,0.80078125,NaN
199,87053,1,0,NaN,1,NaN,0.798828125,NaN
200,87462,1,0,NaN,1,NaN,0.80078125,NaN
201,87872,1,0,NaN,1,NaN,0.80078125,NaN
202,88282,1,0,NaN,1,NaN,0.798828125,NaN
203,88691,1,0,NaN,1,NaN,0.80078125,NaN
204,89101,1,0,NaN,1,NaN,0.798828125,NaN
205,89510,1,0,NaN,1,NaN,0.80078125,NaN
206,89920,1,0,NaN,1,NaN,0.798828125,NaN
207,90329,1,1,NaN,NaN,0,1.12109375,NaN
208,90903,1,0,NaN,1,NaN,0.798828125,NaN
209,91312,1,0,NaN,1,NaN,0.80078125,NaN
210,91722,1,0,NaN,1,NaN,0.798828125,NaN
211,92131,1,0,NaN,1,NaN,0.80078125,NaN
212,92541,1,0,NaN,1,NaN,0.80078125,NaN
213,92951,1,0,NaN,1,NaN,0.798828125,NaN
214,93360,1,0,NaN,1,NaN,0.80078125,NaN
215,93770,1,0,NaN,1,NaN,0.798828125,NaN
216,94179,1,0,NaN,1,NaN,0.80078125,NaN
217,94589,1,0,NaN,1,NaN,0.798828125,NaN
218,94998,1,0,NaN,1,NaN,0.80078125,NaN
219,95408,1,0,NaN,1,NaN,0.80078125,NaN
220,95818,1,0,NaN,1,NaN,0.798828125,NaN
221,96227,1,0,NaN,1,NaN,0.798828125,NaN
222,96636,1,1,NaN,NaN,0,1.12109375,NaN
223,97210,1,0,NaN,1,NaN,0.80078125,NaN
224,97620,1,0,NaN,1,NaN,0.798828125,NaN
225,98029,1,0,NaN,1,NaN,78.890625,NaN
226,138421,2,0,NaN,1,NaN,0.798828125,NaN
227,138830,2,0,NaN,1,NaN,0.798828125,NaN
228,139239,2,0,NaN,1,NaN,0.80078125,NaN
229,139649,2,0,NaN,1,NaN,0.798828125,NaN
230,140058,2,0,NaN,1,NaN,0.80078125,NaN
231,140468,2,0,NaN,1,NaN,0.80078125,NaN
232,140878,2,0,NaN,1,NaN,0.798828125,NaN
233,141287,2,0,NaN,1,NaN,0.80078125,NaN
234,141697,2,0,NaN,1,NaN,0.798828125,NaN
235,142106,2,0,NaN,1,NaN,0.80078125,NaN
236,142516,2,0,NaN,1,NaN,0.798828125,NaN
237,142925,2,0,NaN,1,NaN,0.80078125,NaN
238,143335,2,0,NaN,1,NaN,0.798828125,NaN
239,143744,2,1,NaN,NaN,1,1.12109375,1.2109375
240,144318,2,0,0.08984375,1,NaN,0.80078125,NaN
241,144728,2,0,NaN,1,NaN,0.798828125,NaN
242,145137,2,0,NaN,1,NaN,0.798828125,NaN
243,145546,2,0,NaN,1,NaN,0.80078125,NaN
244,145956,2,0,NaN,1,NaN,0.80078125,NaN
245,146366,2,0,NaN,1,NaN,0.798828125,NaN
246,146775,2,0,NaN,1,NaN,0.80078125,NaN
247,147185,2,0,NaN,1,NaN,0.798828125,NaN
248,147594,2,1,NaN,NaN,1,1.12109375,1.154296875
249,148168,2,0,0.033203125,1,NaN,0.798828125,NaN
