TrialN,Sample,BlockN,StimType,rawRT,corrNT,corrTG,ITI,RT
1,3628,1,0,NaN,1,NaN,0.798828125,NaN
2,4037,1,0,NaN,1,NaN,0.798828125,NaN
3,4446,1,0,NaN,1,NaN,0.80078125,NaN
4,4856,1,0,NaN,1,NaN,0.80078125,NaN
5,5266,1,0,NaN,1,NaN,0.798828125,NaN
6,5675,1,0,NaN,1,NaN,0.80078125,NaN
7,6085,1,0,NaN,1,NaN,0.798828125,NaN
8,6494,1,0,NaN,1,NaN,0.80078125,NaN
9,6904,1,0,NaN,1,NaN,0.798828125,NaN
10,7313,1,0,NaN,1,NaN,0.80078125,NaN
11,7723,1,0,NaN,1,NaN,0.798828125,NaN
12,8132,1,0,NaN,1,NaN,0.80078125,NaN
13,8542,1,1,NaN,NaN,1,1.119140625,1.19140625
14,9115,1,0,0.072265625,1,NaN,0.80078125,NaN
15,9525,1,0,NaN,1,NaN,0.80078125,NaN
16,9935,1,0,NaN,1,NaN,0.798828125,NaN
17,10344,1,0,NaN,1,NaN,0.80078125,NaN
18,10754,1,0,NaN,1,NaN,0.798828125,NaN
19,11163,1,0,NaN,1,NaN,0.80078125,NaN
20,11573,1,0,NaN,1,NaN,0.80078125,NaN
21,11983,1,0,NaN,1,NaN,0.798828125,NaN
22,12392,1,0,NaN,1,NaN,0.798828125,NaN
23,12801,1,0,NaN,1,NaN,0.80078125,NaN
24,13211,1,0,NaN,1,NaN,0.80078125,NaN
25,13621,1,0,NaN,1,NaN,0.798828125,NaN
26,14030,1,0,NaN,1,NaN,0.80078125,NaN
27,14440,1,1,NaN,NaN,1,1.119140625,1.26953125
28,15013,1,0,0.150390625,1,NaN,0.80078125,NaN
29,15423,1,0,NaN,1,NaN,0.798828125,NaN
30,15832,1,0,NaN,1,NaN,0.80078125,NaN
31,16242,1,0,NaN,1,NaN,0.80078125,NaN
32,16652,1,0,NaN,1,NaN,0.798828125,NaN
33,17061,1,0,NaN,1,NaN,0.80078125,NaN
34,17471,1,1,NaN,NaN,1,1.119140625,1.181640625
35,18044,1,0,0.0625,1,NaN,0.80078125,NaN
36,18454,1,0,NaN,1,NaN,0.798828125,NaN
37,18863,1,0,NaN,1,NaN,0.80078125,NaN
38,19273,1,0,NaN,1,NaN,0.80078125,NaN
39,19683,1,0,NaN,1,NaN,0.798828125,NaN
40,20092,1,0,NaN,1,NaN,0.80078125,NaN
41,20502,1,0,NaN,1,NaN,0.798828125,NaN
42,20911,1,0,NaN,1,NaN,0.80078125,NaN
43,21321,1,0,NaN,1,NaN,0.798828125,NaN
44,21730,1,0,NaN,1,NaN,0.80078125,NaN
45,22140,1,0,NaN,1,NaN,0.798828125,NaN
46,22549,1,0,NaN,1,NaN,0.80078125,NaN
47,22959,1,1,NaN,NaN,1,1.119140625,1.142578125
48,23532,1,0,0.0234375,1,NaN,0.80078125,NaN
49,23942,1,0,NaN,1,NaN,0.798828125,NaN
50,24351,1,0,NaN,1,NaN,0.80078125,NaN
51,24761,1,0,NaN,1,NaN,0.80078125,NaN
52,25171,1,0,NaN,1,NaN,0.798828125,NaN
53,25580,1,0,NaN,1,NaN,0.80078125,NaN
54,25990,1,0,NaN,1,NaN,0.798828125,NaN
55,26399,1,1,NaN,NaN,1,1.12109375,1.3515625
56,26973,1,0,0.23046875,1,NaN,0.798828125,NaN
57,27382,1,0,NaN,1,NaN,0.80078125,NaN
58,27792,1,0,NaN,1,NaN,0.798828125,NaN
59,28201,1,0,NaN,1,NaN,0.80078125,NaN
60,28611,1,0,NaN,1,NaN,0.798828125,NaN
61,29020,1,0,NaN,1,NaN,0.80078125,NaN
62,29430,1,0,NaN,1,NaN,0.798828125,NaN
63,29839,1,1,NaN,NaN,1,1.12109375,1.17578125
64,30413,1,0,0.0546875,1,NaN,0.80078125,NaN
65,30823,1,0,NaN,1,NaN,0.798828125,NaN
66,31232,1,0,NaN,1,NaN,0.80078125,NaN
67,31642,1,0,NaN,1,NaN,0.798828125,NaN
68,32051,1,0,NaN,1,NaN,0.80078125,NaN
69,32461,1,0,NaN,1,NaN,0.798828125,NaN
70,32870,1,0,NaN,1,NaN,0.80078125,NaN
71,33280,1,0,NaN,1,NaN,0.80078125,NaN
72,33690,1,0,NaN,1,NaN,0.798828125,NaN
73,34099,1,0,NaN,1,NaN,0.80078125,NaN
74,34509,1,0,NaN,1,NaN,0.798828125,NaN
75,34918,1,0,NaN,1,NaN,0.80078125,NaN
76,35328,1,0,NaN,1,NaN,0.798828125,NaN
77,35737,1,1,NaN,NaN,1,1.12109375,1.142578125
78,36311,1,0,0.021484375,1,NaN,0.798828125,NaN
79,36720,1,0,NaN,1,NaN,0.80078125,NaN
80,37130,1,0,NaN,1,NaN,0.80078125,NaN
81,37540,1,0,NaN,1,NaN,0.798828125,NaN
82,37949,1,0,NaN,1,NaN,0.80078125,NaN
83,38359,1,0,NaN,1,NaN,0.798828125,NaN
84,38768,1,0,NaN,1,NaN,0.80078125,NaN
85,39178,1,0,NaN,1,NaN,0.798828125,NaN
86,39587,1,0,NaN,1,NaN,0.80078125,NaN
87,39997,1,0,NaN,1,NaN,0.80078125,NaN
88,40407,1,0,NaN,1,NaN,0.798828125,NaN
89,40816,1,0,NaN,1,NaN,0.798828125,NaN
90,41225,1,0,NaN,1,NaN,0.80078125,NaN
91,41635,1,0,NaN,1,NaN,0.80078125,NaN
92,42045,1,1,NaN,NaN,1,1.119140625,1.197265625
93,42618,1,0,0.078125,1,NaN,0.80078125,NaN
94,43028,1,0,NaN,1,NaN,0.798828125,NaN
95,43437,1,0,NaN,1,NaN,0.80078125,NaN
96,43847,1,0,NaN,1,NaN,0.80078125,NaN
97,44257,1,0,NaN,1,NaN,0.798828125,NaN
98,44666,1,0,NaN,1,NaN,0.80078125,NaN
99,45076,1,0,NaN,1,NaN,0.798828125,NaN
100,45485,1,0,NaN,1,NaN,0.80078125,NaN
101,45895,1,0,NaN,1,NaN,0.798828125,NaN
102,46304,1,0,NaN,1,NaN,0.80078125,NaN
103,46714,1,0,NaN,1,NaN,0.80078125,NaN
104,47124,1,0,NaN,1,NaN,0.798828125,NaN
105,47533,1,1,NaN,NaN,1,1.119140625,1.197265625
106,48106,1,0,0.078125,1,NaN,0.80078125,NaN
107,48516,1,0,NaN,1,NaN,0.80078125,NaN
108,48926,1,0,NaN,1,NaN,0.798828125,NaN
109,49335,1,0,NaN,1,NaN,0.798828125,NaN
110,49744,1,0,NaN,1,NaN,0.80078125,NaN
111,50154,1,0,NaN,1,NaN,0.80078125,NaN
112,50564,1,0,NaN,1,NaN,0.798828125,NaN
113,50973,1,0,NaN,1,NaN,0.80078125,NaN
114,51383,1,0,NaN,1,NaN,0.798828125,NaN
115,51792,1,0,NaN,1,NaN,0.80078125,NaN
116,52202,1,0,NaN,1,NaN,0.798828125,NaN
117,52611,1,0,NaN,1,NaN,0.80078125,NaN
118,53021,1,0,NaN,1,NaN,0.80078125,NaN
119,53431,1,1,NaN,NaN,1,1.119140625,1.23828125
120,54004,1,0,0.119140625,1,NaN,0.80078125,NaN
121,54414,1,0,NaN,1,NaN,0.798828125,NaN
122,54823,1,0,NaN,1,NaN,0.80078125,NaN
123,55233,1,0,NaN,1,NaN,0.80078125,NaN
124,55643,1,0,NaN,1,NaN,0.798828125,NaN
125,56052,1,0,NaN,1,NaN,0.798828125,NaN
126,56461,1,0,NaN,1,NaN,0.80078125,NaN
127,56871,1,0,NaN,1,NaN,0.80078125,NaN
128,57281,1,0,NaN,1,NaN,0.798828125,NaN
129,57690,1,0,NaN,1,NaN,0.80078125,NaN
130,58100,1,0,NaN,1,NaN,0.798828125,NaN
131,58509,1,1,NaN,NaN,1,1.12109375,1.326171875
132,59083,1,0,0.205078125,1,NaN,0.798828125,NaN
133,59492,1,0,NaN,1,NaN,0.80078125,NaN
134,59902,1,0,NaN,1,NaN,0.80078125,NaN
135,60312,1,0,NaN,1,NaN,0.798828125,NaN
136,60721,1,0,NaN,1,NaN,0.80078125,NaN
