TrialN,Sample,BlockN,StimType,rawRT,corrNT,corrTG,ITI,RT
1,2280,1,0,NaN,1,NaN,0.798828125,NaN
2,2689,1,0,NaN,1,NaN,0.80078125,NaN
3,3099,1,0,NaN,1,NaN,0.798828125,NaN
4,3508,1,0,NaN,1,NaN,0.80078125,NaN
5,3918,1,0,NaN,1,NaN,0.798828125,NaN
6,4327,1,0,NaN,1,NaN,0.80078125,NaN
7,4737,1,0,NaN,1,NaN,0.798828125,NaN
8,5146,1,0,NaN,1,NaN,0.80078125,NaN
9,5556,1,0,NaN,1,NaN,0.798828125,NaN
10,5965,1,0,NaN,1,NaN,0.80078125,NaN
11,6375,1,0,NaN,1,NaN,0.80078125,NaN
12,6785,1,0,NaN,1,NaN,0.798828125,NaN
13,7194,1,0,NaN,1,NaN,0.80078125,NaN
14,7604,1,0,NaN,1,NaN,0.798828125,NaN
15,8013,1,0,NaN,1,NaN,0.80078125,NaN
16,8423,1,1,NaN,NaN,1,1.119140625,1.32421875
17,8996,1,0,0.205078125,1,NaN,0.80078125,NaN
18,9406,1,0,NaN,1,NaN,0.798828125,NaN
19,9815,1,0,NaN,1,NaN,0.80078125,NaN
20,10225,1,0,NaN,1,NaN,0.80078125,NaN
21,10635,1,0,NaN,1,NaN,0.798828125,NaN
22,11044,1,0,NaN,1,NaN,0.80078125,NaN
23,11454,1,0,NaN,1,NaN,0.80078125,NaN
24,11864,1,0,NaN,1,NaN,0.798828125,NaN
25,12273,1,1,NaN,NaN,1,1.119140625,1.236328125
26,12846,1,0,0.1171875,1,NaN,0.80078125,NaN
27,13256,1,0,NaN,1,NaN,0.798828125,NaN
28,13665,1,0,NaN,1,NaN,0.80078125,NaN
29,14075,1,0,NaN,1,NaN,0.798828125,NaN
30,14484,1,0,NaN,1,NaN,0.80078125,NaN
31,14894,1,0,NaN,1,NaN,0.80078125,NaN
32,15304,1,0,NaN,1,NaN,0.798828125,NaN
33,15713,1,0,NaN,1,NaN,0.80078125,NaN
34,16123,1,0,NaN,1,NaN,0.798828125,NaN
35,16532,1,0,NaN,1,NaN,0.80078125,NaN
36,16942,1,1,NaN,NaN,1,1.119140625,1.267578125
37,17515,1,0,0.1484375,1,NaN,0.80078125,NaN
38,17925,1,0,NaN,1,NaN,0.80078125,NaN
39,18335,1,0,NaN,1,NaN,0.798828125,NaN
40,18744,1,0,NaN,1,NaN,0.80078125,NaN
41,19154,1,0,NaN,1,NaN,0.798828125,NaN
42,19563,1,0,NaN,1,NaN,0.80078125,NaN
43,19973,1,0,NaN,1,NaN,0.798828125,NaN
44,20382,1,0,NaN,1,NaN,0.80078125,NaN
45,20792,1,0,NaN,1,NaN,0.80078125,NaN
46,21202,1,0,NaN,1,NaN,0.798828125,NaN
47,21611,1,0,NaN,1,NaN,0.80078125,NaN
48,22021,1,0,NaN,1,NaN,0.798828125,NaN
49,22430,1,0,NaN,1,NaN,0.80078125,NaN
50,22840,1,1,NaN,NaN,1,1.119140625,1.251953125
51,23413,1,0,0.1328125,1,NaN,0.80078125,NaN
52,23823,1,0,NaN,1,NaN,0.798828125,NaN
53,24232,1,0,NaN,1,NaN,0.80078125,NaN
54,24642,1,0,NaN,1,NaN,0.798828125,NaN
55,25051,1,0,NaN,1,NaN,0.80078125,NaN
56,25461,1,0,NaN,1,NaN,0.798828125,NaN
57,25870,1,0,NaN,1,NaN,0.80078125,NaN
58,26280,1,1,NaN,NaN,1,1.119140625,1.212890625
59,26853,1,0,0.09375,1,NaN,0.80078125,NaN
60,27263,1,0,NaN,1,NaN,0.80078125,NaN
61,27673,1,0,NaN,1,NaN,0.798828125,NaN
62,28082,1,0,NaN,1,NaN,0.80078125,NaN
63,28492,1,0,NaN,1,NaN,0.798828125,NaN
64,28901,1,0,NaN,1,NaN,0.80078125,NaN
65,29311,1,0,NaN,1,NaN,0.798828125,NaN
66,29720,1,1,NaN,NaN,1,1.12109375,1.251953125
67,30294,1,0,0.130859375,1,NaN,0.798828125,NaN
68,30703,1,0,NaN,1,NaN,0.80078125,NaN
69,31113,1,0,NaN,1,NaN,0.798828125,NaN
70,31522,1,0,NaN,1,NaN,0.80078125,NaN
71,31932,1,0,NaN,1,NaN,0.80078125,NaN
72,32342,1,0,NaN,1,NaN,0.798828125,NaN
73,32751,1,0,NaN,1,NaN,0.80078125,NaN
74,33161,1,0,NaN,1,NaN,0.80078125,NaN
75,33571,1,0,NaN,1,NaN,0.798828125,NaN
76,33980,1,0,NaN,1,NaN,0.80078125,NaN
77,34390,1,0,NaN,1,NaN,0.798828125,NaN
78,34799,1,0,NaN,1,NaN,0.80078125,NaN
79,35209,1,1,NaN,NaN,1,1.119140625,1.298828125
80,35782,1,0,0.1796875,1,NaN,0.798828125,NaN
81,36191,1,0,NaN,1,NaN,0.80078125,NaN
82,36601,1,0,NaN,1,NaN,0.80078125,NaN
83,37011,1,0,NaN,1,NaN,0.798828125,NaN
84,37420,1,0,NaN,1,NaN,0.80078125,NaN
85,37830,1,0,NaN,1,NaN,0.798828125,NaN
86,38239,1,1,NaN,NaN,0,1.12109375,NaN
87,38813,1,0,NaN,1,NaN,0.798828125,NaN
88,39222,1,0,NaN,1,NaN,0.80078125,NaN
89,39632,1,0,NaN,1,NaN,0.798828125,NaN
90,40041,1,0,NaN,1,NaN,0.80078125,NaN
91,40451,1,0,NaN,1,NaN,0.80078125,NaN
92,40861,1,0,NaN,1,NaN,0.798828125,NaN
93,41270,1,0,NaN,1,NaN,0.80078125,NaN
94,41680,1,0,NaN,1,NaN,0.798828125,NaN
95,42089,1,0,NaN,1,NaN,0.80078125,NaN
96,42499,1,0,NaN,1,NaN,0.80078125,NaN
97,42909,1,0,NaN,1,NaN,0.798828125,NaN
98,43318,1,0,NaN,1,NaN,0.80078125,NaN
99,43728,1,0,NaN,1,NaN,0.798828125,NaN
100,44137,1,0,NaN,1,NaN,0.80078125,NaN
101,44547,1,1,NaN,NaN,1,1.119140625,1.1875
102,45120,1,0,0.068359375,1,NaN,0.80078125,NaN
103,45530,1,0,NaN,1,NaN,0.798828125,NaN
104,45939,1,0,NaN,1,NaN,0.80078125,NaN
105,46349,1,0,NaN,1,NaN,0.798828125,NaN
106,46758,1,0,NaN,1,NaN,0.80078125,NaN
107,47168,1,0,NaN,1,NaN,0.798828125,NaN
108,47577,1,0,NaN,1,NaN,0.80078125,NaN
109,47987,1,1,NaN,NaN,0,1.119140625,NaN
110,48560,1,0,NaN,1,NaN,0.80078125,NaN
111,48970,1,0,NaN,1,NaN,0.80078125,NaN
112,49380,1,0,NaN,1,NaN,0.798828125,NaN
113,49789,1,0,NaN,1,NaN,0.80078125,NaN
114,50199,1,0,NaN,1,NaN,0.798828125,NaN
115,50608,1,0,NaN,1,NaN,0.80078125,NaN
116,51018,1,0,NaN,1,NaN,0.798828125,NaN
117,51427,1,0,NaN,1,NaN,0.80078125,NaN
118,51837,1,0,NaN,1,NaN,0.80078125,NaN
119,52247,1,0,NaN,1,NaN,0.798828125,NaN
120,52656,1,0,NaN,1,NaN,0.80078125,NaN
121,53066,1,0,NaN,1,NaN,0.798828125,NaN
