TrialN,Sample,BlockN,StimType,rawRT,corrNT,corrTG,ITI,RT
1,3739,1,0,NaN,1,NaN,0.80078125,NaN
2,4149,1,0,NaN,1,NaN,0.798828125,NaN
3,4558,1,0,NaN,1,NaN,0.80078125,NaN
4,4968,1,0,NaN,1,NaN,0.80078125,NaN
5,5378,1,0,NaN,1,NaN,0.798828125,NaN
6,5787,1,0,NaN,1,NaN,0.798828125,NaN
7,6196,1,0,NaN,1,NaN,0.80078125,NaN
8,6606,1,0,NaN,1,NaN,0.80078125,NaN
9,7016,1,0,NaN,0,NaN,0.798828125,1.005859375
10,7425,1,1,0.20703125,NaN,0,1.12109375,NaN
11,7999,1,0,NaN,1,NaN,0.798828125,NaN
12,8408,1,0,NaN,1,NaN,0.80078125,NaN
13,8818,1,0,NaN,1,NaN,0.798828125,NaN
14,9227,1,0,NaN,1,NaN,0.80078125,NaN
15,9637,1,0,NaN,1,NaN,0.80078125,NaN
16,10047,1,0,NaN,1,NaN,0.798828125,NaN
17,10456,1,0,NaN,1,NaN,0.798828125,NaN
18,10865,1,0,NaN,1,NaN,0.80078125,NaN
19,11275,1,0,NaN,1,NaN,0.80078125,NaN
20,11685,1,0,NaN,1,NaN,0.798828125,NaN
21,12094,1,0,NaN,1,NaN,0.80078125,NaN
22,12504,1,1,NaN,NaN,1,1.119140625,1.150390625
23,13077,1,0,0.03125,1,NaN,0.80078125,NaN
24,13487,1,0,NaN,1,NaN,0.798828125,NaN
25,13896,1,0,NaN,1,NaN,0.80078125,NaN
26,14306,1,0,NaN,1,NaN,0.80078125,NaN
27,14716,1,0,NaN,1,NaN,0.798828125,NaN
28,15125,1,0,NaN,1,NaN,0.80078125,NaN
29,15535,1,1,NaN,NaN,1,1.119140625,1.126953125
30,16108,1,0,0.0078125,1,NaN,0.798828125,NaN
31,16517,1,0,NaN,1,NaN,0.80078125,NaN
32,16927,1,0,NaN,1,NaN,0.80078125,NaN
33,17337,1,0,NaN,1,NaN,0.798828125,NaN
34,17746,1,0,NaN,1,NaN,0.80078125,NaN
35,18156,1,0,NaN,1,NaN,0.80078125,NaN
36,18566,1,1,NaN,NaN,1,1.119140625,1.197265625
37,19139,1,0,0.078125,1,NaN,0.798828125,NaN
38,19548,1,0,NaN,1,NaN,0.80078125,NaN
39,19958,1,0,NaN,1,NaN,0.798828125,NaN
40,20367,1,0,NaN,1,NaN,0.80078125,NaN
41,20777,1,0,NaN,1,NaN,0.80078125,NaN
42,21187,1,0,NaN,1,NaN,0.798828125,NaN
43,21596,1,0,NaN,1,NaN,0.80078125,NaN
44,22006,1,0,NaN,1,NaN,0.798828125,NaN
45,22415,1,0,NaN,1,NaN,0.80078125,NaN
46,22825,1,0,NaN,1,NaN,0.80078125,NaN
47,23235,1,0,NaN,1,NaN,0.798828125,NaN
48,23644,1,1,NaN,NaN,1,1.119140625,1.310546875
49,24217,1,0,0.19140625,1,NaN,0.80078125,NaN
50,24627,1,0,NaN,1,NaN,0.80078125,NaN
51,25037,1,0,NaN,1,NaN,0.798828125,NaN
52,25446,1,0,NaN,1,NaN,0.80078125,NaN
53,25856,1,0,NaN,1,NaN,0.798828125,NaN
54,26265,1,0,NaN,1,NaN,0.80078125,NaN
55,26675,1,0,NaN,1,NaN,0.80078125,NaN
56,27085,1,0,NaN,1,NaN,0.798828125,NaN
57,27494,1,0,NaN,1,NaN,0.80078125,NaN
58,27904,1,0,NaN,1,NaN,0.798828125,NaN
59,28313,1,0,NaN,1,NaN,0.80078125,NaN
60,28723,1,0,NaN,1,NaN,0.798828125,NaN
61,29132,1,0,NaN,1,NaN,0.80078125,NaN
62,29542,1,0,NaN,1,NaN,0.80078125,NaN
63,29952,1,1,1.1015625,NaN,1,1.119140625,1.1015625
64,30525,1,0,NaN,1,NaN,0.798828125,NaN
65,30934,1,0,NaN,1,NaN,0.80078125,NaN
66,31344,1,0,NaN,1,NaN,0.798828125,NaN
67,31753,1,0,NaN,1,NaN,0.80078125,NaN
68,32163,1,0,NaN,1,NaN,0.798828125,NaN
69,32572,1,0,NaN,1,NaN,0.80078125,NaN
70,32982,1,1,NaN,NaN,1,1.119140625,1.50390625
71,33555,1,0,0.384765625,1,NaN,0.80078125,NaN
72,33965,1,0,NaN,1,NaN,0.880859375,NaN
73,34416,1,0,NaN,1,NaN,0.798828125,NaN
74,34825,1,0,NaN,1,NaN,0.80078125,NaN
75,35235,1,0,NaN,1,NaN,0.798828125,NaN
